	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	587572	Schaed (F) 4 Hours Djset - Spring Residency	 18 April 2014 	['SCHAED (F) 4 hours djset - Spring residency']
1	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	548215	Schaed at Halles de L'île	 20 December 2013 	['Schaed']
2	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	536480	City Night	 09 November 2013 	['Zest']
3	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	514063	Ethnik Groove - Minimo Imprint Show Case	 18 October 2013 	['Paul Eg (Ethnik Groove-Minimo Imprint-Definition Records)']
4	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	513107	Let's Dance	 23 August 2013 	['DJ Zest']
5	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	417999	Jeff Swing b2b Cosmokolor	 25 October 2012 	['Jeff Swing b2b Cosmokolor all night long']
6	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	399312	Jeff Swing at Halles de L'ile	 01 September 2012 	['Jeff Swing']
7	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	395468	Philippe Petit all Evening long	 16 August 2012 	[' RE(FORM))', 'Philippe Petit (Knotweed']
8	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	393304	Geometric Shifts Viii	 10 August 2012 	['Opuswerk']
9	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	389105	Zest	 21 July 2012 	['- Zest']
10	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	288568	Schaed	 22 October 2011 	['http://soundcloud.com/schaed', 'Schaed all night long ']
11	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	295731	Afterwork with Mr. Jonk	 29 September 2011 	['Mr. Jonk']
12	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	275162	Dj Fil Aka Filouzito	 08 July 2011 	['Dj Fil from 10pm to 2am']
13	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	258557	Kim Prevedello	 03 June 2011 	['Kim Prevedello', '22h-2h']
14	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	240325	Ark & Dj Dub	 12 March 2011 	['DJ Dub', 'Ark']
15	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	229077	Geometric Shifts	 10 February 2011 	['Opuswerk']
16	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	206058	Magic Mixers	 13 November 2010 	[' Freshmint', 'Magic Mixers', ' Dave Dalux', ' Clem']
17	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	194978	Kim Prevedello	 16 October 2010 	['Kim Prevedello']
18	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	189842	Rebirth In The Underground Part II	 11 September 2010 	['-Jeff Swing', '-Clem', '-Juliano Lopez']
19	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	156663	Minimal Acoustic Mix Session	 03 April 2010 	['dj Lynn Jordan']
20	26893	 Halle De L'Ile	Place de l'Ile 1; 1200, Genève	148635	Lad	 05 March 2010 	['LAD']
