	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	28862	 Privilege	Piazza Dante 8; 6900, Lugano	386444	Summer Time Lugano	 14 July 2012 	['from 3.30 to 5.00 Sandy C.', 'from : 23.00 to 1.30 Dj Code-x', 'from : 1.30 to 3.30 Simone Fusco']
1	28862	 Privilege	Piazza Dante 8; 6900, Lugano	318990	Troy Pierce @ wild // Privilege Club	 16 December 2011 	[' Matteo Melillo', ' Fich', 'Troy Pierce', ' Lucky Duke', ' Giavier', ' Bomber Shock', ' Giulio Corsi']
2	28862	 Privilege	Piazza Dante 8; 6900, Lugano	317667	Alex Picone At W!ld	 09 December 2011 	[' Lucky Duke', ' Leonardo Crespi', 'Alex Picone', ' Giavier', ' William Selmo']
3	28862	 Privilege	Piazza Dante 8; 6900, Lugano	308604	Ambivalent// Wild Opening	 11 November 2011 	[' Pedro Voice', ' Samuele Merk', 'Main Room: Ambivalent (M_nus)  ', ' Matteo Melillo', ' Lucky Duke', ' Giavier', 'Versace Privè: Locic (from Ruvido) + Philip']
4	28862	 Privilege	Piazza Dante 8; 6900, Lugano	308371	Ambivalent From Minus at Wild Opening	 05 November 2011 	['', 'from New York !', 'Lucky Duke b2b Giavier', 'Resident W!LD Djs:', 'Ambivalent ', 'Matteo Melillo', '(M_nus Rec. // Clink Rec.)']
5	28862	 Privilege	Piazza Dante 8; 6900, Lugano	297208	Af Records Official Party	 01 October 2011 	['', 'Guest Djs from A.F. Records', 'Resident Dj', 'Tali Freaks // UK', 'Francio', 'Andrea Festa // CH']
6	28862	 Privilege	Piazza Dante 8; 6900, Lugano	263799	Privilege Summer Edition	 04 June 2011 	['', 'Luca Carletti & Michael Prize', 'MAIN ROOM', 'SPECIAL GUEST VOICE', 'Francy Cap', 'Stefano Ghislieri DJ', 'Matteo Melillo DJ', 'SALA VERSACE']
7	28862	 Privilege	Piazza Dante 8; 6900, Lugano	209091	Minimal Attitude	 19 November 2010 	[' djMagda Polasnky', 'Mirko Molinari']
8	28862	 Privilege	Piazza Dante 8; 6900, Lugano	189689	Franco Bianco Live and Martin Huergo	 30 October 2010 	[' +TBA', ' Multivitamins', ' Unfoundsound)', ' Dilek', 'Franco Bianco (live) (Hypercolour', ' Acktivism)', ' Martin Huergo (Dilek', ' Darek']
9	28862	 Privilege	Piazza Dante 8; 6900, Lugano	159965	Franco Bianco Live	 12 May 2010 	[' + TBA', 'Franco Bianco (live)']
