	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	718968	Traumschiff	 13 June 2015 	['Purple Disco Machine (Kittball', 'Teenage Mutants (Stil vor Talent', ' Berlin)', 'ROLF IMHOF', ' Dresden)', 'AFTER GRAUER', 'BABALU DANCERS', 'Pazkal (Licht im Dunkel)']
1	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	692930	Mad Katz	 06 March 2015 	[' meau', ' wekeed', 'Krystal Klear', ' rafik']
2	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	614405	Defected In The House at Parade 2014	 02 August 2014 	"['Jonas', 'George Lamell', 'Noir (Defected', 'Sam Divine (Defected', ' UK)', 'Hr. Vogel', ""Dario D'Attis"", 'Muri', 'Tony Smash FX']"
3	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	573286	Defected In The House	 12 April 2014 	['Sonny Fodera', 'Andrea Oliva']
4	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	549720	Double You 2k14	 03 January 2014 	['DJ DACHSTOCK', 'DJ Jack Slaughter']
5	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	542177	Bedtime-Stories	 13 December 2013 	['Herr Vogel', 'Kolombo', 'George Lamell']
6	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	536949	Defected in the House	 16 November 2013 	[' GEORGE LAMELL', ' Andy Daniell', ' AOIDE', ' DJ CEM', ' DJ PHIL Z’VIEL', ' David Phillips & DAISY HEARTBREAKER', ' AFTER GRAUER', ' Jack & the Jerk', ' Herr Vogel', ' MURI', 'Sandy Rivera']
7	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	516443	Ol' Dirty Brizo	 26 October 2013 	[' DJ ATN', 'Jack Slaughter']
8	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	473862	Austra 	 06 June 2013 	['Austra + Support']
9	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	470901	Defected in the House	 13 April 2013 	['Stefano Ritteri ', 'Supernova']
10	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	436158	Beefcake Party 3 Years	 25 December 2012 	['MIGUELANGEL (DJ) KEVIN RICHI SMALL PAUL']
11	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	432599	Plattenbörse	 15 December 2012 	['TBA']
12	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	505900	Shake Shake Shake	 30 June 2012 	['Mike Steez', ' Jesaya', ' David Suivez', ' Sharon', ' Jack Slaughter']
13	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	505901	Shake Shake Shake	 14 April 2012 	['Mike Steez', ' David Suivez', ' Sharon', ' Tap Tap', ' Jack Slaughter']
14	72201	 Plaza Klub	Badenerstrasse 109, 8004 Zürich	284401	Flight Facilities	 03 September 2011 	['Flight Facilities']
