	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	358915	Zürichtakeaway	 28 April 2012 	['Ewan Onou', 'Tarco', 'Sandro ZH', 'are:age (live)']
1	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	320987	Zürichtakeaway	 07 January 2012 	['Tarco', 'Juen', 'Andreas Ramos', 'Sandro ZH']
2	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	281093	Parasite Events	 19 November 2011 	['aerophobica', 'Hansim Glück', 'SamyDemonti']
3	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	289653	Juli Wird 30	 18 November 2011 	[' Piratenkind', ' Squep', 'Silvision']
4	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	302269	Zürichtakeaway	 29 October 2011 	['Schmerol', 'Gill&Gill', 'Sandro ZH']
5	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	281091	Parasite presents Invasion	 24 September 2011 	['Aerophobica', 'Samy Demonti', 'Hansim Glück']
6	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	249472	Random with Bowski	 15 April 2011 	['Bowski', ' Stig', ' FRQNCY', ' DJ Dierlijk']
7	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	235531	Random with Egyptrixx	 04 March 2011 	[' Supermario', 'Egyptrixx', ' FRQNCY']
8	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	212043	Random with Max Cooper	 10 December 2010 	[' Tonwerk feat. Bagheera', ' FRQNCY', 'Max Cooper']
9	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	252475	Lazerkidz	 15 October 2010 	"[""'Coma Cruise Live"", ' Rosalinda (live)', "" Andreas Ramos.'"", ' Polonium 88/79', ' Schmerol']"
10	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	198264	Random with Lorenz Rhode	 08 October 2010 	['Lorenz Rhode ', 'FRQNCY', 'Eric Fox ']
11	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	252474	Lazerkidz	 25 June 2010 	"[""'Animal Trainer"", ' Audino & Barbir', ' Rosalinda', "" Andreas Ramos.'""]"
12	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	172706	Züri Lini�	 19 June 2010 	[' Da Brenner (Züri-Liniä)', ' No Mercy (Tanzklinik)', 'Ondrej (Kumquat)', ' Veli (Panic Room ZH)', ' Automath-i (Züri-Liniä)']
13	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	144146	Tanz Der Möpse	 28 May 2010 	['Bastian Schuster (OFF / ROBSOUL / WIR+IHR)']
14	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	233136	Dorfdisko Records	 14 May 2010 	['...']
15	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	159131	Lazerkidz	 23 April 2010 	[' Silvision', ' Barbir', ' Elvis Cassetta', 'Quitim', ' Nicola Kazimir']
16	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	143372	Sirion presents The Trip Zurich	 19 March 2010 	['Mastra', ' Mo-Tek', ' Beda', ' Feodor']
17	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	144515	Punkt with Serafin & Azuni	 19 February 2010 	[' Audino', ' Azuni', 'Serafin', ' Nicola Kazimir']
18	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	140316	Sirion presents The Trip	 22 January 2010 	[' Bird', 'David Durango', ' Feodor', ' Sampayo']
19	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	137577	Tanzmusik By Gleichschritt & Friends	 15 January 2010 	[' Venus', 'Gleichschritt', ' Mik Maroo']
20	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	138433	Basement Hype	 09 January 2010 	['Mike Peters', 'Siegair', 'Klein und Lang']
21	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	127603	Punkt	 11 December 2009 	['Reto Ardour ', ' Benja ', ' Nicola Kazimir', ' Audino']
22	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	126332	Maxxximal	 28 November 2009 	['', 'Guest DJs:', 'Regenbogen (maXXXimal)', 'ROMEO (Miau Studio)', 'Tarco (Miau Studio)', 'ANTHONY // TÉTON // NICOLAJ // Mr Silent & She DJ Vany']
23	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	130948	Ping Pong	 27 November 2009 	[' Betty&Ford', 'Animal Trainer']
24	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	116986	Punkt	 16 October 2009 	['Reto Ardour', ' Bassbüro', ' Audino', ' Nicola Kazimir']
25	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	104019	Frisky 04	 03 July 2009 	[' Telepathie&Pendler', 'Nader', ' Dejan', ' Paolo Mentonelli']
26	7538	 Superzero	Zähringerstrasse  39; 8001, Zürich	96363	Frisky	 05 June 2009 	[' Meikel (birdz)', ' Telepathie & Pendler', ' Paolo Montenelli', 'Special guest: Murat Kilic (stil vor talent', ' sydney)', ' Dejan']
