	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	892026	Hidden Quality	 05 November 2016 	['Samuel andre madsen', ' Seranthony']
1	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	883143	Hidden Live	 22 October 2016 	"[' Murphy', ' Aron', ""Steve O'Sullivan""]"
2	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	877296	Hidden Trainer, Animal Trainer & Terry Pardini	 07 October 2016 	['Animal Trainer | hive audio | zürich', 'terry pardini | happy | solothurn', 'hidden trainer']
3	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	873375	Hidden Audio	 16 September 2016 	['Anthik', 'Jimi Jules']
4	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	873371	Hidden Live	 03 September 2016 	['seranthony', 'mauy', 'Dandy Jack']
5	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	873370	Hidden Autumn Opening	 26 August 2016 	['Ion Ludwig', 'murphy', 'aron']
6	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	819637	Hidden Rumpel	 27 May 2016 	['Kalabrese', ' gallo']
7	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	819636	Hidden Birthday	 14 May 2016 	[' Serafin', ' pasci', ' murphy', 'Onur Özer', ' seranthony', ' aron']
8	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	810137	Hidden Tape	 16 April 2016 	[' Till Tape', 'Zenker Brothers (Dario Zenker & Marco Zenker)', ' Gray Chalk', ' Aron']
9	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	811877	Hidden Meander	 08 April 2016 	['DeWalta', ' Seranthony', ' Murphy']
10	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	779767	Dani Casarano	 01 April 2016 	[' James Mc Hale', 'Dani Casarano']
11	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	810214	Hidden Live	 26 March 2016 	[' Murphy', ' Walter Wolf', 'Ion Ludwig', ' Seranthony', ' Alessandro Crimi']
12	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	810207	Hidden Space	 18 March 2016 	[' Aron', 'Domenico Rosa']
13	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	810203	Hidden Composite	 11 March 2016 	[' Boris Why', 'DJ Yellow', ' Robel']
14	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	790829	Hidden Miteinander	 22 January 2016 	['Manuelle Musik', ' Nici Faerber', ' Pablo Einzig']
15	13138	 Hidden Club	Fabrikstrasse 1; 4500, Solothurn	782200	Hidden Hoche - Lazare Hoche | racker - Phrex - Robel - Aron	 16 January 2016 	['Lazare Hoche', ' racker', ' aron', ' Phrex', ' Robel']
