	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	19153	 Exil	Hardstrasse 245; 8005, Zürich	876612	Mirage with DJ Steaw	 23 September 2016 	[' Marcism', ' Nico Calado', ' Abstrhytmik', ' Romano Corsini', 'DJ Steaw']
1	19153	 Exil	Hardstrasse 245; 8005, Zürich	771310	FKJ Live & Max Graef - Mad Katz x Youyou	 07 November 2015 	[' Douala', 'FKJ', ' Marcism', ' Max Graef', ' Sentiment']
2	19153	 Exil	Hardstrasse 245; 8005, Zürich	744537	Spezialmaterial	 14 October 2015 	['Darkstar', 'DJ Remo (zweikommasieben)']
3	19153	 Exil	Hardstrasse 245; 8005, Zürich	707550	Asphalt Music with Monkey Coops & Bastian Lehnert	 02 May 2015 	[' von Allmen', ' Onory', ' Nico Massa', ' Bastian Lehnert', ' Shawn Cloud', 'Monkey Coops', ' Sue Ann', ' Elay', ' Gleichtackt', ' Serotonic', ' D.G.R.Z']
4	19153	 Exil	Hardstrasse 245; 8005, Zürich	667967	Asphalt Music with Rhadow & Dirty Culture	 10 January 2015 	"['', 'Sue Ann', 'Onory ', ""Dirty Culture's Official"", 'Sero-tonic', 'von Allmen b2b D.G.R.Z.', 'Rhadow']"
5	19153	 Exil	Hardstrasse 245; 8005, Zürich	660161	Mad Katz mit DJ EZ & Crystal Fighters	 06 December 2014 	[' Shy Lajoie & Whisker', ' Mannequine', 'DJ EZ (UK)', ' Crystal Fighters (UK)', ' Riot School']
6	19153	 Exil	Hardstrasse 245; 8005, Zürich	649759	Quality Over Quantity	 07 November 2014 	['Chris Lattner (Moon Harbour / Fuse London / Berlin)', 'Low.Tales & Vanita (Rave of Love)', 'Hermansson (Schwerelos)', 'Nicola Noir (Technototal)']
7	19153	 Exil	Hardstrasse 245; 8005, Zürich	648940	Mad Katz	 01 November 2014 	[' Sacha Robotti', 'T.Williams', ' Dorian', ' Sentiment', ' Lara Valentina', ' Riot School & K.Ramba', ' Marc Klein']
8	19153	 Exil	Hardstrasse 245; 8005, Zürich	606109	Mad Katz x Oblique mit Martin Ikin	 14 June 2014 	[' Culprit Sentiment', ' VLT Mannequine', ' Maloon TheBoom', ' Vatsgoed', ' Phala b2b Lazy Mood', ' Martin Ikin (GB)', ' Look Like', ' Oscar C']
9	19153	 Exil	Hardstrasse 245; 8005, Zürich	595930	Spezialmaterial	 08 June 2014 	['Feldermelder', 'Eric S', 'Ink! ', ' UK)', 'Plaid (Warp']
10	19153	 Exil	Hardstrasse 245; 8005, Zürich	571414	Oneothrix Point Never	 23 April 2014 	['Oneothrix Point Never (Warp', ' USA)']
11	19153	 Exil	Hardstrasse 245; 8005, Zürich	571933	Mad Katz: DJ EZ & DJ Feadz	 01 March 2014 	[' Feadz', ' Handbandits', 'DJ EZ', ' Rollin John', ' K.Ramba', ' Riot School']
12	19153	 Exil	Hardstrasse 245; 8005, Zürich	494100	2 Tage Strom	 22 June 2013 	[' Shrubbn!', ' Pomassl', 'Maja Ratkje', ' Gaspard de La Montagne', ' Nik!']
13	19153	 Exil	Hardstrasse 245; 8005, Zürich	474969	Mad Katz mit Justin Martin	 31 May 2013 	['Justin Martin', ' Backspin Boys', ' Riot School']
14	19153	 Exil	Hardstrasse 245; 8005, Zürich	474966	Mad Katz mit Jaymo & Andy George	 03 May 2013 	['Jaymo & Andy George', ' Riot School', ' Look Like', ' Jack Pryce']
15	19153	 Exil	Hardstrasse 245; 8005, Zürich	461366	Mad Katz mit Look Like & Bobmo	 16 March 2013 	[' Bobmo', 'Look Like', ' Riot School', ' Backspin Boys']
