	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	827633	Reset present The Martinez Brothers	 16 April 2016 	['Ivan Alvarez b2b Kenny Ground', 'Luca Fioretti', 'Special guest The Martinez Brothers']
1	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	823452	Steve Angello 	 09 April 2016 	['Main Floor - EDM', '', '03.00 - 04.00 Robert Tune', '23.00 - 00.30 Daniro & Nick Berola ', 'Info comming soon', '01.00 - 02.00 Nick Berola & Daniro', '00.30 - 02.00 Darsen ', '00.00 - 01.00 Pascal Tokar', '02.00 - 03.00 Dilly Noises', 'The Hall Floor - House & Future House', '23.00 - 00.00 RoMix ', '02.00 - 04.00 Steve Angello', 'Red Sky Floor - Mash Up & House', '04.00 - 05.00 Dave202 ', '04.00 - 05.00 Mr. Lu-Wi']
2	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	821910	Reset present Shlomi Aber	 27 March 2016 	[' Shlomi Aber', 'Henrique;Matthew Adamas']
3	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	785403	Reset Pres. Gaiser	 12 December 2015 	[' Ivan Alvarez', ' Luca Fioretti', ' Henrique', ' Moniak', 'Gaiser', ' Jay Cassius', ' Batiment']
4	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	764964	Solomun (Diynamic)	 21 November 2015 	[' Kantarik', 'Solomun', ' Ivan Alvarez', ' Roman Klinger', ' Murciano', ' Marco Capone', ' Onory', ' Kenny Ground', ' Mirco Caruso']
5	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	784480	sCs Pres. Carl Cox	 10 October 2015 	[' Fiber', ' Ivan Alvarez', ' Kenny Ground', ' Frank Storm', 'Carl Cox', ' Edison Cabrino', ' Hainberg', ' Disco Channel', ' Nelson Garcia', ' Batiment']
6	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	712570	Marco Carola	 09 May 2015 	[' Alex Kostic', ' Disco Channel', 'Marco Carola', ' Frank Storm & Ivan Alvarez']
7	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	655854	sCs Pres. Ricardo Villalobos	 07 December 2014 	['', ' Collin Travel)', 'Adryan', ' Berlin-Chile)', 'Deeno', 'Frank Storm', '(Overless Official)', '► Ticket Prevendita: 35Chf / 30 Euro ', '► Ticket price at the door: 40Chf/ 35Eu', '► La NuiT (ex BeatBox)', 'Batiment', 'Quitim', 'Miss Polanski', 'Clinitec', 'Luca Fioretti', 'Disco Channel.', '(PRR', ' sCs', 'Giorgio Vergani ( Rawhard audio records', '► Opening: 23:00 - 05:00', '★ ---------------------------- ★', ' Perlon', '► The Hole( ex Castello)', 'Henrique', '► Crean Floor Vanilla.', ' Ginevra)', 'Stefano Fodrini', 'Alessandro Bertolino', '(Sei Es Drum', 'Helder', '► Ricardo Villalobos', 'Matteo Trippi - Luca Terzi']
8	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	635788	Teknologik presents Sven Vath Summer Tour 4 hrs set	 04 October 2014 	['Edison Cabrino ( Overless - CH )', 'Sven Väth (Cocoon)', 'Romano Rapeso (Teknologik-FR)', 'Helder']
9	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	595240	Marco Carola	 17 May 2014 	[' Alex Kostic', ' MISS POLANSKY', 'Marco Carola', ' Wirrwarr', ' Helder', ' Frank Storm', ' Edison Cabrino', ' Giorgio Vergani', ' EZ', ' Adryan']
10	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	598454	sCs with Marco Carola, Alex Kostic, Helder and more	 17 May 2014 	['Marco Carola (Music ON - Naples)', '', 'CREAM:', 'Dino White aka DinoTon ( Lucerna)', 'Alex Kostic (Silencio - ECR - Ginevra)', 'Helder (Red Sky - Overless - Unite)', 'Audioline ( Ticino - Locarno)', 'Adryan ( Pleasure - Italia)', 'Wirrwarr ( Magazzini Generali - Milano)', 'Frank Storm (Bolgia - Overless Official)', 'Kurilian Kratz b2b nole ( CAFE GOLD/ Along with. Zurich)', 'Henrique Delamare', 'Munir Nadir ( Movement torino / Outcast)', 'JO ( Factory Milano - MOD)', 'RED SKY:']
11	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	591480	Overless & Red Sky present Hobo	 10 May 2014 	['Hobo', 'Edison Cabrino', 'Ivan Alvarez']
12	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	591479	Overless & Red Sky present Umek	 03 May 2014 	['Helder', 'Umek', 'Stallo']
13	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	584183	Overless & Red Sky present Marco Yanes	 05 April 2014 	['Helder ', 'Dais & Duschek', 'Marco Yanes']
14	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	576302	Overless & Red Sky present Manu Gonzales	 15 March 2014 	['Ivan Alvarez', 'Manu Gonalez', 'Stallo']
15	27012	 Vanilla Club	Via Cantonale; 6595, Riazzino	576307	Overless & Red Sky Opening	 08 March 2014 	['Helder', 'Ezikiel']
