	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	601418	Sabotage with Jimi Jules	 07 June 2014 	['Tonic (Cheekybookings Solothurn)', 'Jimi Jules (Hive Zürich)', 'Lucas Monème (Globull Fribourg)', 'George Lamell (B&G Zürich)']
1	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	583156	Dennis Ferrer & Kellerkind	 28 May 2014 	['Dennis Ferrer (Objektivity/US)', 'Kellerkind (StilVorTalent/CH)']
2	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	548238	Wankelmut	 04 January 2014 	['Volkan Ocak (Bassport/CH)', 'Wankelmut („One Day / Reckoning Songs“)', 'She Nionika (BassNSmile/CH)']
3	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	545282	Sabotage with Kellerkind	 21 December 2013 	['Kellerkind (Stil vor Talent Records / Solothurn) ', 'Tonic ( Cheekybookings / Solothurn)', 'The Bassment ( PleasureLab / Biel/Bienne )']
4	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	513239	Sabotage with Finnebassen	 12 October 2013 	['Gianni Callipari (Nordstern/CH)', 'James Mc Hale (Resident Sabotage/Tanzkarussell)', 'Finnebassen (Oslo/NW)']
5	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	513238	Deep54 with Todd Bodine	 14 September 2013 	['Sordo (CH)', 'The Bassment (Karera Recordings/PleasureLab CH)', 'Andri (Cityfox/CH)', 'Todd Bodine (Highgrade Berlin/D)']
6	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	486467	Abused Disco & Duo Club präsentieren - Madame Diva with Noir	 22 June 2013 	['', 'Frank Fonema (Les Folies Digitales)', 'DJ Angel (Abused Disco', 'Luca de Grandis (Tanzkarussell)', ' Madame Diva)', 'Noir (Noir Music', ' DK)']
7	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	467926	Sabotage with Tiefschwarz	 27 April 2013 	['Tiefschwarz (Souvenir / Berlin)', 'The Bassment (PleasureLAB / BE)', 'James Mc Hale (Tanzkarusell / BE)']
8	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	459470	Deep54, Zombie Disco Squad	 09 March 2013 	[' CH)', 'Tom Wineman (pleasureLAB', ' K:lender', ' AUT)', 'The Bassment (pleasureLAB', ' Suara', 'Florian Kaltstrøm & Emil Berliner (Bedrock', 'Zombie Disco Squad (Made to Play', ' UK)', 'Leo (Knockout']
9	36867	 Duo Club	Kontrollstrasse 26; 2502, Biel	454475	Madame Diva	 02 March 2013 	['Frank Fonema', 'NiCe7', 'DJ Angel']
