	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	461103	Tanz Am Sonntag / Closing	 24 March 2013 	['Latenzzeit', 'Zero', 'Tadeo Doberska', 'Luca de Grandis', 'Jan Penarrubia', 'Frango', 'Thomtraxx', 'Florian Kunicke', 'Bertel Gee']
1	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	464620	Letzte Schritte	 21 March 2013 	['Florian Kunicke']
2	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	448831	Tanz Am Sonntag	 24 February 2013 	['Dj Girl ', 'Florian Kunicke', 'Nick Nasti', 'Max Meister']
3	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	342919	Technikal Knockout	 02 March 2012 	['Skaos', 'Vitek', 'Markus haZe']
4	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	286730	Badboys	 03 September 2011 	['girl']
5	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	286727	Chrigu's Birthdaybash	 27 August 2011 	['girl', 'bird', '...and many more...']
6	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	282203	Knallhart	 19 August 2011 	[' La Vitamina', 'Voltec', ' Jutzi', ' Don Tetris']
7	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	270516	Technical Knockout	 31 July 2011 	[' Skaos', 'Bird', ' Vitek...']
8	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	282210	Goodbye	 23 July 2011 	[' La Vitamina', 'Voltec', ' Jutzi', ' Don Tetris']
9	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	282213	Knallhart	 25 June 2011 	[' Little Lu', ' La Vitamina', 'Voltec', ' Zero']
10	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	282215	Delirium	 03 June 2011 	[' Voltec', ' La Vitamina', 'Liv Stone']
11	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	231965	Delirium	 18 February 2011 	['Voltec', ' Flavius Tadeus']
12	42143	 Lounge Kapelle	Kramgasse 8; 3011, Bern	231966	Delirium	 29 January 2011 	['Voltec / Flavius Tadeus']
