	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	893855	Marek Hemmann	 28 October 2016 	[' Profondo', 'Marek Hemmann', ' Das Balz']
1	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	835946	Hochkarat - Vier Jahre Tiefgang	 07 May 2016 	[' Ræve', ' Knäckebröd', ' Mobylette', 'entropie', ' Soivé']
2	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	812595	Midilux	 22 April 2016 	['Francesco Tristano  (live) ', 'Spiegelbild', 'Racker']
3	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	812593	Bass Continuum	 15 April 2016 	[' re:st / Bern)', 'Moresounds  (live) (F)', 'LCP (Luana', 'Om Unit (UK)']
4	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	806850	Acid Arab Live	 25 March 2016 	['Biru (Bern) ', 'Acid Arab  (live) (Versatile Rec. / F)', 'Pandour (Fribourg)']
5	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	801709	DJ Krush	 05 March 2016 	['', 'DJ Krush (JPN)', ' Feldermelder', ' Iokoi', 'Live Act', ' NIK', 'Support: OUS Label Night mit BIT-TUNER']
6	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	801781	Midilux	 19 February 2016 	['Nummer  (live) ', 'Fabien', 'CCO  (live) (Zürich) ']
7	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	800701	Bass Continuum with Ikonika & Wen	 05 February 2016 	['Ikonika (hyperdub/planet mu', 'Wen ( Keysound', ' BE)', ' ZH)', ' UK)', 'Guyus (dubexmachina', 'Phrex (dubtopia/bons vivants', ' Tempa']
8	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	789936	Elektro Guzzi x Rocketnumbernine	 22 January 2016 	[' Ripperton', 'Elektro Guzzi', ' Rocketnumbernine']
9	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	791299	Zwölf Jahre Sirion Records	 16 January 2016 	[' Frango (Sirion - CH)', ' Selador', ' Toolroom - UK/USA)', ' Get Physical - NL)', 'Quivver (Bedrock', ' Nicola Koch (Mischkultur', ' Felipe & Gusto (Dubhounds - CH)', ' Sirion - CH)', ' Bird (Sirion - CH)', ' Feodor (Sirion - CH)', ' Boris Werner (Voyage Direct', ' Midnight Pulse (Sirion - GR)']
10	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	772649	Dubtopia	 12 December 2015 	['Collynization Soundsystem ', 'Cutkachi ', 'Phrex', 'Commodo ']
11	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	772646	Bass Continuum	 11 December 2015 	['Danny Scrilla', 'Comitissa', 'Sam Binga']
12	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	762376	Midilux	 20 November 2015 	['Electric Minority', 'Till/Tape', 'Sebastian Mullaert & Ulf Eriksson']
13	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	746266	Sinkane & Darkstar	 30 October 2015 	['', 'Sinkane (DFA Records/UK)', 'Afterparty: Princess P ', 'Darkstar (UK)', 'Support: C.Gibbs (USA)']
14	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	755822	Reitschule Fest 2015	 24 October 2015 	['Matto', 'Pantha Du Prince  (live) ', 'Pablo Nouvelle  (live) ', 'Profondo ']
15	56531	 Dachstock Reitschule	Neubrückstrasse 8; 3001, Bern	738104	Elektrostubete's 9th Anniversary	 17 October 2015 	['Ajele (I Feel You', 'Jon Donson (elektrostubete', 'Ion Ludwig  (live) (Toi Toi Musik', ' Get Physical', ' Leftroom / Us)', 'Marcus Meinhardt (Heinz Music / De)', 'Liittle Lu (elektrostubete', ' Sirion Rec. / Be)', ' Meander / Nl)', 'Die Galoppierende Zuversicht  (live) (Bruchstücke / Zh)', ' Lucidflow / Be)', ' Alphahouse', 'Kate Simko  (live) (No. 19', 'About Clint (any:ideas / Be)', ' Naturklang / Zh)']
