	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	89860	 Vior	Löwenstrasse 2, 8001 Zürich	868410	Sunday Breakfast - 5th Birthday Party	 30 October 2016 	['Sandro Kuhne', 'Gianni Callipari', 'Marco Trinkler', 'James Mc Hale', 'Flavio (CH)', 'Praslesh (Raresh & Praslea)', 'Alci']
1	89860	 Vior	Löwenstrasse 2, 8001 Zürich	823499	Sunday Breakfst Zurich 'Season Closing	 24 April 2016 	['Fumiya Tanaka', 'Sandro Kuhne', 'Marco Trinkler', 'Dejan', 'Cabanne', 'Flavio (CH)', 'Ata']
2	89860	 Vior	Löwenstrasse 2, 8001 Zürich	810592	Sunday Breakfast Zurich Easter Special	 27 March 2016 	['Sandro Kühne', 'Shonky', 'James McHale', 'Pasci', 'Rozzo', 'Ferro', 'Seuil', 'Svenskj', 'Nicola Kazimir', 'Alci']
3	89860	 Vior	Löwenstrasse 2, 8001 Zürich	800382	Sunday Breakfast Zurich	 28 February 2016 	['Cassy', 'Gianni Callipari', 'Marco Trinkler', 'Eli Verveine', 'Sonodab', 'Alci']
4	89860	 Vior	Löwenstrasse 2, 8001 Zürich	792827	Sunday Breakfast 'Hello 2016	 31 January 2016 	[' Rogi', ' Sandro Kuhne', 'tINI', ' Flavio (CH)', ' Luke Miskelly', ' Dejan']
5	89860	 Vior	Löwenstrasse 2, 8001 Zürich	776904	Sunday Breakfast Zurich 'Goodbye 2015	 27 December 2015 	['Mara Trax (Vera & Maayan Nidam)', 'Sandro Kuhne', 'JohnLemon', 'Barbir', 'Gianni Callipari', 'Onur Özer', 'James Mc Hale', 'Flavio (CH)', 'Nicola Kazimir', 'Barac', 'Alci']
6	89860	 Vior	Löwenstrasse 2, 8001 Zürich	768949	Sunday Breakfast Zurich	 29 November 2015 	['Francesco Del Garda', 'Sandro Kuhne', 'Lowris', 'Zip', 'Marco Trinkler', 'James Mc Hale', 'Flavio (CH)', 'Sonja Moonear']
7	89860	 Vior	Löwenstrasse 2, 8001 Zürich	758207	Sunday Breakfast '4th Birthday	 25 October 2015 	['Margaret Dygas', 'Petre Inspirescu', 'Sandro Kuhne', 'Marco Trinkler', 'Gianni Callipari', 'Zouaoui', 'Alci']
8	89860	 Vior	Löwenstrasse 2, 8001 Zürich	752838	Sunday Breakfast 'Season Opening	 27 September 2015 	['Dyed Soundorom', 'Sandro Kuhne', 'Marco Trinkler', 'James Mc Hale', 'Flavio (CH)', 'Markus Lindner']
9	89860	 Vior	Löwenstrasse 2, 8001 Zürich	719498	Sunday Breakfast Zurich 'Season Closing'	 31 May 2015 	['CEZAR', 'Mountain People', 'tINI', 'Sandro Kuhne', 'Marco Trinkler', 'Alci']
10	89860	 Vior	Löwenstrasse 2, 8001 Zürich	702961	Sunday Breakfast Zurich	 26 April 2015 	['Louh', 'Praslea', 'Sandro Kuhne', 'Pasci', 'Marco Trinkler', 'Fernando Costantini', 'Flavio (CH)']
11	89860	 Vior	Löwenstrasse 2, 8001 Zürich	692871	Sunday Breakfast Zurich	 29 March 2015 	['Sandro Kuhne', 'Nima Gorji', 'Martinez', 'Gianni Callipari', 'Marco Trinkler', 'Zouaoui', 'Alci']
12	89860	 Vior	Löwenstrasse 2, 8001 Zürich	679234	Sunday Breakfast	 22 February 2015 	['Bill Patrick', 'Sandro Kuhne', 'Marco Trinkler', 'James Mc Hale', 'Beda', 'Flavio (CH)', 'Kamran Sadeghi  (live)', 'Giulia Paradiso', 'Tobi Neumann']
13	89860	 Vior	Löwenstrasse 2, 8001 Zürich	673953	Sunday Breakfast 'Special Date	 08 February 2015 	['Barem', 'Sandro Kuhne', 'Marco Trinkler', 'Alci', 'Olga Korol']
14	89860	 Vior	Löwenstrasse 2, 8001 Zürich	673946	Sunday Breakfast	 25 January 2015 	"['Rainer', 'Sandro Kuhne', 'Archie Hamilton', 'Marco Trinkler', 'Stefan Nolic', 'Flavio (CH)', 'Alci', ""Steve O'Sullivan  (live) ""]"
15	89860	 Vior	Löwenstrasse 2, 8001 Zürich	664308	Sunday Breakfast 'Goodbye 2014	 28 December 2014 	['Julian Perez', 'Sandro Kuhne', 'Alexkid', 'Rino', 'Marco Trinkler', 'DeWalta', 'Zouaoui', 'Flavio (CH)']
16	89860	 Vior	Löwenstrasse 2, 8001 Zürich	662880	Sunday Breakfast - Special Date	 14 December 2014 	['Mountain People', 'Sandro Kuhne', 'Pasci', 'Audino', 'Rossko', 'Marco Trinkler', 'Anthea', 'Guti  (live)']
17	89860	 Vior	Löwenstrasse 2, 8001 Zürich	651509	Sunday Breakfast with Onur Özer & Fumiya Tanaka	 30 November 2014 	['', 'Fumiya Tanaka', 'Sandro Kuhne', 'Roustam', 'Daylight Floor (Upstairs):', 'Marco Trinkler', 'Onur Özer', 'Dark Floor (Downstairs):', 'Nicola Kazimir', 'Alci']
18	89860	 Vior	Löwenstrasse 2, 8001 Zürich	645319	Sunday Breakfast '3 Year Birthday	 26 October 2014 	['Valentino Kanzyani', 'Andre Lemont & Marius White', 'Sandro Kuhne', 'Marco Trinkler', 'Enzo Siragusa', 'Flavio (CH)', 'Alci']
19	89860	 Vior	Löwenstrasse 2, 8001 Zürich	638277	Sunday Breakfast 'Special Date'	 12 October 2014 	['Premiesku (live) ', 'Sandro Kuhne', 'Livio & Roby', 'Edgar Jack', 'Marco Trinkler', 'Beda', 'Ian F']
20	89860	 Vior	Löwenstrasse 2, 8001 Zürich	634868	Sunday Breakfast 'Season Opening	 28 September 2014 	['Arapu (sunrise.ro)', 'Sandro Kuhne', 'Re-UP (Kina Music)', 'Sonja Moonear (Perlon)', 'Marco Trinkler', 'Flavio (CH)', 'Alci']
21	89860	 Vior	Löwenstrasse 2, 8001 Zürich	596461	Sunday Breakfast	 25 May 2014 	['Sandro Kühne', ' ARG)', ' FR)', 'Barem (Minus', 'Marco Trinkler', 'Flavio (CH)', 'Nicola Kazimir', 'Molly (Rex Club', 'Alci']
22	89860	 Vior	Löwenstrasse 2, 8001 Zürich	585106	Sunday Breakfast	 27 April 2014 	['Gill & Gill', ' London)', 'Sandro Kühne', 'Pasci', ' Bucharest)', 'Barac (Sunrise', 'Seb Zito (Fuse', 'Marco Trinkler', 'Nima Gorji (Welt Records', 'Serafin (Mountain People)', ' Ibiza)']
23	89860	 Vior	Löwenstrasse 2, 8001 Zürich	584715	Gold	 05 April 2014 	['Saint Peak', 'Remy Kersten']
24	89860	 Vior	Löwenstrasse 2, 8001 Zürich	579654	Sunday Breakfast	 30 March 2014 	['Sandro Kühne', ' FR)', 'Alexkid (Desolat', 'Cassy (Perlon', ' DE)', 'Barbir', 'Marco Trinkler', 'Zouaoui', 'Flavio (CH)', 'Nicola Kazimir', 'Alci', 'Ezikiel']
