	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	896517	ich du wir	 05 November 2016 	['', 'Stube Hosted By ', 'Luigi Forte B2B Vellum', 'Lorik B2B Whim', 'Loquace + Yamen & EDA ', 'Martin M ', 'Lesnicar ', 'LYE ', 'Dzanin ', 'Spielplatz Helden Basel']
1	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	891694	Mojos Friday mit DJ Gumja	 04 November 2016 	['Fredy S', 'The Alchemist', 'Marc Fuhrmann', 'DJ GUMJA', 'DJ BALU']
2	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	885352	Kaleidoskop – Gregor Tresher ,Deborah De Luca ,Barem	 29 October 2016 	['Barem ', 'Deborah De Luca ', 'Nenad J', 'Backstube', 'Proudly People ', 'Paul Mad', 'Boy.An', 'Gregor Tresher ', 'Ben Ashton ', 'Yannick Müller', 'Ben Yoo Suk ', 'Löwenherz ']
3	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	879904	Vivus Showcase	 22 October 2016 	['Daniel Broesecke', 'Tobi More ', 'Silat Beksi ', 'Konrad Dycke ', 'Trik']
4	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	879888	Crossover - Electronic Selection	 15 October 2016 	['WILLI P', 'FACE DESIGN', 'Jens Lissat']
5	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	847915	Einfach Techno W/ Felix Kröcher	 14 October 2016 	['Felix Kröcher', 'Marc Fuhrmann', 'Darrien ']
6	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	859052	Ran Salman Live	 08 October 2016 	['Ran Salman (live) ']
7	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	824552	Der Dritte Raum Live im Schlaflos	 01 October 2016 	[' & more TBA', 'SoundSow ', 'Der Dritte Raum  (live)', 'Beckers ( D-Nox & Beckers )']
8	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	859056	Curtea Veche Showcase with Alex Celler & Alex Tea	 24 September 2016 	['Alex Tea ', 'Haydn ', 'Nahste Oner', 'Alex Celler ']
9	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	870811	Einfach Tanzen with Super Flu & Mastra Live	 23 September 2016 	['Luciover', 'Gio Amenkov', 'EngBang', 'E-TYPE', 'Cindy ', 'Super Flu ', 'Gypstrip ', 'Mastra Live']
10	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	874826	Day Dance W Wannda Circus	 17 September 2016 	['Tiefgeist', 'Kuhlmann', '959er', 'Pech & Schwefel']
11	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	874825	Tanzamt Meez Eulentanz	 16 September 2016 	['Tanzamt ', 'Joris Belzin', 'Vanessa Sukowski']
12	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	859054	Teenage Mutants	 10 September 2016 	['Roger Torroni ', 'Basstronauten (DE)', 'R-Tec', 'Teenage Mutants (DE)', 'Lukastel']
13	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	853287	2 Years Ich.Du.Wir // w Martin Buttrich & Ben Rau	 03 September 2016 	['Pedram', 'Durdek & Kubin', 'Martin Buttrich (official)', 'Luca Fiorelli', 'dzanin', 'Pask', 'Phil Riss & Ali C', 'Ben Rau']
14	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	824551	Mojo's Friday - one Night with DJ Rush	 02 September 2016 	['', 'Balouk', 'Darrien ', 'Nenad J ', 'Fredy S', 'Mickail ', 'Jorven', 'DJ Rush', 'VJ Gremi ', 'Mihael Simic', 'VJ Bildspur', 'Markova']
15	100477	 Schlaflos Aarau	Tellistrassse 118 A  5000 Aarau	853303	Vivus Showcase	 27 August 2016 	['', 'Konrad Dycke (Vivus / Baile)', 'Josh Wicks (LDN / Novus)', 'Daniel Broesecke (Vivus Records)', 'Senoo (Vivus / Unfelde)', 'Scott Kemp (LDN / Novus)', 'Da.TO (Vivus Records)']
