	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	658390	Freak Out: 16 Jahre Ragaz inc	 06 December 2014 	['', 'Balatonbeats (Tian & Spirit HU)', 'Danielson & norbert.to', 'Floor 1 ', 'Freaky Charly & Oscar Niczzo ', 'Floor 2 ', 'Seb Blake & Albi', 'Modestino & Ed Luis', 'Oliver Aden & Luis Cruz ', 'Adrian Martin ', 'Marcow', 'Sascha Rohrer', 'Cantina Brothers (Capo & Grobi) DE']
1	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	596834	Daydance with Carlo Ruetz & Steven Beyer	 28 June 2014 	['', ' BS)', 'Pawlikowski (Wunschkind', 'Carlo Ruetz (Supdub', 'Steven Beyer (Supdub', 'Louie Liköör (d.i.t.s', ' Berlin)', ' BL)']
2	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	596075	Klangmagnet with Timo Maas	 28 May 2014 	[' Basel', 'Timo Maas - Rocket & Ponies / Coccon', 'Herzschwester - Gelbes Billett Musik', 'Adrian Martin - Miniload / Nordstern']
3	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	895163	WGS - We Got Sound with Osunlade	 26 November 2011 	['Kosta Dee', 'Pepe Brogna', 'Junior B', 'Jack & the Jerk', 'Maurice n Morris', 'Osunlade']
4	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	239099	Electonic House Made Switzerland	 17 April 2011 	['', 'CJ.PHOUS ', 'MIKE T. ', 'LIVE AT SET', 'REVERSE ', 'FRAnk K. ', 'MR.JUKE ', 'LEWIS', 'SIMON ', 'DJS', 'R. San ', 'Mr.Lucky ']
5	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	213950	Nitelife Guide Miller Tour with Dj Ralf	 12 February 2011 	['Ralf dj']
6	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	895275	WGS - We Got Sound with Phil Asher & Marc Evans	 29 January 2011 	['', 'Main Room:', 'Pino Arduini', 'Kosta Dee', 'Cipmo', 'Junior B', 'Marc Evans', 'Steven Stone', 'Terrazza Floor:', 'Paul Thoma', 'Phil Asher', 'Diego Vendossa']
7	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	196243	Pure 4 Years with Dj Spen	 23 October 2010 	[' Frank Vespari', ' Pino Arduini', ' Fred Licci', ' & more', ' Claudio Carrera', ' The Essentials', 'DJ Spen', ' Fred Linger']
8	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	196236	Pureunderground with Thomas Schumacher	 16 October 2010 	[' Fabio Tamborrini', 'Thomas Schumacher', ' Doppelt Gemoppelt', ' The Essentials', ' Cristian Tamborrini', ' Gianni & more']
9	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	895273	WGS - We Got Sound with Bobby & Steve	 09 October 2010 	['Frank Vespari b2b Litte Victor', 'Kosta Dee', 'Feel X', 'Pepe Brogna', 'Maurice n Morris', 'Diego Vendossa', 'Bobby & Steve']
10	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	146382	Stammplatz vs Ragaz Inc featuring Oliver Koletzki	 20 February 2010 	['Adrian Martin (Miniload)', 'Ed Luis (Absolute Records)', ' Zürich)', 'Danielson (Ragaz Inc.)', 'Oliver Koletzki (Stil Vor Talent', ' Berlin)', 'Norbert.To (Ragaz Inc.)', 'Oliver K. (Dusmo)', 'Animal Trainer (Stil Vor Talent', 'Purple Project']
11	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	126006	Freak Out At 11 Years Ragaz Inc	 07 November 2009 	['Norbert.to', 'Ed Luis', 'Michael Gull ', 'FreakBoutique', 'Coffy Drop ', 'Fabio Tamborini', 'Steve Cole ', 'Danielson', 'Nik Frankenberg ', 'Cristian Tamborrini', 'Nico', 'DModestino ', 'Marcos del Sol ', 'Thom Nagy ']
12	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	895278	WGS - We Got Sound with Sam Divine & Panevino	 16 May 2009 	['', 'Main Room:', 'Mark Stone', 'Sam Divine', 'Diego Vendossa', 'Jack & the Jerk', 'Terrazza Floor:', 'Sam Genious', 'David Fernaux', 'Panevino', 'Chris di Carlo']
13	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	93033	Senses with Camea / Julietta / Ralph Sliwinski / Syntec	 02 May 2009 	[' Syntec', ' Julietta', ' Erasmus & Krieger', ' Fran-G', ' Nik Frankenberg', 'Camea', ' Doppelt Gemoppelt', ' NDKj', ' Miett', ' Bee Lincoln', ' Ralph Sliwinski']
14	17251	 Baselcitystudios	Frankfurt Strasse 36; 4023, Basel	895655	WGS - We Got Sound with Copyright	 06 December 2008 	['Robert Nesta (Purple Music)', 'Copyright (Defected)', 'Kosta Dee', 'Pepe Brogna', 'Sam Genious', 'David Fernaux', 'Ray Jones (Soulfuric)']
