	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	895126	Voie 7 W/ Shed	 05 November 2016 	['', 'Ojié', '________', '_____', 'KISS ROOM', 'ANDREAS & MLK', 'Shed', 'C-RAY']
1	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	895121	6 ans du Motel - Berceuse Héroique Label Night	 29 October 2016 	"['', 'MAUDITE & LE HORLA', 'KISS ROOM', ""DON'T DJ  (live)"", 'ΚΕΜΑΛ', 'Opuswerk']"
2	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	886698	Reouverture du Motel	 15 October 2016 	"['Liam Butler', ""Anthony 'Shake' Shakir"", 'DJ FINE', 'Castro Moore', 'DFIND', 'NEMO']"
3	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	879071	Voie 7 with Anthony Parasole, L'hamecon Gang, Rive Magenta & Genevegas	 17 September 2016 	"['', '02:00 - 04:00 Anthony Parasole......................(Ostgut Ton/Berlin)', 'CLUB', 'KISS ROOM', 'RIVE MAGENTA & FRIENDS', ""00:30 - 05:30 SOFA TEE & HERMES...............(L'Hameçon/RM)"", ""04:00 - 05:30 OJIE...........................................(L'Hameçon/GE)"", ""00:00 - 02:00 FION 2000................................(L'Hameçon/GE)""]"
4	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	877218	Midnite Tease with Luca Lozano, A. Heiniger, Eevy & Lumpex	 10 September 2016 	['', '00:00 - 02:00', 'Lumpex ( Poland / Zürich)', '02:00 - 04:00', 'KISS ROOM:', 'CLUB:', '04:00 - 05h30', 'A. Heiniger (Handle with Care / Oram Modular /GE)', 'Eevy (Traffic / Lausanne)', 'Luca Lozano (Klasse Recording/Sex Tags UFO / Berlin)', '00:30 - END']
5	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	867258	Poly Dance w / Soichi Terrada	 26 August 2016 	['', '_____', '00:00 – ANDROO', 'CLUB', '––––––––––––', 'SMALL ROOM', '02:00 – HORASSE & Tissu', '03:00 – Alan Bolumar', '02:00 – Soichi Terada  (live)']
6	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	867259	Euphoria w / Daniel Wang	 20 August 2016 	"['', '04:00 - END : Crowdpleaser..............(Turbo records/Ge)', 'GARDEN', 'CLUB', '16:00 - 19:00 JEAN TOUSSAINT & 2000', '02:00 - 04:00 : Daniel Wang (Balihu Records/USA)', 'KISS ROOM', '01:00 - 02:00 : ARTMAILLE (Studio 1157/Ge)', ""00:00 - 01:00 : MAH'MOOD (Constell' /Ge)"", '00:30 - END : JEAN-TOUSSAINT & 2000', '23:00 - 00:00 Daniel Wang', ""21:00 - 23:00 MAH'MOOD"", '(Les Diplomates / Ge)', '19:00 - 21:00 ARTMAILLE']"
7	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	866404	Nuisance Sonore 01 with DJ Pete [techno]	 13 August 2016 	"['', '00:00 - 02:00 - Clara (CH) (Sound Metphaors/Ge)', 'CLUB', 'KISS ROOM', '02:00 - 04:00 - Substance aka DJ Pete (Hardwax/ Berlin)', '00:00 - 05:30 Av Skardi...........................(BRU/T)', ""04:00 - 05:30 - Strb (Wed'techno/Ge)""]"
8	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	835689	Motel IN Progress with Young Marco, Oram Modular & Nina Nana	 14 May 2016 	['Young Marco', 'Oram Modular ']
9	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	814949	Bye Bye Motel	 18 March 2016 	['Crowdpleaser', '', 'Quarion', 'Lakuti', 'Oram Modular']
10	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	808909	Voie 7 with Ron Morelli, Ojié, Fion 2000, Andreas & Mathias	 05 March 2016 	"[""Ojié (L'Hameçon)"", 'Ron Morelli (L.I.E.S)', 'Mathias & Andreas (Part of the Gang)', ""Fion 2000 (L'Hamecçon)""]"
11	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	799184	XDB	 05 February 2016 	['MAHMOOD', 'XDB', 'ARTMAILLÉ', 'GaLaBar', 'Sins']
12	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	793276	Club Heaven PT. 11 with PLO Man, Finn Johannsen & Oram Modular	 30 January 2016 	['Finn Johannsen ', '', 'MATTIØ & AVA ', 'PLO Man', 'Oram Modular']
13	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	777601	Manifesto Festival (Day 03)	 12 December 2015 	['', 'Kai Alce', 'Oram Modular', 'Mark Seven', 'FunkinEven']
14	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	777596	Manifesto Festival (Day 02)	 11 December 2015 	['Les Diplomates', 'Clara (CH)', 'Mark Ernestus', 'Hugo Mendez', 'Boris']
15	33242	 Motel Campo	Route des Jeunes 13; 1227, Acacias	778599	Manifesto Festival (Day 01)	 10 December 2015 	['', 'Tapes  (live)', 'Polydance Djs', 'Bongo Joe Djs', 'DJ Sotofett']
