	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	521134	Onur Özer	 28 September 2013 	['Onur Özer COCOON RECORDINGS']
1	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	467384	Teknologik - Just Music - SCI TEC present Dubfire Shaded	 26 April 2013 	"['', 'Romano Rapeso', '- Edison Cabrino ( Overless )', 'SHADED  (live)', ' Overless )', ""- Hiivemind ( Stallo & Et'n"", 'Dubfire', '2floor:']"
2	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	467948	Just Music present Etruria Showcase Luca Agnelli & Marco Faraone	 05 April 2013 	['', 'Frank Storm ( Sleep is commercial & Bolgia)', 'Marco Rossi', 'MAIN Room', 'Warm up', 'Teo Ermotti ( resident Just Music - CH)', 'David Smile b2b Pat K.P ', '2st. Room:', 'Bellomz ( Swiss - CH)', 'Etruria Beat Showcase', 'Luca Agnelli & Marco Faraone', 'Simplistic (Happy People)']
3	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	461290	Teknologik - Just Music present M-nus Showcase with Matador (Live) // Hobo // Heartthrob	 29 March 2013 	['', 'Hobo // M-nus', 'Matador  (live) // M-nus', 'Heartthrob // M-nus']
4	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	463009	Sabato 23 Elektrolovers - Dr. Lektroluv	 23 March 2013 	['Hiivemind  (live)', 'Bad Nelson from Losanna ( Party Bangers! )', 'Dr. Lektroluv']
5	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	453805	Just Music present Cyberpunkers	 23 February 2013 	"['', 'Dj Raver (Were Wolf Project)', 'Second floor:', 'Dj Scream (Netunes) -> finale Frenchcore', 'Just Music - 23 febbraio 2013', ' 24', 'PER CHI ARRIVA DA MILANO', 'Info Liste Prenotazione Tavoli ', ' uscita Mendrisio.', '☎ 0041 79 58 68 812', 'warm up:', 'a 300 mt uscita autostrada.', 'Edison Cabrino', ""Vicino al Casino' Admiral e Fox Town"", ' fatti mettere in lista', ' Stabio – Mendrisio', '☎ +39.338.94.70.704', ' Valico autostradale di Chiasso-Brogeda', 'LINE UP:', '(entro la 1.00)', 'CH-6850 Mendrisio', 'S 233 direzione Malnate', 'Dj Giuly (All Best Rave Swiss)', 'Per pagare meno', 'PER CHI ARRIVA DA VARESE', 'Prezzi ', 'DJ Alex B Hard (Hardestmusic)', ' Gaggiolo confine-CH', 'Dj Kemikal (Were Wolf Project)', 'In list: con drink chf 25.- / € 20', 'Autostrada A9 direzione Como Nord', '- Cyberpunkers', 'Marco Rossi', 'Come raggiungerci ', ' Autostrada A2 direzione Lugano', 'No list: con drink chf 30.- / € 25', 'Via Angelo Maspoli']"
6	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	453067	Teknologik present Paco Osuna	 22 February 2013 	"['', 'Main Room:', 'Simon T', ""Et'n b2b Matteo Melillo"", 'Stefano MTM b2b Grow Frequency', 'Simplistic', 'Nelson Garcia', 'Mattia Presta b2b Sthepan Esse', 'Paco Osuna', 'Dj Adryan Galantucci', '2room:']"
7	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	443439	Just Music present Cadenza Showcase	 25 January 2013 	['', 'Kenny Ground', 'Michel Cleis', 'Alexander Vogt ', 'Mendo', 'Second Florr', 'PAT.K.P B2B ALEX ANDER ', 'SIMON STK']
8	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	427046	Teknologik with Gaiser Live, Hearttrob Live	 30 November 2012 	['', 'Romano Rapeso', '2nd Room: ', 'BREKOWSKY b2b JONNYNES', 'NEIGHBOUR GUIZ', 'SEVEN', 'STEFANO MTM b2b MIRKO GROOVE FREQUENCY', 'Heartthrob [Minus] live', 'HECTOR DMB b2b ALEX ANDER', 'Gaiser [Minus] live', 'Main Room: ']
9	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	687252	Rewind Ibiza	 17 November 2012 	"[' Hiivemind', "" Stallo & Et'n"", ' Matteo Melillo', ' Marco Rossi', 'Tucillo', ' Nelson Garcia']"
10	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	407410	M.A.N.D.Y. & Audiofly	 12 October 2012 	['M.A.N.D.Y. ', 'Audiofly']
11	57328	 Arena Mendrisio	Via Angelo Maspoli, 24 CH-6850 Mendrisio	324889	Forever Young! Records Party at Arena - Mendrisio	 07 January 2012 	['Fedo Mora', 'Livia Moretti voice', 'Raf Marchesini', 'Max Bragantini aka Max B']
