	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	774585	#Footwork	 14 November 2015 	[' Discarga VS', 'Blaise Deville', ' Lukatoyboy', ' Uhuruku']
1	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	767250	Svartvit, Jean-François Laporte - Atonal presents	 07 November 2015 	[' EVA D.', ' JEAN-FRANÇOIS LAPORTE', 'SVARTVIT']
2	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	752179	Fun Zone EP Release Party with La Vie C'est Facile, Guyus & Lord Soft	 10 October 2015 	"[""La Vie C'est Facile (Creaked Records / Biel)"", 'Faust (Bass Vandalizm / ZH)', 'Guyus (DubExMachina / ZH)', 'Lord Soft (ça claque / Basel)']"
3	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	743688	Atonal presents Mei Zhiyong & Dave Phillips	 22 September 2015 	[' Dave Phillips', 'Mei ZhiYong']
4	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	739491	Capcom's & Frank Werner's Chaos Day	 19 September 2015 	['Isa Bazzgier (CH)', 'General Rush (DE)', 'Killernoizes ( DE )', 'Mario White (DE)', 'Capcom (CH)', 'Crimetekk (ÖSI)', 'Schimpy (DE )', 'Two of a Kind (DE)', 'Dj Intec (CH)']
5	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	728528	Footwork Unter dem Eisenbahnwagen	 11 July 2015 	[' Discarga VS', ' Uhuruku', 'Franjazzco']
6	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	716121	Ilios, Flo Kaufmann - Atonal presents	 05 June 2015 	['Ilios', ' Eva D.', ' Flo Kaufmann']
7	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	708467	Atonal presents Helios & Hess, Frantz Loriot	 08 May 2015 	[' FRANTZ LORIOT', 'HELIOS & HESS']
8	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	696960	CON-DOM, Brut	 16 April 2015 	[' BRUT', 'CON-DOM', ' Eva D.']
9	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	688751	Anemone Tube, Keränen, Jen Morris aka [sic]	 13 March 2015 	[' Jen Morris aka [sic] (Montréal)', ' Keränen (Helsinki)', 'Anemone Tube (Berlin)']
10	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	684066	Playpad Circus, Lcp & The Weaponstore	 26 February 2015 	[' The Weaponstore', 'Playpad Circus', ' Lcp']
11	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	677280	Rudolf Eb.er, Dave Phillips: Schimpfluch: Atonal	 17 February 2015 	[' Zürich - live act)', ' Eva D. (Schimpfluch', ' Zürich - DJ)', ' Dave Phillips (Schimpfluch', ' Osaka - live act)', 'Rudolf Eb.er (Schimpfluch']
12	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	678879	Tekkno4life	 06 February 2015 	[' DJs: Jolly Buoy', 'live: S S S S', ' La B )))', ' Nik! // Ink!']
13	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	674081	Robert Curgenven, B°tong - Atonal	 15 January 2015 	[' Eva D.', 'Robert Curgenven', ' B°Tong']
14	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	651506	Footwork Battlefield	 07 November 2014 	['Malki', ' Discarga VS', ' Softy', ' Uhuruku']
15	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	590009	My Panda Shall Fly - No Secrets EP Launch	 02 May 2014 	[' Creaked DJs', 'My Panda Shall Fly (live)', ' Paws live', ' Nik! dj']
16	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	554031	Marc D'arrigo, Mike Waulie, t.Rashid & Uhuruku	 24 January 2014 	"['Uhuruku (m.m label)', 't.rashid  (live) (KFE3SH)', ""Marc D'Arrigo (zweikommasieben)"", 'Mike Waulie (VANDALIZM)']"
17	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	551797	Dave Eleanor Release	 04 January 2014 	['visuals: Pixelpunx', 'DJs: Guyus ', 'Dave Eleanor  (live)']
18	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	545094	Honeys Club with Rumpistol	 14 December 2013 	[' Nik! DJ', ' live)', ' MistaMista DJ', ' .suffix', 'Rumpistol (DK', ' Somtek (live)']
19	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	543955	10 Years Comfortnoise with Eli Verveine & Comfortnoise Ploy	 07 December 2013 	['- COMFORTNOISE PLOY (a.k.a. djs xeed & new.com', ' mc iyah ranx & echo master rjega; zürich)', ' two turntables', '- Eli Verveine (tardis records; zürich)', ' a microphone & a roland Space Echo re-201']
20	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	534471	Rotkeller	 02 November 2013 	[' Matu', 'Rotkeller (live)', ' Nik!']
21	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	523126	Z.L.U.T. 6	 27 September 2013 	['Dollar Mambo (live) ', 'Markese (dj set)', 'Idealist (live) ', 'MRZ live ']
22	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	516765	Hieroglyphic Being	 18 September 2013 	['Hieroglyphic Being']
23	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	463127	Hula Honeys	 29 March 2013 	[' D. Brun del Re', 'The Legendary Reggae Riot Soundsystem', ' Hepp']
24	75922	 Klubi	Wasserwerkstrasse 89a, Zürich	463119	Klubi	 15 March 2013 	['La Bombe', ' P-Tess', ' Nik!']
