	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	12886	 Mica	Pl. St-François 12; 1005 Lausanne	649633	This is a Serious Monkey Affair 	 13 November 2014 	['Ugly Kids', 'Monkey Safari']
1	12886	 Mica	Pl. St-François 12; 1005 Lausanne	579924	Smash TV On Stage	 21 March 2014 	['Helder Costa & Lee Low', 'Roman', 'Smash TV ']
2	12886	 Mica	Pl. St-François 12; 1005 Lausanne	560196	On Stage Hosting Catz 'N Dogz	 28 February 2014 	"[""Catz 'N Dogz"", ' Radi & Keith']"
3	12886	 Mica	Pl. St-François 12; 1005 Lausanne	558267	Animal Trainer On Stage	 24 January 2014 	['Animal Trainer (Stil vor Talent', ' Minidetail/Lausanne)', 'TOASTY (Musik 2.0/Lyon)', 'Olafson (Little House', ' Hive Audio/Zurich)']
4	12886	 Mica	Pl. St-François 12; 1005 Lausanne	540894	Doctor Dru On Stage	 29 November 2013 	['Toasty (MusikToast - Lausanne)', 'Doctor Dru (Exploited / Jeudi rec - Hamburg)']
5	12886	 Mica	Pl. St-François 12; 1005 Lausanne	531537	Minidetail	 25 October 2013 	['Ale Marquez', 'Miguel Campbell', 'Radi & Keith ', '( Musiktoast / Paris )', '( Cityseven Music / London', 'Toasty ', '( Hot Creation - Outcross Records / London )', '(Nomadas Groove / Barcelona )']
6	12886	 Mica	Pl. St-François 12; 1005 Lausanne	485511	Lausanne F**K Ibiza	 25 May 2013 	['Dj Tom Vibe ', 'Dj Nikolaz']
7	12886	 Mica	Pl. St-François 12; 1005 Lausanne	485519	Lausanne Fuck Ibiza	 27 April 2013 	['Tom Vibe']
8	12886	 Mica	Pl. St-François 12; 1005 Lausanne	429066	Sergio Mauri	 21 December 2012 	['Sergio Mauri']
9	12886	 Mica	Pl. St-François 12; 1005 Lausanne	360235	Monica X Club Together with Tom Vibe	 26 May 2012 	['Monica X + TOM VIBE.']
10	12886	 Mica	Pl. St-François 12; 1005 Lausanne	170678	The Cruzaders At Mica Club (Lausanne - Ch)	 24 September 2010 	['The Cruzaders']
11	12886	 Mica	Pl. St-François 12; 1005 Lausanne	136215	The Cruzaders	 07 May 2010 	['The Cruzaders']
12	12886	 Mica	Pl. St-François 12; 1005 Lausanne	136213	The Cruzaders At Mica Club (Lausanne - Ch)	 13 March 2010 	['The Cruzaders']
13	12886	 Mica	Pl. St-François 12; 1005 Lausanne	65574	Grant Nelson	 27 September 2008 	['Grant Nelson']
