	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	768480	Junior Boys	 18 February 2016 	['Junior Boys']
1	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	442674	Chartiy Cartoneros y sus Chicos in Buenos Aires	 17 January 2013 	['Charles Meyer']
2	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	259556	City Lights Reloaded	 13 August 2011 	['THE FLYING MUSTARDS ', 'motionlab.ch', 'Tomcraft ', 'Antix ', 'TOBI DREIPOL ', 'Santosh Khan', 'D-Nox ']
3	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	227628	Ohrgold	 26 February 2011 	['Simon & Shaker', ' Makau', ' BOCUSE', ' THE FLYING MUSTARDS']
4	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	221326	90bit - Techno Aus Den 90ern	 12 February 2011 	['Dirty Greg', 'Monotox', 'Procid']
5	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	198269	Papiersaal Rot	 27 November 2010 	['Eelke Kleijn']
6	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	161175	Maxxximal presents Radio Slave	 08 May 2010 	['', '••• Cesco', ' Romeo', '••• Regenbogen (maXXXimal)', '••• PASCI', 'Main Floor:', '••• Santoros (Special Intro Set)', ' Flowbuster (maXXXimal)', '••• Reto Ardour', '••• Leventino', '••• Radio Slave (REKIDS', ' UK)', '••• MAS RICARDO', 'Miau Studio Floor:', '••• Quitim', ' Lolo (Miau Studio)', 'http://www.myspace.com/djleventino', '••• Tarco', '••• Benja', '••• ANDRI LIVE (Highgrade)']
7	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	139496	Take Your Pills Edition	 27 February 2010 	[' Beda (Dekadance/Minimaldesigner)', ' Co.Mini (GS/Glueckstueck)', ' San Marco (Cheeky Choice)', ' Intro by Andersen (dusk.li). Visual Animation by NEOGOLDEN (Austria)', 'Wandler (Motoguzzi Rec.)', ' Afterhour guarantee @location tbc.']
8	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	122069	Dusk Party - Landing On Planet Moon Edition	 07 November 2009 	['Valentino', '', ' Ollin', ' Michael Fresh', ' De la Bass', ' Andri', ' Wicked Wilma', ' Monoteque', ' Saty', ' Ivo Christow', ' Rino', ' Andersen', ' Spikers', ' Duff']
9	16960	 Papiersaal	Kalanderplatz 1; 8045, Zürich	91360	Spezial Event	 28 March 2009 	['', ' MarcIntosh', 'Joachim Spieth', ' Neon Golden VJ', ' Goetzlich', ' Andersen', ' Don Ramon']
