	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	67377	Minishake with Réne Dachner	 11 October 2008 	[' DE)', ' Uebel & Gefährlich / Hamburg', 'Jacqui & Réne Dachner (Weald']
1	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	52896	Opuswerk Live Hosted By Littlehouse	 08 May 2008 	['Opuswerk (live act)', 'dj little (littlehouse)']
2	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	46414	2 Years Minishake	 14 March 2008 	['Lukas Kleesattel (Beam Rec- Bern) ', ' Harry Klein Networks)', 'Ast (Mischpult / ZH)', 'Jacqui (Archipel']
3	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	41369	Plastic Fantastic Record Shop Support Night	 01 March 2008 	['Nicolas Duvoisin & tsacK']
4	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	38131	Littlehouse_ch 2nd Birthday with M.B.A.H, Mi-sùmo, Andres Marcos	 22 December 2007 	['Mi-Sùmo', 'M.B.A.H', 'Andres Marcos']
5	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	44132	Sinner Dc & Volt Face	 16 December 2007 	['Sinner DC & Volt Face']
6	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	32819	Billy Dalessandro - Live	 01 December 2007 	['Billy Dalessandro']
7	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	29056	Cream Or Pink	 31 August 2007 	['Dj Reas & Massimiliano M.']
8	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	22344	Piment Rouge - Geneva, With M.B.A.H	 14 April 2007 	['', '@Artamis', ' VVVWIndeed) From Karaoke To Stardom (Rygular)', 'DJ Dub (Littlehouse)', ' M.B.A.H (FriendsElectric', ' just only club listed here in Geneva near the venue)', ' Geneva (not Crem']
9	2985	 Crem	Boulevard Helvétique 10; 1206, Genève	9932	Crem Genève	 03 December 2005 	['Dubfunk']
