	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	883757	Tasty Event presents Brown S Feat. DJ Le Roi & She Nionika	 08 October 2016 	[' She Nionika', ' Brown S', 'DJ Le Roi']
1	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	642018	Tasty presents Noir (Noir Music, DK)	 01 November 2014 	['Steven Jamal', 'NOIR (Noir Music', ' DK)', 'Brown S']
2	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	542477	Jetlounge	 30 November 2013 	"['David Armada (Specimen)', 'STEPH:G (Jetlounge)', 'b2b CARLO L. (Rooftop Hookers)', ""LUCAS RAMIREZ (Nobody's Perfect)"", 'DELAYED PROJECT (Electro-Culture Mix - ECR & Ayeko.com [ WebRadio & Netlabel ]']"
3	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	469175	Tasty Event presents: SAM Divine - Brown S - Steven Jamal	 13 April 2013 	['Sam Divine', 'STEVEN JAMAL', 'Brown S']
4	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	446779	Manifique Party with Michael Calfan	 02 March 2013 	[' Sam Carter (Paris)', ' Steven Jamal', ' Mouchou', 'Michael Calfan (Paris)']
5	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	441799	Tasty Event presents: Brown S Birthday Feat. Copyright, Mirco Many & Steven Jamal	 02 February 2013 	['Steven Jamal', 'Copyright (Defected/UK)', 'Mirco Many (Traxx fm)', 'Brown S']
6	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	351362	Tasty present Brown S Feat. Hardsoul (Greg VAN Bueren) & Nebat Drums	 28 April 2012 	"[""Brown'S"", 'Hardsoul - Greg Van Bueren (NL)', 'NEBAT Drums (F)']"
7	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	305512	Isolée Live and Caracas Club Aka Kadebostan & Laolu	 05 November 2011 	['', 'Isolée (live) (Pampa / Playhouse) Frankfurt-DE', 'Caracas Club aka Kadebostan & Laolu (Freude Am Tanzen / Mental Groove / Fenou)']
8	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	271439	Rotations presents Neptune	 09 July 2011 	['DUB GRAFFITTI & Alfredo Ramos ', 'WAKE & DJ BRUN_O', 'Miguel Rendeiro ', 'Luca Bacchetti ', 'DJ Reas ']
9	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	237601	Manuel De La Mare	 05 March 2011 	['DJ Duckk', 'Manuel De La Mare', 'Miss Duckin', 'K.Sandra']
10	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	228211	L'Inferno! Chris Tietjen, Alex Kostic & Eric De Mars	 04 March 2011 	[' Alex Kostic', ' Eric de mars', 'Chris Tietjen']
11	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	228602	Jennifer Cardini	 04 February 2011 	"['', ""O'xensa"", 'Jennifer Cardini', 'DEEJAY NIONIKA']"
12	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	223408	M-nus with Hobo	 15 January 2011 	"['23h00 : Ph-Neutre (Médiateurs', '02h30 : Hobo (M-nus) Canada', ' ElectroSystem) Lyon', ""01h30 : O'xensa (O'xensa Rec) Geneva"", '03h30 : Damian Deroma (Arteria Music Rec) Geneva']"
13	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	218983	Antarticas Crystal Fire Night	 01 January 2011 	[' NILS', 'Dave The Hustler', ' etc...', ' PLASTIQUE DE REVE', ' TSAK']
14	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	212104	Un Étrange Noël Avec Marshall	 25 December 2010 	['Marshall']
15	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	206189	La Trilogie O'Xensa - Chapitre 2: L'Irrationnel	 19 November 2010 	"['Speedy J (Electric Deluxe) NL', "" O'xensa (O'xensa records) CH"", ' Myah - CA', ' Phil Kieran (Cocoon Recording) UK']"
16	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	203172	Mcde - Geneva International Film Festival	 05 November 2010 	[' Chaton', ' Motor City Drum Ensemble', 'Se-te-ve']
17	33139	 Uptown Geneva	Rue de la Servette 2; 1201, Geneva	181209	La Trilogie O'Xensa: 1er Chapitre	 17 September 2010 	"[' CH) ', 'Cari Lekebusch (Drumcode', ""O'xensa (O'xensa records"", 'Heartthrob (M-nus', ' SE) ', 'Ronny Vergara (CH)', ' USA) ']"
