	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	482956	Neonized Openair mit Blond:ISH	 01 June 2013 	[' Tableturner Duo', 'Blond:ish', ' Paulo Diaz', ' Zwillingsmann', ' Adimatique']
1	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	472512	Tanzbär	 20 April 2013 	[' Manuel Moreno', ' Pasci', ' Reto Ardour & Benja', ' Neamatiques', ' Bassbüro', 'M.A.N.D.Y (Get Physical / Berlin)', ' HOBO (Minus / Canada)', ' Meikel']
2	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	461464	Turbulent Entertainment Pres. Super Flu	 13 April 2013 	"['Super Flu (Monaberry', ' Sunset Handjob / Halle)', ""+ Turbulent DJ's"", 'Gogo (Superyellow / Zürich)', 'Tillhelm Well (Turbulent Entertainment / Thurgau)']"
3	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	444875	Neonized Carnival: Matthew Burton & Duo Dumpf	 23 February 2013 	['Duo Dumpf (Jann Bronnski & Barbir)', ' Matthew Burton', ' Zwillingsmann', ' Biebers']
4	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	423716	Neonized Part 2 - Tapesh & Tableturner Duo	 08 December 2012 	['', 'Marco Nea (Gate 14)', 'Tableturner Duo (Naturklang ZH)', 'BIEBERS (SICKNESS Konstanz | Neonized)', 'Tapesh ( Noir | Get Physical | Variante Music)']
5	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	414299	Last Call for Nicole Moudaber	 20 October 2012 	['Nicole Moudaber', 'Max ', '', ' London)', 'Adimatique (Gate 14)', 'Pendler (Gate 14)', 'Kreuzton (Klangwelt 7)', 'Marco Nea (Gate 14)', ' (Safehouse']
6	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	397042	Neonized // W Jake the Rapper	 13 October 2012 	[' mathieu sabotage B2B such a serge', ' Valentino', ' adimatique', 'Jake the Rapper']
7	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	352602	Taktvoll	 07 April 2012 	['', 'Adimatique', 'Björn Arryhl', 'Andhim', 'Marco Vertoner', ' DE)', '(Hive Audio', 'Jay Joe', 'Manuel Moreno', ' ZH)', 'Benja', '(Terminal M']
8	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	352603	Flug 0504	 05 April 2012 	['', '(Cityfox', 'Miguel', ' Zürich)', 'Nader', 'Rino', 'Blair', 'Mirco Mendosta', '(Party Garantie']
9	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	348554	One Year Gate 14	 17 March 2012 	['Such a Serge', 'Pendler', 'Adimatique', 'Miguel', 'Marco Nea', 'Darrien', 'Format:B (live) (Restless Album Tour)', 'Many More', 'Sandsturm', 'Mirco Mendosta']
10	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	339550	Taktvoll	 25 February 2012 	[' Remote Area', ' DIAZ DJ', ' MIRCO MENDOSTA', ' NL)', 'Lauhaus (Soweso', ' MIGUEL']
11	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	311986	Boll-Werk Indoor Edition	 03 December 2011 	['', 'GOA FLOOR:', 'THOMAS P HEKMANN (Frankfurt-Berlin-UK )', 'Marc Fuhrmann (Panthera Rec./IllusuonsRoom)', 'Digitalist (OSF', 'FriendlyFire (Asisozial/Pattern InChaos)', 'MINI-TECH-HOUSE FLOOR:', 'LAIKAN (Street-parade/Zoom)', 'Terasun (Pattern InChaos)', 'PsYnesS (MushdooM rec/I.g. Tanznatur)', 'Marco Nea (Klangwelt7)', 'Pascal Thomson (I.g. Tanznatur)', ' Damaru', 'Vertoner (I.g. Tanznatur)', ' ...)', 'Sonik (HIVE/Zh)', ' Deviant Force', ' Zaikadelic', 'Pascal Prosper (leeloop-records/I.g. Tanznatur)']
12	52515	 Gate 14	Weststrasse 14; 8570, Weinfelden	292704	'Take Off' Mit Philip Bader	 17 September 2011 	[' Highgrade Rec.)', 'Philip Bader (Bar25', ' Sandsturm (Klangwelt 7', ' Marco Nea (Gate14', ' TG)']
