	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	835170	Licht zum Sonntag mit Soul Clap	 08 May 2016 	['Soul Clap (Crewlove)', 'Fabri (Licht im Dunkel)', 'Pazkal (Licht im Dunkel)', 'Boris Why (Audiotheque)', 'Subversion officiel']
1	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	827567	Traumschiff mit David Jach	 30 April 2016 	[' Upon.You', ' Get Physical)', 'FABRi (Licht im Dunkel)', 'Pazkal (Licht im Dunkel)', 'David Jach (Hive Audio', 'JACK & JUUS']
2	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	826249	Esance	 13 April 2016 	[' Juzz', 'Yougene']
3	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	823137	Licht zum Sonntag mit Tuccillo	 10 April 2016 	['Tuccillo (Visionquest / Unblock / Holic Trax .)', 'Dimitri', 'Dario La Mazza', 'Chic Brown']
4	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	812927	Licht zum Sonntag mit Pillow Talk	 13 March 2016 	['Rolf Imhof', 'Brothers in Arms', 'Fabri', 'PillowTalk Concert & (dj set) (Crew Love)', 'Pazkal', 'Santoro&Blair']
5	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	802413	Licht zum Sonntag mit Todd Terry	 21 February 2016 	['Jack & Juus (Ibiza Global Radio)', 'Dario La Mazza (Licht im Dunkel)', 'Mirco Caruso (Hive Audio)', 'Bohnenblust (Supermarket)', 'Todd Terry (InHouse Records)', 'Pazkal (Licht im Dunkel)']
6	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	793858	Traumschiff with Sam Divine	 30 January 2016 	"['Murciano (Terrazzza)', 'DJ Sam Divine (Defected Records)', 'Pazkal (Licht im Dunkel)', 'Roman Klinger (Terrazzza)', ""Dario D'Attis ''Official'' (Hive Audio)""]"
7	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	784239	Licht zum Sonntag - Auftakt	 10 January 2016 	[' Suara', 'Dario La Mazza (Licht im Dunkel)', 'Brothers in Arms (TerrazzALE)', 'Pazkal (Licht im Dunkel)', 'Mihalis Safras (Material', ' Viva Music', ' Jardin Collectif)', ' Toolroom)', 'Jimi Jules (Hive Audio)', 'Dejan (Cityfox']
8	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	444778	Jesse Rose Live	 06 February 2013 	['Jesse Rose']
9	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	438351	Esance	 09 January 2013 	[' Ursprung', 'Rennie Royma & Kare Kyl']
10	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	427926	Esance	 12 December 2012 	['Click | Click (Kassette/ Stranjjur_Rec/ Berlin)', 'Mik Maroo (Kumquat/ Hive/ Zürich)']
11	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	383880	Esance	 11 July 2012 	['Nici Faerber', 'Luki Music']
12	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	383877	Esance	 04 July 2012 	['Kellerkind', 'Juli Holz']
13	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	375569	Esance - Miteinander Labelnight	 27 June 2012 	['Pablo Einzig', 'Abdel Hady', '+ Friends']
14	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	375568	Esance	 20 June 2012 	['Rumlaut']
15	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	375567	Esance	 13 June 2012 	['Bardo & Salazar']
16	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	375566	Esance	 06 June 2012 	['Levin', 'Mik Maroo']
17	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	364362	Esance	 30 May 2012 	['Animal Trainer']
18	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	364940	Esance & Neon Indian in Concert	 23 May 2012 	['Mercury', 'Neon Indian', 'Jimi Jules']
19	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	364358	Esance	 16 May 2012 	['Gleichschritt']
20	6631	 Mascotte	Theaterstrasse 10; 8001, Zürich	364355	Esance	 09 May 2012 	['Mismo', 'Sche Sche']
