	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	7954	 Zoo	Place des Volontaires 4; 1204, Genève	892979	Groovadelic Ritual [GOA/PSY/TRANCE]	 05 November 2016 	"['', 'Karash LIVE (2to6 Records / CH)', ""Fagin's Reject (Wildthings records / UK)"", 'Nanodio (CH)', 'Psyberpunk (Free Alps / CH)', 'Visual : Vj Mus (CZ) & Deco Cyreal (CZ)', 'Sensient (Zenon records / DE)']"
1	7954	 Zoo	Place des Volontaires 4; 1204, Genève	892975	Around The Rhythm [WORLD Electronic/TECHNO]	 04 November 2016 	['Débruit  (live) (Soundway', ' FR)', ' Beats in Space / DE)', 'Schnautzi (Argent Sale / CH', 'Africaine 808  (live) (Golf Channel Recordings', 'Ianoo (Constellation / GE)', ' UK)', ' W.T. Records', ' Musique Large', ' Civil Music / BE']
2	7954	 Zoo	Place des Volontaires 4; 1204, Genève	881300	Electron Hub Weekend • Night 2	 29 October 2016 	['Guillaume & The Coutu Dumonts (live) ', 'Baumeister (live) ', 'Paul Woolford ', 'ManuHeme ']
3	7954	 Zoo	Place des Volontaires 4; 1204, Genève	881291	Electron Hub Weekend • Night 1	 28 October 2016 	['Franco Mento (live)', 'Xhin ', 'PYLONE (live) ', 'Lucy (live) feat. Jon Jacobs and Ignazio Mortellaro']
4	7954	 Zoo	Place des Volontaires 4; 1204, Genève	880368	RE-Born [TECHNO]	 22 October 2016 	['', 'UVB (Body Theory', 'CLFT Militia (CLFT / FR)', 'Opuswerk (Krill', ' Dement3d', ' Mord', ' Knotweed / CH)', 'Visuals by: Palnoise (ES)', ' Bad Chance (CH)', ' 47 / FR)']
5	7954	 Zoo	Place des Volontaires 4; 1204, Genève	880365	Wild Wild Jump UP [DRUM[drum'n'bass][drum'n'bass][drum'n'bass]BASS]	 21 October 2016 	['', ' CH)', 'Visuals by : M*N (struggle', ' Palnoise (ES)', 'Mitikal (Drum That Bass / GE)', 'Sub Zero (Playaz Recordings / UK) ft MC Felon (UK)', 'Le Spectre (SupaLame / CH)', 'Levela (Multi Function Music / UK)']
6	7954	 Zoo	Place des Volontaires 4; 1204, Genève	880361	Dubquake 10 Years [DUB MUSIC]	 15 October 2016 	['Digitron (HR)', '', 'NS Kroo Sound System (GE)', 'OBF Sound System ft. Shanti D (Dubquake Records / FR) and Lasai (ES)', 'Visuals by Litemotif Crew (HR) ', 'Vibronics (UK) ft. Madu Messenger & Echo Ranks', 'Makhno:', 'Zoo:']
7	7954	 Zoo	Place des Volontaires 4; 1204, Genève	876952	IN The Mood For Violence [DUBSTEP]	 14 October 2016 	['Apashe (Kannibalen Records / CAN)', ' Big Apple', ' Tempa / UK)', ' Styx Recordings / UK)', 'London Nebel (NSD: Black Label', 'DirtyMadSound (Badass Bouncers / GE)', 'P0gman (Uplink Audio', 'Hatcha (Sin City', ' SMOG / DE)']
8	7954	 Zoo	Place des Volontaires 4; 1204, Genève	880351	Mission Rave [RAW TECHNO]	 08 October 2016 	"['Headless Horseman  (live) (Headless Horseman / DE)', 'Bowmore (Le Zoo / GE)', 'Le Chiffre (Convulsions Sonores / FR)', ""Strb (Wed'Techno / GE)"", 'Codex Empire  (live) (aufnahme + wiedergabe / AUT) ']"
9	7954	 Zoo	Place des Volontaires 4; 1204, Genève	880348	Otodayo Records Party [BASS MUSIC]	 07 October 2016 	['Creaky Jackals (Otodayo Records', 'Barenhvrd (Otodayo Records / FR)', 'Tha Trickaz  (live) (Otodayo Records / FR)', ' Gravitas Recodings / FR)', 'CloZee (Otodayo Records', ' Unborn / FR)']
