	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	82306	 Four Club	Parkstrassse 16, 3012 Bern	714557	Go Hard Or Go Home	 29 May 2015 	['Vonderfluh', 'Stilbruch', 'Monolix', 'Fabian Binkert', 'Syndrom']
1	82306	 Four Club	Parkstrassse 16, 3012 Bern	630567	Fabrique Electronique	 17 October 2014 	['DJ Girl (Bern)', ' Germany)', 'Miro Pajic (Items & Things', ' Lazerslut / Berlin', 'WENOTME (Boris Why & Nico', ' Bern)', 'Flavio Calzado (Dropout Rec.']
2	82306	 Four Club	Parkstrassse 16, 3012 Bern	630482	Technorama	 04 October 2014 	['Special guest', 'Mike Teixeira (OFFMIND Rec. Bern)', 'Little Lu (Elektrostubete', 'Nader (Zurich)', 'MIA (Less than three)', 'Flavio Calzado (Login Rec. / Dropout Rec.', 'Corpataux (Dropout Agency', 'Marshall White (Phillipines)', 'WENOTME - Boris Why & Nico (Bern)', ' Bern)', 'Rene Lahar (DeepARTMind Berlin)']
3	82306	 Four Club	Parkstrassse 16, 3012 Bern	572547	Wald.Berg.Fluss II with Thomas A.S. (Act Natural / Cyclic, Italy )	 15 March 2014 	[' miau musik', ' Cyclic', 'Kami (BE)', 'DJ Geisha (BE)', 'Jan Penarrubia (OFF MIND REC.', 'Maximilian Berg - Official (DROPOUT', ' Italy)', ' BE)', 'Thomas A.S. (Act Natural']
4	82306	 Four Club	Parkstrassse 16, 3012 Bern	559458	Musik im Kopf with Kollektiv Klanggut	 28 February 2014 	[' Basel', 'Chris Rockwell / MinimalFraktion', 'Kollektiv KlangGut / Katermukke', 'Minton / MinimalFraktion', ' BlackForest Underground', 'DJ Girl / 3 (B)Engels', ' DE', ' Bern', ' Berlin', 'Ned O`Neal / MinimalFraktion', ' Luzern', 'Loco Lita / Basel', ' Royal Muzik RMS', ' Electrophil Records', ' Karera']
5	82306	 Four Club	Parkstrassse 16, 3012 Bern	546345	Minimal Kids with Enzo Siffredi & SAv	 01 February 2014 	['', 'Nicola Koch (Mischkultur)', 'Le Bérger (Talentfrei)', 'Sav (Minimal Kids/Wired/Erase Records)', 'Enzo Siffredi (Minimal Kids/Wired/Erase Records)', 'Ro&Mat (Tastefool)']
6	82306	 Four Club	Parkstrassse 16, 3012 Bern	560476	Hallo Minimal Kids with Enzo Siffredi	 01 February 2014 	[' SAv (Minimal Kids/Wired/Erase Records) London UK', ' Nicola Koch (Mischkultur)Bern', ' Le Bérger (Talentfrei) Bern', 'Enzo Siffredi (Minimal Kids/Wired/Erase Records) London UK', ' Ro&Mat (Tastefool) Bern']
7	82306	 Four Club	Parkstrassse 16, 3012 Bern	541689	Musik im Wunderland	 21 December 2013 	['Tobi Hoeppner', 'das Batz', 'Manuel Resch', 'David Cumplido', '?! Question & Exclamation Mark']
8	82306	 Four Club	Parkstrassse 16, 3012 Bern	533411	Tastefool Meets Talentfrei	 09 November 2013 	['Le Bérger (Talentfrei) Be', 'Adrian Bergmann (Talentfrei) Be', 'Razha (tastefool) Be', 'Zero (Tastefool) Be', 'Amaro (Zensur Rec / Tastefool) Be']
9	82306	 Four Club	Parkstrassse 16, 3012 Bern	511318	Talentfrei mit Freunden	 24 August 2013 	[' Thom Nagy (Gelbes Billett Musik) Basel', ' Das Balz (any:ideas) Bern', ' Adrian Bergmann (Talentfrei) Bern', 'Nici Faerber (Miteinander Musik / Hive) Zürich']
