	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	852758	Max Cooper, Johanna Knutsson, Mimetic, Ryan Hawkin	 22 October 2016 	[' Ryan Hawkin ', ' mimetic', ' Johanna Knutsson', 'Max Cooper  (live)']
1	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	873277	Fri-Son & Swatch Club present: Ed Banger Time ! Ed Banger Records Anniversary Tour	 15 October 2016 	['Para One ', 'Busy P ', 'Boston Bun ']
2	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	873174	Back to School #7	 20 September 2016 	['Paul Poulson ', 'SUPERSMAX (DE | kunsthandwerk)']
3	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	872646	Studio 1157 Invites Alma Negra	 16 September 2016 	['Alma Negra (Sofrito', 'Greg Shepherd (Studio 1157) - Fribourg', 'Oase (Studio 1157) - Fribourg', ' Basic Fingers) - Basel', 'Saint-Harare (Studio 1157) - Fribourg']
4	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	813685	Kik Bar	 30 April 2016 	['OneFootStep', 'Jack Cinch', 'Johanna Knutsson']
5	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	814645	One Year Diffikult	 21 April 2016 	['The DIFFIKULT Crew ', 'Yvan Genkins ']
6	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	823705	Duplex Electronic Weekend (House / Techno Night)	 16 April 2016 	['', 'Line-Up Saturday (House / Techno Night):', 'Alexander Robotnick (live) (IT)', 'Mia Kaltes (CH)', 'DoubtingThomas (live) (FR/DE) ', 'Le Horla (CH)', 'Bronson (CH) ', 'Jokari (CH)', 'Mike Servito (US)', 'Arttu (FI) ']
7	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	814093	Duplex Electronic Weekend (Bass Night)	 15 April 2016 	['', 'Ataxia (CH)', 'The Hiiters (CH) ', 'Maztek (IT) ', 'Adverblaster (CH)', 'Line-Up Friday (Bass Night):', 'Disprove (IT)', 'Rene LaVice (CA) ', 'FRONTLINE (CH) ', 'MC Stone (CH) ', 'Muzi (ZA)', 'GANZ (NL)']
8	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	813681	Deep Black Meets Next Step	 02 April 2016 	['Softy', 'Septentrio & Askemwhy ', 'Fracture ']
9	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	813677	Studio 1157 presents: Session #2	 26 March 2016 	['Academist (Studio 1157)', 'Gaspard de La Montagne (Creaked Records)', 'Wunderbaum (Studio 1157)', 'Ariane (Studio 1157)']
10	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	813674	End Of The Weak Switzerland	 12 March 2016 	['Godié EOW LU', 'Guest: ', 'Hosted by: ', 'MEX ', 'Slat 5 ', 'DJs: ', 'Moral ', 'Airone ', 'Stof Terrier ']
11	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	806499	Beatdrops presents: Sunny Graves, Gibraltar Vacuum & Nik!	 11 March 2016 	['Sunny Graves ES | Live', 'Nik! -OUS', 'Gibraltar Vacuum Live | -OUS']
12	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	806513	Finefood Records Night with Benjamin Fehr, Ryan Hawkin & La Bohème	 05 March 2016 	['Ryan Hawkin', 'Record Release Party ', 'entro.pi Visuals ', 'La Bohème', 'Benjamin Fehr ']
13	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	787011	Tricky (UK) presents 'Skilled Mechanics' - Only Swiss Show	 04 March 2016 	['Tricky (UK)']
14	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	797187	Deep Black	 27 February 2016 	['Uriel ', 'Median Structure DJs', 'AKA', 'Visâge Pale', 'Tarpon']
15	8780	 Fri-Son	Route de la Fonderie 13; 700, Fribourg	797184	Upgrade	 20 February 2016 	['MN* (Visuals)', 'MC Stone (Neurocide)', 'Demon-D (Badass Bouncer)', 'Sylek (Neurocide)', 'Juandroid (Divercity)', 'Allied (UK | Mindtech)']
