	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	707003	Deeptown Music Showcase	 19 September 2015 	['Affani', 'Mark Faermont']
1	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	753528	Mucho Stylez	 12 September 2015 	['Mucho Stylez']
2	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	730155	Mucho Stylez 	 03 July 2015 	['Mucho Stylez']
3	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	713648	Zweiter Akt	 13 June 2015 	['Mucho Stylez']
4	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	696650	Deeptown Night	 21 March 2015 	['Mark Faermont', ' Sonny Dima']
5	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	671332	Deeptown Night	 17 January 2015 	['Carlos Russo', ' Mark Faermont']
6	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	648424	Tonka UND 3333 Tage Saxer	 29 November 2014 	[' Mark Faermont', ' Danny Coleman', 'Tonka']
7	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	642266	Deeptown Night	 18 October 2014 	['Carlos Russo', ' David Eye']
8	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	619558	Deeptown Parade	 02 August 2014 	[' Niall Redmond', ' Danny Coleman', ' Mark Faermont', 'Elektroschneider']
9	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	557604	Deeptown Music Night	 18 January 2014 	['Mark Faermont', ' DJ Le Baron']
10	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	546745	Deeptown Music Night Featuring Niall Redmond	 21 December 2013 	[' Mirco Esposito', ' Danny Coleman', 'Niall Redmond']
11	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	509157	Deeptown Music Night Pres. Anëk	 10 August 2013 	[' DJ Le Baron', ' Ales', ' Sven The Freak', 'Anek', ' Mark Faermont']
12	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	501057	Deeptown Music Night	 20 July 2013 	['Mark Faermont', ' Michael Canzian']
13	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	454361	Deeptown Music Night	 16 March 2013 	['Mark Faermont']
14	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	438800	Party Rolf Feat. Steven Stone	 05 January 2013 	['Rolf Imhof', ' Steven Stone']
15	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	406456	Deeptown Music Night	 24 November 2012 	['Progamode', ' Mark Faermont']
16	55816	 2. Akt Restaurant & Bar	Selnaustrasse 2	315746	5 Years Place 2 Be - Akt Edition	 03 December 2011 	['SCP Dance Project', 'Ryan K', 'Namito', 'Belair', 'Juzz']
