	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	676643	Ambivalent & Magit Cacoon	 02 May 2015 	['Magit Cacoon (Upon.You / Berlin)', 'Smalltown Collective (Plastic City / Off rec.) ', 'Ambivalent (M-Nus / Berlin)', 'She Nionika']
1	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	676640	Jan Blomquvist & Band	 11 April 2015 	['ME & her (Suara / Off recordings) ', 'Jan Blomqvist & Band  (live) (Stil Vor Talent) ', 'Anthik (Suara / Cheekybookings) ']
2	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	670651	Klangkünstler	 07 March 2015 	['KlangKuenstler  (live) (Stil Vor Talent / Berlin) ', 'Chino Flatbeat ', 'Anthik (Suara rec./ SO) ']
3	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	633361	Grosse Silvester Sause	 31 December 2014 	['Anthik (Suara rec. / SO) ', 'Adrian Martin (Miniload Records)', 'Bernoise (Dropout / BE) ', 'Dandy Jack (Perlon / Ruta) ', 'Kellerkind (Stil vor Talent / SO) ', 'James McHale (Tanzkarussell.com) ', 'Bernoise (Dropout / BE)', 'more tba', 'Loris Palermo ', 'Yapacc  (live) (Perlon / Berlin) ']
4	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	633349	Via Express mit Luna City Express & Maximizerz in Concert	 29 November 2014 	['22.00 - 23.00 Maximizerz (in concert live) ', '00.15 - 01.30 Rico Rausch b2b Der Dirigent (any:ideas)', '23.00 - 00.15 Felipe&Gusto', '01.30 - end Luna City Express (Moon Harbour Rec./ Berlin)', '21.00 - 22.00 Marloti']
5	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	626074	VIA Live Präsentiert: Der Dritte Raum	 25 October 2014 	['mastra  (live)', 'Jon Donson  (live)', 'Der Dritte Raum  (live) Album Release']
6	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	619967	Season Opening with Re-Up	 27 September 2014 	[' Venedig) ', ' Upon.You', 'Anthik ( Suara rec.', 'Re-UP (Music on', ' Solothurn) ', ' Kina Music', ' Bern)', 'Jonathan Brown (Strange People']
7	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	583542	Tanzkarussell mit Tini & Bella Saris	 28 May 2014 	['Bella Sarris (ENTER. - Sidney / Australia)', 'James Mc Hale (Tanzkarussell Ber(li)n)', 'Stefan Nolic (Naturklang Zürich)', 'tINI (Desolat - Berlin / Germany)']
8	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	573085	Kellerraum	 26 April 2014 	['Der Dritte Raum  (live)', 'Kellerkind', 'Saul']
9	5797	 Via Felsenau Club	Spinnereiweg 17; 3004, Bern	568390	Visionnaire mit Kellerkind & Luca Torre	 29 March 2014 	['Smalltown Collective', 'Kellerkind (Stil Vor Talent / Solothurn) ', '3Some', 'Luca Torre (Highgrade / Lausanne) ']
