	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	876620	Lamain X Meteorythm	 30 September 2016 	['Caslau / Luke Haslau', 'Ikosa', 'Mafou', 'Mukuna', 'Clearvision', 'Ben Kaczor', 'Hund Koecket', 'Kombé']
1	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	880817	Cosmic Theory №5	 24 September 2016 	['Garçon', 'Cepheì', 'Hfs Dub', 'Trauminic']
2	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	859506	4/4 Ten Years	 16 July 2016 	"['', 'Gabriel Pellicano aka DJ Pellicano', 'Kaschemme Basel', 'DJ STEEL', ' Mark Lamski', 'DJ:', 'Edward Classen aka EDI ""LE CHEF""', 'Drinks & Food:', 'Michel Mathis aka DJ Pun', 'Iyad El Qirinawi aka EL Q', 'Live:', 'BLACK TIGER Basel City (Official)', ' DJ Tray', ' Marc Hype ', ' DJ Moishe', 'Venti (Official)']"
3	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	842072	Subotage Records Session Vol.6 // Tmsv	 28 May 2016 	['', 'Radio Ghost Town // Basel (CH)', 'Timnah Sommerfeldt', 'Benjah', 'TMSV', 'Dubhead // Istein (GER)', 'Subotagerecords / Density Radio X // Basel (CH)', 'Zecher', 'Artikal / Black Box // NL']
4	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	792798	RBMA Night Basel with Kairo Is Koming & Krizzli	 29 January 2016 	[' Krizzli', 'Kairo Is Koming']
5	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	785015	Subotage Records Session // Mala DMZ 	 23 January 2016 	['Mala // Digital Mystikz (DMZ ) /// UK', 'Cutkachi // re:st // dubtopia /// Bern', 'Dj Montes // Goldfinger Brothers /// Basel', 'Zecher // Subotage Records // RadioX /// Basel']
6	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	772327	Avantgarde No7	 07 November 2015 	"[' Scott Kemp', ' Philippe', "" Deep 'n Dub"", 'Vinyl Speed Adjust']"
7	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	752247	RP Boo 2015 Tour	 30 October 2015 	['RP Boo']
8	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	742535	Bassic with Chaos In The CBD	 28 August 2015 	[' Aust', 'Chaos In The CBD', ' Aware']
9	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	719650	Avantgarde No. 4 with Enzo Siragusa	 04 July 2015 	['Enzo Siragusa / Randall M / Chad Andrew / Hash Hendrex / Ferro / Kamran Sadeghi (live) ']
10	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	713368	Spiracles, LES presenta DJ Fett Burger	 30 May 2015 	['The Name Game', 'DJ Fett Burger', 'elias3O8']
11	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	715652	We Love at Kaschemme	 24 May 2015 	['Danny Faber', 'Elrino', 'Ayhasca Ernesto']
12	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	718139	Fruitsaled with Teki Latex	 22 May 2015 	[' B.O.M.', ' Larry King', ' Prop&Lean', ' Getting Any?', 'Teki Latex', ' Ostbahnhof']
13	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	697045	Avantgarde No. 3 with Bunte Bummler	 02 May 2015 	['Bunte Bummler', ' Truce (aka Tolga Top & Max Albàn) ']
14	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	709662	ça Claque with Sinjin Hawke b2b Zora Jones	 24 April 2015 	[' Zora Jones', 'Sinjin Hawke']
15	102435	 Kaschemme Basel	Muttenzerweg, 4052 Basel	699986	We Love Sunday x Avantgarde	 05 April 2015 	['Roon', 'Lilith', 'Oliver K', 'Oscar Niczzo']
