	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	870089	Silk Festival Bern - Day 2	 29 October 2016 	['Der Minister - Silk Events ', ' Form', 'Der Dritte Raum  (live)- Coocon/ Berlin ', 'Jan Penarrubia - Offmind Records ', ' Great Stuff ', 'Ro&Mat - Tastefool', 'Mastra ', 'Khainz - Module', ' Sproute', 'Karotte - Break New Soil']
1	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	869927	Silk Festival Bern - Day 1	 28 October 2016 	['German Brigante - Get Physical', 'Jon Donson - Elektrostubete', ' Moon Harbour', 'ADVA - Playground', 'Cuartero - Desolat', 'Kellerkind - Stil vor Talent', 'Jay Unique - Silk Events ']
2	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	498079	Tanzkarussell with Infinity Ink Live & Kellerkind	 31 July 2013 	['Luca de Grandis (Tanzkarussell)', ' Hot Creations)', 'Kellerkind (Stil vor Talent)', 'Infinity Ink (Live!) (Luca C & Ali Love - Crosstown Rebels', 'MIA. (Tanzkarussell / Nordstern)', 'James Mc Hale (Tanzkarussell)']
3	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	486463	Tanzkarussell with Audiofly	 08 June 2013 	"['', 'Gecko - Secret Garden – Fribourg', ""Mark'OFF - Zurich"", 'Audiofly - (Anthony) Supernature', ' Get Physical - Barcelona', ' Nordstern - Basel', 'MIA. - Tanzkarussell', 'James Mc Hale - Tanzkarussell - Bern', 'Der Dirigent - any:ideas']"
4	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	482981	Gon Records Pres. Kollektiv. Schaden with Solee	 01 June 2013 	['', 'Audionatica :: Gon Records', 'Don Tetris :: subsTANZ', ' Mischkultur', 'SOLEE ::Parquet Recordings', ' Sirion rec.', 'http://www.parquet-recordings.com/', ' Elastictrax', 'John Donson :: Elektrostubete', 'Jutzi B2B Nicola Koch :: subsTANZ', 'Sunman ::130bpm', ' Noir Music.', 'Disko Dario (live) :: Sinsonic Ricords', 'Amelie :: Talentfrei']
5	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	479140	Fraktion Tanz Präsentiert Hot Since 82	 18 May 2013 	['', 'Frank Fonema & Al Emme (Les Folies Digitales/ CH)', 'Dirty Larry b2b Tiano Thomas (Fraktion Tanz / Dirty Panda Records / CH)', 'Hot Since 82 Get Physical / Noir / Off Recordings / UK', 'Mia (Tanzkarusell Ber(li)n / CH)']
6	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	472641	Tanzkarussell with Heidi & Kellerkind	 08 May 2013 	['Mia. (Tanzkarussell / Nordstern)', 'Heidi (Radio BBC One / Get Physical - London / GB) ', 'James Mc Hale & Luca de Grandis (Tanzkarussell)', 'Kellerkind (Stil vor Talent)']
7	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	424914	Marek Hemmann	 13 April 2013 	['James Mc Hale', 'Oliver K', 'Marek Hemmann', 'Luca de Grandis', 'MIA.']
8	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	423378	Sirion Records & Substream	 22 December 2012 	[' David Labeij (live) (NL', ' Festmacher)', ' Mobilee)', ' Remote Area', 'Robert Babicz (live) (DE', ' Brian Python (CH', ' Systematic', ' Treibstoff)', ' Disko Dario (live) (CH', ' Sirion Soundsystem (CH', ' Substream)', ' Sirion Records)']
9	54253	 Kultarena Eventhall	Belpstrasse 24; 3122, Kehrsatz	423379	A Night with Iboga	 21 December 2012 	[' Iboga)', 'Ticon live (SWE', ' Mahamaya)', ' Lara aka BabaG & Cholon (CH', ' Mikrokosmos)', ' DJ Emok (DK', ' Flowbox live (CH', ' Sinsonic Records)', ' Meskal (CH', ' Substream)', ' Human Element (CH']
