	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	893446	Luigi Tozzi, Post Scriptum, Agonis	 05 November 2016 	['Post Scriptum', 'Luigi Tozzi', 'Agonis']
1	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	893440	Fagin's Reject, Phobos, Critical Mitch, Doppelpack	 04 November 2016 	"['Phobos', 'Critical Mitch', ""Fagin's Reject"", 'Doppelpack']"
2	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882504	Fumiya Tanaka, Binh, Cepheì	 29 October 2016 	['Binh', 'Cepheì', 'Fumiya Tanaka']
3	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882502	Benjamin Damage, Isolated Lines, Gomorra	 28 October 2016 	['Gomorra', 'Isolated Lines', 'Benjamin Damage']
4	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882499	Sensient, Hellquist, Stonato, Pasa	 22 October 2016 	['Pasa', 'Hellquist', 'Sensient', 'Stonato']
5	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882495	Maayan Nidam, Timnah Sommerfeldt, Sidjoe	 21 October 2016 	['SidJoe', 'Timnah Sommerfeldt', 'Maayan Nidam']
6	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882492	Truncate, Ink!, Ben Kaczor	 15 October 2016 	['Truncate', 'Ink!', 'Ben Kaczor']
7	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882491	Louie Vega, Mark Stone, Pepe Brogna	 14 October 2016 	['Mark Stone', 'Louie Vega', 'Pepe Brogna']
8	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882488	Hanfry Martinez, Alexis Cabrera, Adrian Martin, Albi	 08 October 2016 	['Albi', 'Adrian Martin', 'Hanfry Martinez', 'Alexis Cabrera']
9	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882485	Vera, Jan Krueger, Timoteo	 07 October 2016 	['Vera', 'Timoteo', 'Jan Krueger']
10	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	882481	Giorgio Gigli, Opuswerk, Simon Lemont	 01 October 2016 	['Opuswerk', 'Giorgio Gigli', 'Simon Lemont']
11	119991	 Elysia	Frankfurt-Strasse 36 4142 Münchenstein	873254	Jacob Groening, Canson Live, Twerking Class Heroes Live	 30 September 2016 	['Jacob Groening', 'Twerking Class Heroes  (live)', 'Canson (live)']
