	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	589731	Secret Garden CH presents Closing Party with Pornbugs	 10 May 2014 	['', 'Yass(Musik Spirits/CH)', 'Jeckos(Secret Garden/CH)', 'Pornbugs(Bondage Music/CH)']
1	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	586147	Secret Garden presents: Shawnecy	 12 April 2014 	['Jeckos (Secret Garden/CH)', 'T¨!ff(Kikbar/CH)', 'Shawnecy ', 'OneFootStep(Kikbar/CH)']
2	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	560603	The Cruzaders	 04 April 2014 	['The Cruzaders']
3	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	571844	Secret Garden presents:Emanuel Satie (Live)	 15 March 2014 	['', 'Benotmane  (live) (Fortyone/CH)', 'Arival b2b Coolcat(Flashcut/CH)', 'Patrick Becker(Secret Garden/CH)', 'Emanuel Satie  (live) (Cécille/ Suara/ Noir Music/ Bouq/ Souvenir/DE)']
4	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	570526	Kartel Klub Night	 07 March 2014 	[' Krizzli', ' Jokari', 'Chapkmace']
5	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	561194	Secret Garden First Anniversary: Dole & Kom	 22 February 2014 	['Dole & Kom(3000°', 'Gecko (Secret Garden)', 'Arival (Flashcut / Secret Garden)', ' Acker', ' Bondage-Music)']
6	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	560601	The Cruzaders	 07 February 2014 	['The Cruzaders']
7	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	558971	Secret Garden CH presents: Sasch BBC	 18 January 2014 	['', 'Gecko(Secret Garden/CH)', ' Noir/DE)', 'Jay Veedee(Secret Garden/CH)', 'Sasch BBC(8bit', ' Viva Music']
8	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	548082	Kartel Klub Night with Lemonick, Jokari, Bitsculpter, Herkul & Krizzli	 03 January 2014 	[' Krizzli', 'Lemonick', ' Jokari', ' Herkul', ' Bitsculpter']
9	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	558958	Secret Garden CH presents: Kevin Over	 13 December 2013 	['', 'ELK+ RHINO(DWNTWN RCRD/CH)', 'Arival (Flashcut/CH)', 'Kevin Over(Noir Music/DE)']
10	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	536039	Secret Garden CH presents: Pornbugs	 16 November 2013 	['Gecko(Secret Garden/CH)', 'Coolcat(Flashcut/CH)', 'Pornbugs(Bondage Music/CH)']
11	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	498254	The Cruzaders	 01 November 2013 	['The Cruzaders']
12	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	524661	Secret Garden CH presents: Dotstripe	 12 October 2013 	['dotSTRIPE(Cyclic', 'Jay Veedee (Secret Garden/CH)', ' Katermukke/DE)', 'Gecko (Secret Garden/CH)', ' Dantze']
13	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	558965	Secret Garden CH presents Mario Aureo	 13 September 2013 	['Mario Aureo (Ritter Butzke / Katchuli / Yippiee / Berlin)', '', 'Gecko (Secret Garden/CH)']
14	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	498253	The Cruzaders 	 06 September 2013 	['The Cruzaders']
15	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	509005	Kartel Klub Night	 16 August 2013 	[' Krizzli', ' Bisculpter', ' Lemonick', 'Herkul']
16	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	488869	Secret Garden Closing Party with William Medagli & Thallulah	 15 June 2013 	['', '◆Thallulah(Sleazy deep', '◆ Arival', ' ElectroniqueUK/IT)', ' Cream Couture', '▬▬▬ WARM UP▬▬▬▬▬▬▬▬▬▬▬▬▬', '◆William Medagli(Sleazy deep', ' Cream Couture/IT)', '◆ Secret Garden Team']
17	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	454394	The Cruzaders 	 07 June 2013 	['The Cruzaders']
18	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	476618	Secret Garden presents:Emanuel Satie (Live)	 17 May 2013 	['', 'Samy Boulbrima  (live) (Fortyone/CH)', 'Jay Veedee & Malek (Secret Garden/CH)', 'Emanuel Satie  (live) (Cécille/ Suara/ Noir Music/ Bouq/ Souvenir/DE)']
19	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	454393	The Cruzaders	 20 April 2013 	['The Cruzaders']
20	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	468700	Secret Garden CH presents:Rampue	 13 April 2013 	['P.Becker(Secret Garden/CH)', ' Dantze/Berlin DE)', 'Greg La Brelle (Secret Garden/CH)', 'Rampue (live) Act(Audiolith']
21	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	458008	Secret Garden CH presents:Sub Secret	 15 March 2013 	['', '▬▬▬ LINE UP ▬▬▬▬▬▬▬▬▬▬▬▬▬', '◆ Gecko(Secret Garden/CH)', '◆ Jay Veedee(Secret Garden/CH)', '◆ Sub Secret(Mind Ability/UK)', '▬▬▬ WARM UP▬▬▬▬▬▬▬▬▬▬▬▬▬']
22	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	404396	The Cruzaders	 01 February 2013 	['The Cruzaders']
23	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	399789	Rostiwall Sound with Marc Feldmann & DVW, Cirkus & Chapkmace	 31 August 2012 	[' DVW', ' Cirkus', ' Chapkmace', 'Marc Feldmann']
24	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	376846	The Cruzaders	 24 August 2012 	['The Cruzaders']
25	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	322671	The Cruzaders	 11 May 2012 	['The Cruzaders']
26	22157	 Xxème	Av. de Tivoli 3; 1700, Fribourg	322670	The Cruzaders	 30 March 2012 	['The Cruzaders']
