	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	454600	Searching For The Bass Monkey	 08 March 2013 	['BOUNCE!!! (Mad', ' Kosen Prod - FR)', 'BIG-T (Feed Your Soul - CH)', '', 'ZILOUB (Beatbreakerz - FR)']
1	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	419537	Bonobo	 16 November 2012 	['Bonobo - (dj set)']
2	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	373421	Drum & Bass Resistance II	 01 June 2012 	[' MC Stone', 'BTK', ' Gelivan', ' DJ Big T']
3	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	320611	Drum&Bass Resistance	 23 December 2011 	[' DJ Rolla (CH)', 'DJ Big T (CH)', ' DJ Spire (FR)']
4	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	302109	Turn Me Up	 11 November 2011 	[' Good Groove records', ' Frenchbreaks)', '+ visuals by MikaVentura', ' Kosen Prod)', 'ZILOUB (Beatbreakerz', 'BOUNCE!!! (Mad', 'HI!POPULATION (Labrock']
5	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	301973	Party People	 28 October 2011 	['', 'Fabian Kozelsky (Aarau)', 'Big T']
6	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	290583	Mental Groove Présente Mr Raoul K, Dj's Laolu and Kadebostan	 07 October 2011 	['Kadebostan', 'Laolu', 'Mr Raoul K']
7	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	289566	Social Disco Club	 17 September 2011 	[' Dj Estèphe', 'Social Disco Club', ' Opuswerk']
8	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	266307	Jeff Bennett & Paul Eg	 11 June 2011 	['Paul Eg', 'Jeff Bennett ']
9	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	250258	Lado B - Brésil	 29 April 2011 	['DJ Ruben Estevez', 'DJ Big T']
10	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	242810	Pink Màdame	 25 March 2011 	['Fiji - electro pop live', '', 'Garance & diSoul', 'vj: Camille de Dieu', 'Masaya']
11	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	235117	On/off	 11 March 2011 	['', 'Garance & diSoul', 'Ark & Lenny', 'Doctor Flake  (live)', 'Dj Mute']
12	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	221012	Madd Circus Release Party	 21 January 2011 	"[""Detroit Grand Pubah's""]"
13	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	220615	Ask The Rabbit	 07 January 2011 	['Garance ', 'diSoul ', 'Dubfunk ', 'Se-te-ve']
14	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	216979	Get Together	 24 December 2010 	['Opuswerk', ' Laolu', ' Quarion', ' Olivier Kolly', ' Dachshund']
15	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	207580	Aril Brikha & Franky Digital	 03 December 2010 	['Aril Brikha & Franky Digital']
16	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	209012	c'Est Guinguette	 26 November 2010 	[' Sopha', 'Jennifer Cardini', ' Ada', ' Se-te-ve']
17	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	204403	Get Mad	 12 November 2010 	['Kris Wadsworth', ' Munken.', ' Dachshund']
18	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	198620	(2nd) Home Run with St Plomb, Claus Voigtmann, Born Bjorg	 29 October 2010 	['Born Bjorg', 'Toi Toi', 'St Plomb ', 'Claus Voigtmann ']
19	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	196659	Get Mad	 22 October 2010 	['And.Id', ' Munken', ' Dachshund']
20	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	194146	Somogo and Dj Big T	 25 September 2010 	['Somogo  (live)', ' DJ Big T']
21	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	193798	Home Run with Demetrio Giannice, Entlet, Born Bjorg	 24 September 2010 	[' ENTLET (Perspectiv)', 'Demetrio Giannice (Enterbt / Third Ear) ', ' Born Bjorg (Poor Rec.)']
22	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	189268	Space Tribe	 10 September 2010 	['Crowdpleaser (Drumpoet Community / Turbo)', 'Dubfunk (Audio Therapy)', 'Garance & diSoul (Dyami Records)']
23	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	182775	Swiss Knife Party	 08 September 2010 	['Junction SM (Dandy Jack & Sonja Moonear) DJ & Live Act!', 'Massimiliano.M', 'Pandallougi (Saint-Vitus)']
24	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	159045	Get Mad! Part 6	 17 April 2010 	[' Munken.', 'Quenum', ' Dachshund']
25	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	154421	Get Mad	 27 March 2010 	['Quarion', ' Munken', ' Dachshund']
26	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	146174	Get Mad! Part (Iv)	 20 February 2010 	[' Munken.', ' Dachshund', 'Ripperton']
27	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	138904	Get Mad! (Part III)	 16 January 2010 	[' Chaton', ' Munken.', 'Agnès', ' Dachshund']
28	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	134274	Get Mad	 19 December 2009 	['Quenum', ' Born Bjorg', ' Emilie Nana  (live)', ' Dachshund']
29	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	127934	C'Est Fou....Non ?	 21 November 2009 	['Laurent Charbon', 'SUMO  (live)', 'Garance & diSoul']
30	7884	 Màd - Moulin À Danses	Rue du Stand 20; 1204, Geneva	128368	Get Mad	 13 November 2009 	"['Crowdpleaser', 'Dachsund', 'Andres Garcia  (live)', ""Superposition DJ's""]"
