1007 Lausanne	(46.516054, 6.608998000000001)
11 Rue de la Coulouvrenière, 1st floor, Geneva	(46.2039588, 6.136051599999999)
1530 Payerne	(46.8341898, 6.9289693)
18 Chemin Adrien-Stoessel, Meyrin Geneva	(46.2231148, 6.0836071)
2 Rue De La Faucille Geneva	(46.2103974, 6.1398172)
2000, Neuchatel	(46.9995997, 6.9344141)
22 rue Cendrier, Geneva	(46.207367, 6.1452943)
3011, Aarbergergasse 26, 3011 Bern	(46.9496581, 7.443056299999999)
3963, Route des Téléphériques 32, 3963 Lens	(46.3087565, 7.4669288)
4 Place des Volontaires, Geneva	(46.2039678, 6.135890399999999)
43 Avenue de Châtelaine, Geneva	(46.20971000000001, 6.117038600000001)
53 Rue Jacques Dalphin	(46.1808933, 6.1403012)
60, rue de Monthoux, 1201 Genève	(46.21156449999999, 6.1455842)
6005 Lucerne	(47.0419512, 8.3140814)
7270 Davos-Platz, Davos	(46.78925729999999, 9.800232799999998)
8038 Zürich	(47.34041500000001, 8.529471000000001)
Aarbergergasse 33/35; 3011, Bern	(46.94950430000001, 7.442631899999999)
Aarbergergasse 35; 3011, Bern	(46.9495233, 7.442519399999999)
Aarbergstrasse 72, Biel	(47.131935, 7.240538900000002)
Albulastrasse 40; 8048, Zurich	(47.388385, 8.4940973)
Allmendstreet 14; 3600, Thun	(46.7598376, 7.623878500000001)
Allée du Bornan 8, 1007 Lausanne	(46.5118407, 6.604317899999999)
Altenbergrain 21, 3013 Bern	(46.9535203, 7.445292699999999)
Ancienne-Pointe 16, 1920 Martigny, CH	(46.10938970000001, 7.093364)
Arsenalstrasse 28; 6010, Kriens	(47.03277319999999, 8.2969809)
Association GUS, Rue des Vieux-Grenadiers 10, 1205 Genève	(46.199041, 6.138306)
Auf dem Wolf 4, 4052 Basel	(47.5402745, 7.613849999999999)
Auf dem Wolf 4; 4057, Basel	(47.5402745, 7.613849999999999)
Augustinerhof, 8001 Zürich	(47.3715053, 8.539776400000001)
Ausstellungsstrasse 21, Zurich	(47.3815098, 8.5368835)
Av. de Sévelin 34; 1004, Lausanne	(46.5224045, 6.618218999999999)
Av. de Tivoli 3; 1700, Fribourg	(46.8046115, 7.152469699999999)
Avenue Claude-Nobs 2 Montreux	(46.4386119, 6.906799400000001)
Avenue de Frontenex 3, 1207 Genève	(46.2019907, 6.156810299999999)
Avenue de Gilamont 60; 1800, Vevey	(46.4720036, 6.852230199999998)
Avenue de la Gare 28, Sion	(46.2307476, 7.3582404)
Avenue de la Gare 32, 1003 Lausanne	(46.51733329999999, 6.632381299999999)
Avenue de la Jonction 5, 1205 Genève	(46.2013688, 6.1292914)
