-Alte-Kirche	(47.30297299999999, 8.320458000000002)
-Club	(46.2271313, 6.1014288)
-Eglise-du-Pasquart	(47.1402602, 7.241845300000001)
-Festplatz-am-See	(45.997588, 8.938819)
-Halle-1019	(45.997588, 8.938819)
-Happy-Inn-Lodge	(46.94654269999999, 7.444254299999998)
-KuZeB	(45.997588, 8.938819)
-Maison-du-Peuple	(45.997588, 8.938819)
-Sud-des-Alpes	(45.997588, 8.938819)
-Temple-allemand	(47.1415188, 7.246588500000001)
1 Rue de Chantepoulet, 1201 Geneva	(46.2078343, 6.145385699999999)
1007 Lausanne	(46.516054, 6.608998000000001)
1007, AllÃÂ©e du Bornan 8, 1007 Lausanne	(46.5118407, 6.604317899999999)
11 Rue de la CoulouvreniÃÂ¨re, 1st floor, Geneva	(46.2039588, 6.136051599999999)
1470 Estavayer-le-Lac	(46.8496401, 6.845060800000001)
1530 Payerne	(46.8341898, 6.9289693)
17 via Stazione 17; 6532, Castione	(46.2231092, 9.0425413)
18 Chemin Adrien-Stoessel, Meyrin Geneva	(46.2231148, 6.0836071)
1854 Leysin	(46.3435634, 7.012033)
2 Rue De La Faucille Geneva	(46.2103974, 6.1398172)
2000, Neuchatel	(46.9995997, 6.9344141)
22 rue Cendrier, Geneva	(46.207367, 6.1452943)
22 rue du mole, 1201 geneva	(46.2128408, 6.1481178)
3011, Aarbergergasse 26, 3011 Bern	(46.9496581, 7.443056299999999)
3900, Brig	(46.30605310000001, 7.9539715)
3963, Route des TÃÂ©lÃÂ©phÃÂ©riques 32, 3963 Lens	(46.3087565, 7.4669288)
4 Place des Volontaires, 1205 Geneve	(46.2039678, 6.135890399999999)
4 Place des Volontaires, Geneva	(46.2039678, 6.135890399999999)
4 rue Arnold Winkelried; 1201 Geneva	(46.2071171, 6.1464006)
43 Avenue de ChÃÂ¢telaine, Geneva	(46.20971000000001, 6.117038600000001)
52, rue de Carouge - GenÃÂ¨ve	(46.1939332, 6.143432199999999)
53 Rue Jacques Dalphin	(46.1808933, 6.1403012)
6 BD des Philosophes; 1205, GenÃÂ¨ve	(46.1972903, 6.1438485)
60, rue de Monthoux, 1201 GenÃÂ¨ve	(46.21156449999999, 6.1455842)
6004, LÃÂ¶wengraben 18, 6004 Luzern	(47.0528155, 8.304145799999997)
6005 Lucerne	(47.0419512, 8.3140814)
6914 Carona, Lugano	(45.9578621, 8.934566299999998)
7270 Davos-Platz, Davos	(46.78925729999999, 9.800232799999998)
73 Rue des Vollandes, 1207 Geneva	(46.20245269999999, 6.163433499999999)
8038 ZÃÂ¼rich	(47.34041500000001, 8.529471000000001)
9 Rue du Tunnel, Geneva, 1227	(46.1801438, 6.142404399999999)
AFG-Arena	(47.4083557, 9.305682799999998)
Aarau	(47.390434, 8.045701499999998)
Aarberg	(47.0420553, 7.275101200000002)
Aarbergergasse 33/35; 3011, Bern	(46.94950430000001, 7.442631899999999)
Aarbergergasse 35, 3011 Bern	(46.9495233, 7.442519399999999)
Aarbergergasse 35; 3011, Bern	(46.9495233, 7.442519399999999)
Aarbergstr. 72, 2502, Biel/Bienne	(47.131935, 7.240538900000002)
Aarbergstrasse 72, Biel	(47.131935, 7.240538900000002)
Aarburg	(47.3205914, 7.9066923)
Aaredelta-Grien	(None, None)
Aargauerstrasse 14-94, 8048 ZÃÂ¼rich	(47.3923833, 8.4985213)
Aarwangen	(47.23779019999999, 7.770842199999998)
Adelboden	(46.4930889, 7.5595123)
Adliswil	(47.3124347, 8.5270459)
Aeugstertal	(47.284205, 8.487076999999998)
Affoltern-am-Albis	(47.2795081, 8.4540083)
Albani-Music-Club	(47.4984103, 8.7292556)
Alberswil	(47.1510987, 8.0020094)
Albulastrasse 40; 8048, Zurich	(47.388385, 8.4940973)
