	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	539988	Open Your Eyes	 29 November 2013 	['dj Zest']
1	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	416565	Always Run	 26 October 2012 	['Zest half-hours']
2	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	363280	New Release	 28 April 2012 	['Dj Zest']
3	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	344860	Dj Zest	 03 March 2012 	['DJ ZEST']
4	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	272633	Gelivan & Peter D	 01 July 2011 	['Gelivan', 'Peter D.']
5	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	167664	Electrofraise	 05 June 2010 	[' Freshmint', '', 'Magic Mixers', ' Dave Dalux', ' Clem']
6	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	167935	Minimal Party	 21 May 2010 	['dj lynn jordan']
7	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	150541	Cirkus Party	 26 March 2010 	['DJ Lynn Jordan']
8	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	134407	Santa Groove	 26 December 2009 	[' Le Petit Lutin', 'Nahoma']
9	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	127853	La Musica Que Mueve El Mundo	 13 November 2009 	['Gelivan & Yan Sebastian']
10	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	121820	Not Everyone Understands House Music At Cirkus Bar	 09 October 2009 	['Peter D.', ' Gelivan']
11	18256	 Cirkus Bar	Rue Bovy-Lysberg 1; 1204, Genève	99074	Remote Festival	 05 June 2009 	['StatedLife ', 'Chaton']
