	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	888205	Red Bull Music Academy Night with Hudson Mohawke	 22 October 2016 	['Hudson Mohawke (DJ set)', 'Lemonick']
1	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	892873	Animal Trainer	 21 October 2016 	['Felipe Puertes (Go Deeva)', 'Biru', ' mobilee records)', 'Animal Trainer (Hive Audio']
2	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	868060	Beautiful Swimmers & Round Table Knights	 03 September 2016 	[' ', 'Beautiful Swimmers (FUTURE TIMES', ' USA)', 'Round Table Knights']
3	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	868117	Notte Audiotheque	 19 August 2016 	[' Huazee', 'Robel', ' Boris Why']
4	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	870407	Tiefdruck mit Klangdruide, Phoibass & Ræve	 02 July 2016 	['Klangdruide', ' Ræve', ' Phoibass']
5	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	821384	Tiefdruck mit Matto	 15 April 2016 	['Matto', ' Mobylette', ' Knäckebröd']
6	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	803014	Instant Rave	 16 February 2016 	['Heiko (IR/OR)']
7	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	792799	RBMA Night Bern with Special Request & Lemonick	 12 February 2016 	['Special Request', ' Lemonick']
8	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	772993	Keinemusik Nacht	 18 December 2015 	['Adam Port', '&ME']
9	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	772991	Axel Boman + San Proper	 11 December 2015 	['San Proper ( Rush Hour', ' Pampa Records / Stockholm)', ' Perlon / Amsterdam)', 'Axel Boman (STUDIO BARNHUS']
10	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	772990	Matrixxman + Round Table Knights	 05 December 2015 	['Round Table Knights (Have A Killer Time / Bern)', 'Matrixxman (Ghostly International', ' Dekmantel / San Francisco)', '']
11	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	772996	Adriatique 	 20 November 2015 	['Luca de Grandis (Tanzkarussell Ber(li)n', ' Bern)', 'Adriatique (The dark Adrian only / DIYNAMIC MUSIC', ' Zürich )']
12	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	772995	Claptone 'Charmer' Album Release World Tour	 13 November 2015 	[' Berlin) ', 'Trinidad', 'Claptone (Exploited']
13	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	764535	Audiotheque Nacht	 16 October 2015 	[' Rodri', 'Boris Why', ' Robel']
14	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	745450	Public Possession & Round Table Knights	 25 September 2015 	['Round Table Knights (Have A Killer Time)', 'Public Possession (M+V', ' Tambien)']
15	18380	 Club Bonsoir	Aarbergergasse 33/35; 3011, Bern	745636	Audiotheque Nacht	 21 August 2015 	[' Huazee', 'Robel', ' Boris Why']
