	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	809635	[ 2709 ]	 22 January 2016 	['Chris Ahn']
1	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	762770	Doubly Deeeep Ya	 03 October 2015 	['Chris Ahn']
2	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	736464	Beach Diggin with Floriano Albertini & Chris Ahn	 10 July 2015 	['Floriano Albertini', 'Chris Ahn']
3	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	708934	Rhyth.ms & L:uv with Chris Ahn	 30 May 2015 	['Chris Ahn']
4	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	702119	Chris Ahn's 4AM Mixtape - Ep. 13	 03 April 2015 	['Chris Ahn']
5	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	646065	Traffic People present Gregore Konstantine	 10 October 2014 	['Gregore Konstantine']
6	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	190540	The Cruzaders	 07 January 2011 	['The Cruzaders']
7	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	184537	Sexy House Session with G!l Everest	 15 October 2010 	['G!L Everest']
8	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	172820	The Cruzaders	 06 August 2010 	['The Cruzaders']
9	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	181785	Sexy House Session with G!L Everest	 31 July 2010 	['G!L Everest']
10	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	132898	The Cruzaders At Lapart (Fribourg - Ch)	 22 May 2010 	['The Cruzaders']
11	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	132897	The Cruzaders At Lapart (Fribourg - Ch)	 20 March 2010 	['The Cruzaders']
12	19324	 Lapart Bar	Grand-Places 14; 1701, Fribourg	122252	The Cruzaders At Lapart (Fribourg - Ch)	 05 December 2009 	['The Cruzaders']
