	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	816657	1 Year TSC - The Soul Connaisseur with Souldynamic	 04 June 2016 	['Souldynamic', 'Duo Rhythm', 'Mark Stone']
1	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	821549	TSC - The Soul Connaisseur presents Richard Earnshaw	 16 April 2016 	['DuoRhythm', 'DJ Le Baron', 'Richard Earnshaw']
2	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	795224	TSC - The Soul Connaisseur presents Luis Radio	 20 February 2016 	['Duorhythm', 'Luis Radio']
3	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	769588	TSC - The Soul Connaisseur presents: MR. V & Bobby&steve	 19 December 2015 	['Mr. V', 'DuoRhythm', 'Bobby & Steve']
4	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	754630	TSC - The Soul Connaisseur presents Terry Hunter	 24 October 2015 	['DuoRhythm', 'Terry Hunter']
5	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	702113	TSC - The Soul Connaisseur presents: Bobby & Steve	 08 May 2015 	['Chris di Carlo (we got sound)', ' London)', 'BOBBY & STEVE (Groove Odyssey', 'DuoRhythm (tsc)']
6	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	710842	Yaya Deejay & DJ B-Fore - Live	 24 April 2015 	['YAYA DEEJAY', 'B-FORE']
7	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	697475	Baselworld Aftershow Party	 20 March 2015 	['Frank Vespari ']
8	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	379501	Old School House Classix	 22 June 2012 	['Fred Linger', 'George Lamell', 'The Soul Combo']
9	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	212297	Fade In Meets Gogo Music & Loss Audio	 10 December 2010 	[' Ben Moss', ' Ray Jones', 'Ralf GUM', ' DJ Le Roi']
10	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	198553	1,2,3,...Yeah Yeah By Fade In	 15 October 2010 	['DJ 7', 'Willie Graff', 'DJ Le Roi']
11	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	184722	Fade in presents Le Roi & The Gang	 03 September 2010 	['Mirco Esposito', 'Pierre Piccarde', 'Fiumejunior', 'Cipmo', 'DJ Le Roi', 'Cristian Tamborrini', 'DJ 7', 'Sam Genious', 'Ray Jones', 'Robbie', 'Muri', 'Fabio Tamborrini']
12	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	181155	Fade In	 06 August 2010 	['Alain ', 'Morard', 'DJ Le Roi']
13	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	173853	Fade In with Gorge, Le Roi & Dj 7	 11 June 2010 	['Gorge', ' LE ROI & DJ 7']
14	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	150115	Fade In	 12 March 2010 	[' Fabio Tamborrini', 'Nicc Johnson (PACHA IBIZA)', ' LE ROI']
15	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	135336	Fade In feat Alex Barck	 29 January 2010 	[' SAM GENIOUS', 'JAZZANOVAs Alex Barck', ' DJ Le Roi']
16	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	201464	Fade In with Ralf Gum, Ben Moss, Dj Le Roi	 13 November 2009 	[' Ben Moss', 'Ralf GUM', ' DJ Le Roi']
17	19703	 Atlantis Club	Klosterberg 13; 4051, Basel	107707	Helvetic	 01 August 2009 	['Ray Jones (Soulfuric Deep)', 'DJ Le Roi (Mn2s)', 'Rocco (Rodamaal / Freerange / Real Tone )']
