	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	879974	Festival Suisse Afterparty with Chateau Chepère	 17 September 2016 	['Nathanael', 'CHATEAU CHEPERE ALL STAR', 'Caillou', 'Starsand']
1	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	833473	Brothers From Different Mothers Showcase	 30 April 2016 	['', 'Basses Terres  (live)', 'Judaah', 'The Pilotwings']
2	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	811116	La Fête Du Slip	 05 March 2016 	[' DJ MARABOUT (CH)', ' MAXIM MAILLET (FR)', ' Space Factory', 'David Carretta (Zone', ' FR)']
3	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	810185	La Fête Du Slip	 04 March 2016 	['Nkisi (NON Records', ' DAVID LAMON (CH)', ' Sevdaliza (NL) Live', ' UK)']
4	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	802239	Traffic presents Skatebård	 06 February 2016 	[' BRU/T - DE', ' Digitalo Enterprises - NO)', ' CH)', 'Skatebård (Sex Tags Mania', 'Av Skardi (Inner Escape']
5	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	764061	Loscil	 03 December 2015 	['Loscil']
6	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	703301	Gravitation	 25 April 2015 	[' Marlon', 'Se-te-ve']
7	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	696108	Simple et Sans Prétention	 21 March 2015 	['DJ Reverend P']
8	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	686472	Kowton	 20 February 2015 	['', 'Horasse (Fayabash)', 'Lemonick (Argent Sale Audiovisual Label)', 'Kowton (Livity Sound - UK)', 'Krizzli (Kartel Klub)', 'Tissu (Curry Dreamz)']
9	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	668361	Gravitation	 17 January 2015 	[' Marlon', ' Jessie (CH)', ' Olivier Kolly', 'Se-te-ve', ' yAn!']
10	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	655630	Fayabash x Traffic present Greg Beato	 21 November 2014 	['', ' Apron Records - USA)', 'Horasse (Fayabash - CH)', 'Dim (Traffic - CH)', 'Greg Beato (L.I.E.S.', 'Structure and VJing by Maak (Traffic - CH)']
11	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	639866	Gravitation	 04 October 2014 	[' Babo', ' Marlon', ' Olivier Kolly', 'Se-te-ve', ' yAn!']
12	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	554398	Loscil / Fieldhead	 08 February 2014 	['Loscil (CA) + FIELDHEAD (UK)']
13	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	515669	Danse Noire Showcase at Electrosanne Festival with Special Guest Cooly G	 06 September 2013 	['Aïsha Devi ', 'Vaghe Stelle', 'Cooly G']
14	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	482495	Creaked Records VS Argent Sale	 25 May 2013 	['Leo (Creaked Records/Lausanne)', 'Otavio (Couleur3/Atakama/Lausanne)', 'Schnautzi (Argent Sale/Geneve)', 'Gertude Tuning (Argent Sale/Geneve)']
15	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	474601	Dracula Lewis (IT) Aftershow: Think Tank Feat. Yan L	 17 May 2013 	[' Yan Luong', ' Pierre Raboud', ' Think Tank', ' Julien Gremaud', 'Dracula Lewis']
16	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	462923	J Velez (aka Professor Genius) Live	 29 March 2013 	['J Velez aka Professor Genius (L.I.E.S/Rush Hour/Italians Do It Better)', 'Niels ( Socialiste)']
17	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	404402	Love and 8 avec Le Bourg	 01 November 2012 	['', 'Joe Galen  (live)', 'Hrdvsion (Wagon Repair) ', 'Oy  (live)', 'Visuals by Sophie Le Meillour']
18	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	363318	Shackleton	 18 May 2012 	['Iggy', 'Shackleton ', 'Leo']
19	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	348834	Reprezent Your Soul: When Hiphop Meets House Music	 23 March 2012 	['', 'Eric A. - Simple & Sans Prétention / CH / House ', 'Ngoc Lan - CH / HipHop']
20	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	240080	Dope Crackers Tour	 16 April 2011 	[' Nik! dj', ' .Suffix visuals', ' Feldermelder  (live)', 'Bit-Tuner  (live)']
21	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	146160	Hospital	 19 February 2010 	['', 'Limic -aka Lio M- (Hospital)', 'VJing Performance by Kreutzfeld & JJJakkob', ' GE)', 'DJ Dub (Overground', ' Littlehouse']
22	26105	 Le Bourg	Rue de Bourg 51; 1003, Lausanne	143787	Oy - First Box Then Walk - Release Party	 03 February 2010 	['Oy']
