	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	808882	Bassport with Darius Syrossian	 12 March 2016 	['Darius Syrossian', ' Volkan Ocak', ' Durdek & Kubin']
1	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	796393	Bassport Meets Tribal Sessions w/ Argy & SIS	 30 January 2016 	[' Volkan Ocak', ' Beni Berger', ' Durdek', 'Argy', ' SIS', ' Emre Bektas']
2	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	766331	20 Years Terminus presented by Bassport	 14 November 2015 	['Volkan Ocak', 'Durdek & Kubin', 'Circle of Love', 'Los Suruba', 'Santé']
3	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	752427	★ Olten Calling ★	 24 October 2015 	['Emre Bektas b2b Claudio', 'Mirco Caruso', 'Andrey Pushkarev']
4	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	758287	Bassport: Montréal with Blond:ish	 10 October 2015 	[' Volkan Ocak', 'Blond:ish', ' Beni Berger', ' Fulvio Calà']
5	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	751058	Bassport: UK with Richy Ahmed & Robert James	 12 September 2015 	[' Cocun', 'Richy Ahmed', ' Robert James', ' Emre Bektas']
6	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	730235	Bassport: The Openair	 15 August 2015 	['Hector Couto', ' Kellerkind', ' André Hommen']
7	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	598154	Bassport: Mainz with Butch	 14 June 2014 	['Volkan Ocak', ' Visionquest)', 'Butch (Desolat', 'Sons of Aoide', 'Mirco Caruso']
8	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	591600	Bassport: Paris with Rodriguez Jr	 17 May 2014 	['', ' Berlin)', 'Volkan Ocak & Claudio', 'Noromal & Durdek & Kubin', 'Rodriguez Jr  (live) (Mobilee']
9	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	571000	Bassport: Hamburg with Adana Twins	 03 May 2014 	[' Nenad J', ' Mouseen', ' ToBe', ' Denny', 'Adana Twins', ' Emre Bektas']
10	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	570997	Bassport: London with Heidi	 15 March 2014 	[' Volkan Ocak', ' Emre Bektas', ' Noromal & Durdek', ' Claudio', 'Heidi (Get Physical / BBC Radio 1)']
11	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	543759	Terminus Silvester '13 with Lee Van Dowski	 31 December 2013 	['', 'Lee Van Dowski (Cadenza Records', ' Mouseen & Denny)', 'Noromal & Durdek', ' Ushuaia Ibiza) ', 'Volkan Ocak b2b Claudio', 'Circle of Love (Emre Bektas']
12	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	542727	Hive Audio Nacht mit Round Table Knights & Kellerkind	 30 November 2013 	['', 'Durdek (Bleimagnet) ', ' Hive Audio) ', 'Kellerkind (Stil vor Talent', 'Round Table Knights (Exploited', 'Volkan Ocak (Bassport)']
13	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	532823	Bassport: 18 Years Terminus with Subb-an	 16 November 2013 	['', 'Noromal & Durdek', 'Subb-an (One Records / Crosstown Rebels)', 'Circle of Love (Emre Bekats & Mouseen & Denny)', 'Volkan Ocak']
14	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	517503	Bassport Mannheim with Nick Curly	 21 September 2013 	['Volkan Ocak', 'Claudio & Emre', 'Nick Curly (Cecille / 8bit)', 'Noromal & Durdek']
15	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	506121	Bassport: The Openair Meets Hive Audio	 17 August 2013 	['Claudio', 'Volkan Ocak', 'Noromal & Durdek', 'To:Be', 'Circle of Love', 'Reto Ardour & Benja', 'Animal Trainer']
16	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	479865	Seth Troxler	 08 June 2013 	[' Volkan Ocak', ' Claudio Carrera', ' Fabio Gullone', 'Seth Troxler', ' Benotmane (live)']
17	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	479858	Bassport with Martin Buttrich	 11 May 2013 	[' Volkan Ocak', ' Durdek & Noromal', 'Martin Buttrich', ' Claudio Carrera', ' Cristian Tamborrini']
18	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	454229	Bassport: Hamburg with H.O.S.H	 09 March 2013 	['Volkan Ocak', 'Noromal & Durdek', 'Claudio', 'Multitask ', 'H.O.S.H. ']
19	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	437459	Moscow Calling - Silvester at Terminus	 31 December 2012 	[' Russia) | DJ Manual | Claudio | Noromal & Durdek | Jammin’ Maze', 'Andrey Pushkarev (Moscow']
20	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	401944	Bassport: London with Heidi	 15 September 2012 	['Heidi ', 'DJ Manual | Noromal & Christian Durdek | Fabio Gullone']
21	40377	 Terminus Club	Froburgstrasse 7, 4600 Olten	221257	Pure with Scarlett Etienne	 29 January 2011 	['The Essentials', 'Scarlett Etienne', 'Oliver Aden', 'Luis Cruz']
