	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	895135	All and None #24	 05 November 2016 	['HighLive', 'Kellerkind', 'Zustra']
1	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	806675	All and None #23	 05 March 2016 	"[""Dario D'Attis"", 'HighLive', 'Zustra']"
2	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	770063	All And None #22	 21 November 2015 	['HighLive', 'Kellerkind', 'Zustra']
3	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	720665	All and None #21	 20 June 2015 	['HighLive', 'Zustra', 'Jimi Jules']
4	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	718518	Karneval der Fantasien at Perron 1 - Brig 	 12 June 2015 	['Caru Brown ', 'Serioes & Legendaer ']
5	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	695433	All and None #20	 25 April 2015 	['HighLive', 'Zustra', 'DJ Le Roi']
6	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	640541	All and None #19	 18 October 2014 	['HighLive', 'Kellerkind', 'Zustra']
7	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	621880	No Limit 4 Bass Vol. 3	 19 September 2014 	[' Stephane Jusserand Alfonso Reyes ', 'El Alusinante']
8	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	585006	Frühlingstanz 14	 05 April 2014 	['Die Grimen (El Azra)', ' DE)', 'John Clats (El Azra)', 'Heiko (IR / OR)', 'Tagedeep (El Azra)', 'Falda (El Azra)', 'Alladin K (Tut Gut / Kunststoff - Berlin', 'Thomas Zopf (El Azra)', 'Maty Palc (El Azra)', 'Emmanuel K (Tut Gut / Kunststoff - Berlin']
9	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	572133	All and None #18	 15 March 2014 	['HighLive', 'Zustra', 'Tryal', 'San Marco']
10	42465	 Perron1	Bahnhofplatz 1; 3900, Brig	567762	This is Underground	 14 February 2014 	[' Gravina (eml) & o.s.i.', 'dominic (lady bar basel)']
