	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	886952	Straix - Hinterzimmer	 14 October 2016 	[' Lui Young', ' Bedran.', ' Larcenist', 'Max Power']
1	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	875949	Hinterzimmer	 24 September 2016 	['Lui Young', ' Bedran.']
2	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	805478	Global Uppercut // Hinterzimmer: Fred Linger & Ling	 25 March 2016 	['', 'Balzklub:', 'LinG', 'Hinterzimmer:', 'DJ FMC', 'DJ Byte', 'Fred Linger', 'DJ Bazooka']
3	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	773729	Balzklub & Hinterzimmer	 14 November 2015 	['Hinterzimmer: Steve Cole', ' Lui Young', 'Balzklub: Rollo Tomasi']
4	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	591039	Tête-à-Tête with Adana Twins	 21 May 2014 	['Adana Twins (Exploited)', ' Florian Oberhauser (FRQNCY)']
5	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	591030	Lime-Juice	 16 May 2014 	['Roque le Char', ' Similar Disco']
6	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	591024	Selfmade with Mannequine	 02 May 2014 	[' Aware (Selfmade)', 'Mannequine (Continental Rec.)', ' Nathansbraten (Ten 11 12)']
7	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	585144	Tête-à-Tête with Wolf Lamb	 23 April 2014 	[' Gloria Bulsara (Gelbes Billett Musik)', 'Wolf+Lamb']
8	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	591027	Balztakt	 09 April 2014 	[' Denis Capizzi', ' Fredski', 'J. Fab']
9	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	570962	Tête-à-Tête mit Claptone	 26 March 2014 	[' Berlin)', ' Basel)', ' Sascha Stohler & Arnstroem (blvd.', 'Claptone (Exploited Records']
10	88396	 Balz Klub	Steinenbachgässlein 34; 4051 Basel	563935	Tête-à-Tête mit M.A.N.D.Y. 	 19 February 2014 	['M.A.N.D.Y. / Philip Jung (Get Physical Music', ' Berlin)', ' Freudenreich (Wildfang)']
