	place	address	event	date	artists
0	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Music Showcase	2017-02-02	['Affani', 'Mark Faermont']
1	 2. Akt Restaurant & Bar	Selnaustrasse 2	Mucho Stylez	2017-02-02	['Mucho Stylez']
2	 2. Akt Restaurant & Bar	Selnaustrasse 2	Mucho Stylez 	2017-02-02	['Mucho Stylez']
3	 2. Akt Restaurant & Bar	Selnaustrasse 2	Zweiter Akt	2017-02-02	['Mucho Stylez']
4	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Night	2017-02-02	['Mark Faermont', ' Sonny Dima']
5	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Night	2017-02-02	['Carlos Russo', ' Mark Faermont']
6	 2. Akt Restaurant & Bar	Selnaustrasse 2	Tonka UND 3333 Tage Saxer	2017-02-02	['Tonka', ' Mark Faermont', ' Danny Coleman']
7	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Night	2017-02-02	['Carlos Russo', ' David Eye']
8	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Parade	2017-02-02	[' Mark Faermont', 'Elektroschneider', ' Danny Coleman', ' Niall Redmond']
9	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Music Night	2017-02-02	['Mark Faermont', ' DJ Le Baron']
10	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Music Night Featuring Niall Redmond	2017-02-02	[' Danny Coleman', 'Niall Redmond', ' Mirco Esposito']
11	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Music Night Pres. Anëk	2017-02-02	[' Ales', ' Mark Faermont', ' Sven The Freak', 'Anek', ' DJ Le Baron']
12	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Music Night	2017-02-02	['Mark Faermont', ' Michael Canzian']
13	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Music Night	2017-02-02	['Mark Faermont']
14	 2. Akt Restaurant & Bar	Selnaustrasse 2	Party Rolf Feat. Steven Stone	2017-02-02	[' Steven Stone', 'Rolf Imhof']
15	 2. Akt Restaurant & Bar	Selnaustrasse 2	Deeptown Music Night	2017-02-02	[' Mark Faermont', 'Progamode']
16	 2. Akt Restaurant & Bar	Selnaustrasse 2	5 Years Place 2 Be - Akt Edition	2017-02-02	['Juzz', 'SCP Dance Project', 'Ryan K', 'Belair', 'Namito']
