	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	830068	The Closing	 16 July 2016 	['Jamie Jones', 'Black Coffee (cancelled)', 'Laurent Garnier', 'Apollonia', 'Laolu']
1	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	852982	Traffic presents Freakout Cult with DJ Fett Burger & Jayda G	 16 July 2016 	['VJing by Maak (Traffic - CH)', 'Eevy (Traffic - CH)', 'Jayda G (Freakout Cult - CA)', 'DJ Fett Burger (Freakout Cult - NO)', 'Orsett (Traffic - CH)']
2	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	847301	Rakete 10 Years	 15 July 2016 	"['Sabb (Moon Harbour', ' Mobilee - Zurich)', ' Cityfox - Zurich)', 'Reto Ardour (Hive Audio', ' SK Supreme - Zurich)', ' Poker Flat', 'Animal Trainer (Hive Audio', ' Saved', ""Dario D'Attis (Hive Audio"", ' Strictly Rhythm - Zurich)']"
3	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	831572	Red Bull Music Academy Thursday with Floating Points, Four Tet & Kiasmos	 14 July 2016 	['Four Tet', 'Floating Points', 'Kiasmos']
4	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	847040	Dazzling Lights	 13 July 2016 	['The Black Madonna', 'Danny Daze', 'Alex Dallas b2b Kalabrese (Zukunft - Zurich)']
5	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	847037	Techno Tuesday	 12 July 2016 	['mimetic (Les Arts Minis', 'Rødhåd (Dystopian - Berlin)', 'Vril (live) (Dystopian - Berlin)', ' Electron - Geneva)', 'Isolated Lines (Creaked - Vevey)']
6	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	847035	The Studio 10 Years	 11 July 2016 	['', 'Ripperton b2b Deetron (Switzerland)', 'Adriatique (Diynamic - Switzerland)', 'DJ Tennis (Life and Death - Italy)']
7	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	846937	D! Club 20 Years	 10 July 2016 	['Reklok live (Heavy Snatch Records - Geneva)', ' Clarisse - Lausanne)', ' Berghain - Berlin)', 'Marcel Dettmann (Ostgut', 'Romano Rapeso (Teknologik - Geneva)', 'Djerry C (D! Club', ' MDR']
8	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	846933	Studio Kicks	 09 July 2016 	['Dejan (Lexy', ' mOOving', 'Garance (Les Arts Minis', ' Cityfox - Zurich)', ' Cadenza - Lausanne)', ' Soulfooled - Geneva)', 'Dirty Flav (We are Deep - Lausanne)', 'Mirko Loko (Polaris']
9	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	846930	Good bye La Ruche	 08 July 2016 	['SuCré SaLé (French Kitchen - Paris)', ' Fantastic Friends Recordings - Lausanne)', 'Adolpho & Franky (La Ruche', ' Bar25 - Berlin)', 'Daniel Dreier (Moon Harbour', 'Nicolas Duvoisin (La Ruche']
10	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	846634	Audiotheque. with Motor City Drum Ensemble + Jeremy Underground	 06 July 2016 	['Motor City Drum Ensemble', ' Jeremy Underground', ' Bauchamp', ' Huazee', ' Robel']
11	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	846603	Techno Tuesday	 05 July 2016 	['Marco Faraone (Tenax', ' Dement3d - Geneva)', 'Opuswerk (Krill Music', ' Techno Venus - Lausanne)', ' Drumcode - Firenze)', 'Tanua ( Neopren', 'Nina Kraviz (трип)']
12	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	846592	Ellum Showcase	 03 July 2016 	[' Diynamic - Lausanne)', 'Architectural (Ellum - Barcelona)', 'Reber (Fantastic Friends Recordings - Lausanne)', 'Several Definitions (live) (Stil vor Talent', 'Maceo Plex (Ellum – Spain)']
13	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	846570	Nobody's Perfect	 02 July 2016 	"[""Sonny Catanese b2b Lucas Ramirez (Nobody's Perfect)"", 'Alex Mota (Actual Music – Lausanne)', 'Lost Heritage live (Actual Music)', 'ME & her (Zurich)', 'Fred (Actual Music – Lausanne)', 'Brown S (Tasty – Geneva)']"
14	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	846553	Project K Party	 01 July 2016 	['Andrea Oliva (Switzerland)', ' Saved - Switzerland)', 'Jimi Jules (Hive Audio', 'Yvan Genkins (Truesoul', ' Clarisse', ' Watergate - Switzerland)']
15	17276	 Montreux Music & Convention Center	Grand-Rue 95; 1820, Montreux	730303	Aftershow Lab	 18 July 2015 	['Krizzli', 'FlexFab', 'Simpig']
