	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	220944	Super Dance Berlin Edition, Demir & Seymen	 05 February 2011 	['Uglyfunker ', 'Beatis & Basshead ', 'Seymen', 'Em & Em', 'The Csc', 'tuningbox', 'Demir ', 'Arnstroem ', 'Drauf & Dran', 'Naughty Neigbours', 'David Fraka']
1	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	207548	Tagträumer² Tour	 03 December 2010 	['Oliver Markreich', 'Tuncay Celik', 'Steve Cole', 'Tagträumer²', 'Komsomol  (live)']
2	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	190440	Freaky Underclub with Dominik Eulberg	 01 October 2010 	['Chris Milla (Nopreset/Tema Digital/Big ', 'Freaky Charly (Freaky Undersound/Basel/CH)', 'Oscar Nicczo (Freaky Undersound/F)', 'Miss Flora (Pussy Power/Myspace.com/djmissflora/F)', 'Patt & Mandibula (Nitebeat/Sinnestäuschung', 'Records)', '/Freiburg/DE)', 'Adrian Martin (Miniload/Pazzoide Res./Basel/CH)', 'Bang/Freaky Undersound/DE)', 'Dominik Eulberg (Traumschallplatten/Cocoon ']
3	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	171859	Digital W / Tba	 18 September 2010 	['Chris Tietjen', 'Tuncay Celik', 'Friends']
4	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	182796	Maetrik	 04 September 2010 	['Gianni', 'Maetrik', 'Tuncay Celik']
5	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	177539	Digital Club W / Matt Tolfrey	 21 August 2010 	['Gianni Callipari', 'Matt Tolfrey', 'Tuncay Celik']
6	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	177538	Digital Club W / Cesare vs Disorder	 07 August 2010 	['Gianni Callipari', 'Cesare vs Disorder', 'Tuncay Celik']
7	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	177536	Digital Club W / Gregorythme Digitaline	 31 July 2010 	['Gianni Callipari', 'Tuncay Celik', 'Gregorythme ']
8	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	171858	Gregrythme	 31 July 2010 	['friends', 'Gregrythme', 'Digitaline ', 'Tuncay Celik']
9	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	177533	Digital Club	 24 July 2010 	['Markus Lindner', 'Gianni Callipari', 'Tuncay Celik']
10	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	171855	Digital Club with martin Eyerer	 10 July 2010 	['Tba', 'Tuncay Celik', 'Martin Eyerer']
11	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	171854	Digital Club with P. Chardronnet	 19 June 2010 	['Tuncay Celik', 'Patrick Chardronnet', 'and many more..']
12	30300	 Digital Club	Auf dem Wolf 4; 4057, Basel	167055	Opening W / Sweetncandy	 12 June 2010 	['Gianni', 'SweetnCandy', 'Tuncay Celik']
