	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	712059	Electric Station with Dennis Kruissen	 30 May 2015 	['Support by Haelg & Gerosa and Guests', 'DENNIS KRUISSEN ', 'Visuals by Aaawesome Colors']
1	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	712055	Das Lila Lamm Feiert mit Krankbrother & Perel	 15 May 2015 	['Krankbrother ', 'Perel']
2	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	696654	Nur Gut Tanzen with Detroit Swindle	 10 April 2015 	[' Blair', ' Ghoster', ' Selim & Armin', ' Lefthand', 'Detroit Swindle']
3	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	696652	Electric Station with Sam Feldt	 04 April 2015 	['Sam Feldt ', 'Haelg & Gerosa', 'Support: ', 'Hermann', 'F.A.B.']
4	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	648695	Das Leben ist Kein Ponyhof with Bit-Tuner	 27 December 2014 	['Bit-Tuner (CH)', 'SEXOMODULAR (CH)']
5	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	648693	Nur Gut Tanzen with Marc Romboy	 12 December 2014 	['Herman (Nur Gut)', 'Ghoster (Nur Gut)', 'Marc Romboy (Live - Systematic)', ' Noir Music', 'Einmusik (Live - Einmusika', 'The Toyboys (Polonium88 b2b Tonga)', 'Sandro Aguello (Feine Musik)', ' Katermukke)']
6	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	648690	Electric Station with Maniezzl	 06 December 2014 	[' ZH)', 'Maniezzl (Musikerziehung', ' AT)', 'Kyrill & Redford (Light my Fire', ' Salzburg']
7	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	648686	A Lovely Piece of Shit	 30 November 2014 	[' RAY HERLITZ', ' TOBIAS BIENZ Kostüm & Ausstattung HENRIETTE HERM Musik DJ Ray CITO Video & Visuals BENJAMIN BURGER Kommunikation KAJA EGGENSCHWILER', ' DIMITRI STAPFER', 'Von und mit BENJAMIN BURGER', ' MADIA SABIROWA']
8	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	641862	Das Lila Lamm Feiert mit Kollektiv Ost & Trinidad	 29 November 2014 	['Kollektiv Ost', 'Trinidad']
9	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	641865	Hospitality	 22 November 2014 	['METRIK ', 'DUBNIUM ', 'PULSAAR ', 'Dynamite MC ', 'Fred V & Grafix ']
10	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	648682	SET IT OFF Tour with Odesza	 20 November 2014 	['Slow Magic (USA)', 'ODESZA (USA)', 'Craft Spells (USA)']
11	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	648679	Pussy Drop with Gernot Modeselektor, Kali, Jurassic Fightclub	 14 November 2014 	[' Teheran/Berlin)', 'Jurassic FightClub (Television Rocks / Paris)', ' TV Rocks', 'Gernot Modeselektor (Monkeytown Rec. / (dj set))', 'Kali (Maral Salmassi']
12	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	641861	Das Lila Lamm Geht an die Monaberry Label Night	 24 October 2014 	['Martin Waslewski', 'Super Flu', 'Hanne & Lore']
13	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	641859	Das Leben ist Kein Ponyhof with Kap Bambino	 18 October 2014 	['Kap Bambino ', 'Support: Dramaqueen & Capitain Elaine']
14	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	641855	Nur Gut Tanzen mit DJ W!ld	 11 October 2014 	[' ATA', ' Ghoster', 'DJ W!ld', ' JOHAN NOVACEK', ' BLAIR']
15	36559	 Salzhaus	Untere Vogelsangstrasse 6; 8400, Winterthur	641853	Electric Station with Gamper & Dadoni	 04 October 2014 	['Gamper & Dadoni (Hamburg)', ' Bernoise (Dropout Agency)', ' F.A.B. (ST. GALL)', 'Berber & Pasta (FFF)']
