	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	890767	Bpitch Control Labelnight with Ellen Allien & Camea	 05 November 2016 	['Liebkind', 'Ellen Allien', 'Camea']
1	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	891213	Pearson Sound	 04 November 2016 	['Pearson Sound', 'Timnah Sommerfeldt', 'Kombé']
2	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	879884	Amen003 Release	 29 October 2016 	[' Mosaic', '', 'Agonis  (live) (Amenthia Recordings)', 'Exos (Thule Records', 'Garçon (Amenthia Recordings)', ' трип - ISL)']
3	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	889614	Keinemusik Nacht	 22 October 2016 	['Adam Port', '&ME', 'Yare', 'Reznik']
4	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	882363	Alle Farben	 21 October 2016 	['Sascha Stohler', 'Spanks!', 'Alle Farben', 'miniCLUB: Raise & Morard', '']
5	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	882300	Die Orakel	 15 October 2016 	['', 'Oliver Hafenbauer ', 'Barnt', 'Kassem Mosse (live)', 'miniCLUB X Alma Negra ']
6	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	882281	Soukie & Windish & Chris Schwarzwälder	 14 October 2016 	['', 'Soukie & Windish (live)', 'Chris Schwarzwälder', 'Pawlikowski ']
7	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	882278	Thomas Melchior	 08 October 2016 	['Thomas Melchior ', 'Nik Frankenberg ', 'Timnah Sommerfeldt ']
8	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	882177	Âme Live & Miniclub X Hwsd	 07 October 2016 	['Âme Live', '', 'miniCLUB X HWSD: Max Vaahs & Cedric Dekowski all night long', 'Jamie Shar', 'Alex Dallas']
9	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	877358	Mandar	 01 October 2016 	['Liebkind', ' S. A. M. & Malin Génie (DJ-Set / 5hours)', 'Mandar aka Lazare Hoche']
10	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	872663	Rødhåd	 30 September 2016 	['Gomorra ', 'Garçon ', 'miniCLUB: Timnah Sommerfeldt & Dubois ', 'Rødhåd ']
11	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	871017	Jeff Mills	 23 September 2016 	['miniCLUB X LaMain: ', ' Hinterhof)', '01:00 - End Kombé & Mafou ', '03:30 - End Jeff Mills (Axis Records)', '23:00 - 01:30 Jamie Shar (Hinterhof) ', '01:30 - 03:30 Agonis (Amenthia', 'Hinterhof Bar']
12	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	870577	Mira & Britta Arnold	 16 September 2016 	['Britta Arnold', 'Pawlikowski ', 'Mira']
13	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	870575	Steffi	 10 September 2016 	['Ben Kaczor ', 'Agonis', 'Steffi']
14	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	874846	Hanami Picnic with Virginia	 10 September 2016 	['Virginia', 'Agonis', 'Jamie Shar']
15	38153	 Hinterhof	Münchensteinerstrasse 81; 4052, Basel	870624	Marc Romboy	 09 September 2016 	['Marc Romboy', 'Cepheì', 'Herzschwester', 'Tarik', 'Multitask', 'Malicious Joy']
