	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	41145	 Rössli	Neubrückstr. 8, 3001 Bern	870306	Stride Night with Kassem Mosse	 15 September 2016 	[' Sassy J', 'Kassem Mosse', ' Kev the Head']
1	41145	 Rössli	Neubrückstr. 8, 3001 Bern	870420	Superliner 3500 XXL	 11 August 2016 	[' entropie', 'Le Bérger', ' Difracctive']
2	41145	 Rössli	Neubrückstr. 8, 3001 Bern	836997	Stride Night with Mother	 02 June 2016 	[' Sassy J', 'Mother', ' Kev the Head']
3	41145	 Rössli	Neubrückstr. 8, 3001 Bern	803008	Stride Night with Huerco S	 10 March 2016 	[' Sassy J', ' Kev the Head', 'Huerco S']
4	41145	 Rössli	Neubrückstr. 8, 3001 Bern	801785	re:st	 25 February 2016 	['Neo Mds (CH)', 'Hatti Vatti (PL)', 'Lcp (CH)', 'Morb (CH)']
5	41145	 Rössli	Neubrückstr. 8, 3001 Bern	801382	Dubtopia Viii	 13 February 2016 	[' CH)', 'Cessman (dubliminal/Ariwa', 'Phrex (Dubtopia/sub.fm/bons vivants', 'cutkachi (Dubtopia/re:st', 'Justice Rivah feat. Iyah Ranx (JRS/Dubclub', ' UK)']
6	41145	 Rössli	Neubrückstr. 8, 3001 Bern	775744	Stride Night with Ron Morelli	 17 December 2015 	[' Sassy J', ' Kev the Head', 'Ron Morelli']
7	41145	 Rössli	Neubrückstr. 8, 3001 Bern	749283	Stride Night with Even Tuell	 10 September 2015 	['Even Tuell', ' Sassy J', ' Kev the Head']
8	41145	 Rössli	Neubrückstr. 8, 3001 Bern	870425	Gesang der Jünglinge	 14 May 2015 	['Mobylette', ' Knäckebröd', ' entropie', ' Ræve', ' Soivé']
9	41145	 Rössli	Neubrückstr. 8, 3001 Bern	675196	Stride Night	 05 March 2015 	[' Hashman Deejay', ' Sassy J', ' Kev the Head', 'Pender Street Steppers']
10	41145	 Rössli	Neubrückstr. 8, 3001 Bern	643191	Stride Night	 06 November 2014 	[' Sassy J', 'Greg Beato', ' Kev the Head']
11	41145	 Rössli	Neubrückstr. 8, 3001 Bern	621465	R3s3t: FIS	 18 September 2014 	[' Lcp', ' Cutkachi', 'Fis', ' Everest on TT']
12	41145	 Rössli	Neubrückstr. 8, 3001 Bern	586112	Patchwork Night presents Sadar Bahar	 08 May 2014 	['Ill Dubio (Soul Sociedad) & Sassy J (Patchwork/Stride)', ' Chicago)', 'Sadar Bahar (Soul In The Hole']
13	41145	 Rössli	Neubrückstr. 8, 3001 Bern	541160	Luana Records Label Night: Valance Drakes& Bit-Tuner & More	 12 December 2013 	[' Matu', ' Bit-Tuner', 'Valance Drakes', ' Lcp']
14	41145	 Rössli	Neubrückstr. 8, 3001 Bern	525673	Stride Meets The Trilogy Tapes	 17 October 2013 	[' Will Bankhead', 'Anthony Naples', ' Madteo', ' Sassy J', ' Kev the Head']
15	41145	 Rössli	Neubrückstr. 8, 3001 Bern	474606	Stride Night Bern with Moiré	 09 May 2013 	[' Sassy J', ' Kev the Head', 'Moiré']
16	41145	 Rössli	Neubrückstr. 8, 3001 Bern	316769	Substream at Dachstock	 04 February 2012 	['TBA']
17	41145	 Rössli	Neubrückstr. 8, 3001 Bern	316763	Heu, Stroh & Hafer	 15 December 2011 	['Dreksler & Haerle ', 'Jan Penarrubia']
18	41145	 Rössli	Neubrückstr. 8, 3001 Bern	260090	Heu, Stroh & Hafer	 26 May 2011 	['Simon Stokes', ' Racker']
19	41145	 Rössli	Neubrückstr. 8, 3001 Bern	225808	Dope Crackers Tour	 19 May 2011 	[' support: Nik! vjs: .Suffix', 'Bit-Tuner live', ' Alphatronic live (Record Release)', ' Feldermelder (live)']
