	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	849101	The Last Closing	 25 June 2016 	[' Pawlikowski (Wunschkind', ' Prestige weltweit)', ' Rafeeq (Berimbau)', ' Slowly Rico (Slowly Rico)', ' Arutani (Berimbau)', ' Bachstelzen)', ' Sven Dohse (Katermukke', 'Madmotormiquel (URSL', ' LOKD)', ' Katermukke', ' Dandara (Berimbau)']
1	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	845010	Bärenstark with Jan Oberländer	 17 June 2016 	[' About Paula', ' Waterkant Souvenirs)', 'Jan Oberlaender (Katermukke', ' Herzschwester (Gelbes Billett)']
2	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	845008	Party Basel	 16 June 2016 	['Herr Vogel (Valhalla)', ' Strassenmajor (Valhalla)', ' Vario Volinski (Valhalla)']
3	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	845006	Heimvorteil	 11 June 2016 	[' Tunay Can', 'Cepheì (Cosmic Theory)', ' Agonis (Amenthia Recordings)']
4	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	842946	Musik ist Gold with Metodi Hristov	 10 June 2016 	"["" Blaqq & Why'd"", 'Metodi Hristov (Set About', ' Luca Castagna', ' Symoh Sares ', ' Bulgaria)', ' Albi']"
5	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	842943	Bazar with SIS 	 03 June 2016 	['SIS (Crosstown Rebels)', ' Servet Argin', ' Pascal Wirz']
6	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	839165	Heimat with Mira und Chris Schwarzwälder	 28 May 2016 	[' URSL)', 'Mira (Katermukke', ' Laut & Luise)', ' Chris Schwarzwälder (Feathered Sun', ' Pawlikowski (LOKD)', ' Dave Multitask']
7	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	837835	Trautes Heim with Jake The Rapper	 21 May 2016 	[' Strassenmajor', ' Berlin)', ' Der Held', 'Jake the Rapper (Bar25', ' Herr Vogel']
8	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	839161	Heimvorteil	 20 May 2016 	[' Kombé (La Main)', ' Timnah Sommerfeldt (Hinterhof)', 'Jamie Shar (Hinterhof)']
9	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	835017	Bärenstark with Canson Live	 07 May 2016 	[' URSL)', '', 'Yann Kulovsky (LOKD) ', 'Canson (live)! (Katermukke', 'Nico Wilde (LOKD)']
10	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	815646	Federleicht mit Nico Pusch	 26 March 2016 	[' Pascal Wirz (Zirkus)', 'Nico Pusch (Droomschipp', ' Mike Kay (Rawls Music)', ' Hecht & Zander (Jägerhalle)', ' Rostock', ' Germany)']
11	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	804328	Heimvorteil 2	 05 March 2016 	[' Nuemp ', ' Albi', 'Fred Licci']
12	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	804311	Federleicht mit Vario Volinski & Xose	 13 February 2016 	[' Xose', 'Vario Volinski']
13	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	796095	Arosa Electronica Promotour w./ Round Table Knights	 06 February 2016 	[' Basel) ', ' Lucalain (Jägerhalle', ' Soame [Arosa Electronica]', 'Round Table Knights']
14	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	796090	Baas - 'Benefiz Rave' - MIA. / Albi / Proof of Concept / Dan B / Tonfa	 05 February 2016 	['MIA', ' Tonfa & Dan B (Farbe Form Musik)', ' Proof of Concept (Cafe Singer)', 'Albi (Farbe Form Musik)']
15	75081	 Jägerhalle	Erlenstrasse 59; 4057, Basel	791843	Farbenklang	 30 January 2016 	[' France)', 'Lazare Hoche (Paris', ' Lindon & Jembo62', ' Gianlukino (Basel)']
