	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	585795	Berlin House with Sascha Braemer & Niconé	 25 April 2014 	"['Sascha Braemer & Niconé (Stil vor Talent)', '3some (Tapetenwechsel)', ""Tonic (Fresh'n'Loud)"", 'Moe & Zard (Fraktion Tanz)', 'James Mc Hale (Tanzkarussell Ber(li)n)', ""Pasci (Frieda's Büxe)""]"
1	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	581755	Osterkarussell 2014 - Samstag	 19 April 2014 	['Martin Buttrich (Desolat', ' Cocoon)', 'Tom Wineman (Pleasurelab)', 'Luca de Grandis aka Der Schuft (Tanzkarussell)', ' Minus', 'James Mc Hale (Tanzkarussell)']
2	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	581754	Osterkarussell 2014 - Freitag	 18 April 2014 	['Chicks Luv Us & Medeew (Kiara Rec.', 'Jon Donson (Elektrostubete)', 'Oliver Schories (live) (Der Turnbeutel)', ' Kina Music)', 'Croatia Squad (Enormous Tunes)']
3	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	581752	Osterkarussell 2014 - Donnerstag	 17 April 2014 	['Stephan Bodzin (Herzblut', 'Khainz (Formatik)', 'Marc Romboy (Herzblut', ' Systematic)']
4	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	575938	Tanzkarussell mit Matador	 22 March 2014 	['James Mc Hale ( Tanzkarussell Ber(li)n)', 'Jon Donson (live) (Lucid Flow / Elektrostubete)', 'Matador (M_NUS / Dublin)', 'Romano Rapeso (TEKNOLOGIK)', 'Luca de Grandis( Tanzkarussell Bern)']
5	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	561384	Belin Sounds with Niconé & Mutlu	 22 February 2014 	['Niconé (Stil vor Talent', 'Garibovic (WKND/Definition:Music) ', 'La Bohème B2B Chapkmace (KartelKlub)Berlin', ' Bar25) Berlin', 'James Mc Hale (Tanzkarussell) ', ' Bar 25) Berlin', 'Mutlu (Katerholzig']
6	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	542604	Winterkarussell - Tanzkarussell Nacht	 28 December 2013 	['Luca de Grandis (Tanzkarussell)', 'Mia. (Nordstern', 'Enzo Siragusa (Fuse London)', ' Tanzkarussell)', 'Andrea Oliva (Cadenza)', 'James Mc Hale (Tanzkarussell)']
7	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	542599	Winterkarussell - Fraktion Tanz Nacht	 27 December 2013 	"['Moe&Zard (Fraktion Tanz / Dirty Panda Rec.)', 'Alain Roy b2b Dirty Larry (Fraktion Tanz / Dirty Panda Rec.)', ' London UK)', 'Gorillaz Sound System (DJ Set', 'Nore En Pure (Hit ""Come with me"")', 'Pavel Prince b2b Tiano Thomas (Fraktion Tanz / Dirty Panda Rec.)']"
8	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	542596	Winterkarussell - Lokalmatadoren	 26 December 2013 	['Kellerkind (Stil vor Talent)', 'Croatia Squad (Enormous Tunes)', 'Round Table Knights (Off Rec. / Made to Play)']
9	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	539258	CANCELED! 5 Jahre Tanzkarussell & Fraktion Tanz	 21 December 2013 	['', ' James Mc Hale (Tanzkarussell)', ' Luca de Grandis', 'Moe&Zard', 'MIA.', ' Favila&Valentine']
10	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	532661	Tanzkarussell mit Kellerkind 'Music is a Miracle' Album Release	 23 November 2013 	['Channel X  (live) (Stil vor Talent)', 'Luca de Grandis (Tanzkarussell)', 'James Mc Hale (Tanzkarussell)', 'MIA. (Tanzkarussell / Nordstern)', 'Kellerkind (Stil vor Talent)']
11	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	519950	Wankelmut	 11 October 2013 	"['Jon Donson (Elektrostubete)', '3Some (Tapetenwechsel)', 'Wankelmut (Get Physical – ""One Day"" Berlin)', 'Tiano Thomas b2b Pavel Prince (FRAKTIONTANZ)']"
12	88116	 Club Edge	Papiermühlenstrasse 70, 3014 Bern-Wankdorf	519947	Tanzkarussell mit Enzo Siragusa	 28 September 2013 	['Enzo Siragusa (Fuse London/Ibiza)', 'Luca de Grandis (Tanzkarussell)', 'James Mc Hale (Tanzkarussell)', 'Nicola Koch (Mischkultur)', 'MIA. (Tanzkarussell / Nordstern)']
