	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	887457	Technologies	 29 October 2016 	['Alex Mine', ' Max Cadence', ' Deepfreeze']
1	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	877426	Electronic Wave presents Reset Robot	 10 September 2016 	['Reset Robot']
2	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	869222	Digi-Tales / Les Digitales Afterparty	 20 August 2016 	['Specialivery', ' Oscar Der Winzige.', ' Mess Me']
3	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	861031	Electronic Party	 23 July 2016 	"[' Steve Massive.', 'Specialivery', ' Mess Me', ' Walter Albini', "" L'N'F"", ' Batiment']"
4	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	850510	Oblate presents Specialivery & Dis/Order	 17 June 2016 	['Specialivery', ' Dis/Order.']
5	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	838989	Cities: Milano Pres. Too Long Showcase	 25 May 2016 	"['Mirko Di Florio', ' Mattia Presta', "" L'N'F"", ' Batiment']"
6	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	804516	2 Years of Velo Rec Tour	 21 May 2016 	[' more tba', ' Divalvi', 'Tom Alemanno', ' Christian Knipp']
7	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	828700	Oblate presents Specialivery & Mess Me	 14 May 2016 	[' Mess Me.', 'Specialivery']
8	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	835818	Electronic Wave presents Seb Zito	 04 May 2016 	"['Seb Zito', "" L'N'F""]"
9	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	819782	Electronic Wave presents Bill Patrick	 02 April 2016 	"['Bill Patrick', "" L'N'F""]"
10	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	802687	Cities: Bruxelles Feat. Issa Maïga	 20 February 2016 	"["" L'N'F"", ' Batiment', 'Issa Maïga']"
11	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	795986	Electronic Wave presents Joefarr	 23 January 2016 	"['JoeFarr', "" L'N'F""]"
12	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	784439	The DJ Marathon 4 Years Birthday All Stars Bash.	 11 December 2015 	[' Alan K', ' Chris Clayton', ' Matthew Adamas', ' Pat K P', 'Batiment', ' Mozzy', ' Pol Wise', ' Max Cadence', ' Mess Me', ' Anish', ' Rho', ' Aeed', ' Traumtief', ' Naca', ' Ivan Stantoro', ' Edison Cabrino', ' Tom Alemanno', ' Thomas T', ' Specialivery', ' Riki Ustrell', ' Deepfreeze', ' Neekee', ' Gianni Mori']
13	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	779525	Electronic Wave presents Phil Kieran	 05 December 2015 	"['Phil Kieran', "" L'N'F""]"
14	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	776307	Cities #9:Barcelona Pres. Fake Out	 20 November 2015 	"['TurKo', "" L'N'F"", ' Planktom', ' Batiment']"
15	8903	 Living Room Club	Via Trevano 89a; 6900, Lugano	779522	Electronic Wave presents Shinedoe	 03 October 2015 	"['Shinedoe', "" L'N'F""]"
