	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	852292	Klinker Klub	 01 October 2016 	['ASOK']
1	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	823867	Klinker Klub: Fünf Jahre Wake Up! – Records	 04 June 2016 	['Benjamin Brunn', ' Lerosa', ' Mark Rhein']
2	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	832528	Electronic Circuit presents Lee Gamble & Søs Gunver Ryberg	 27 May 2016 	['Heiko', 'Lee Gamble', 'SØS Gunver Ryberg']
3	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	801304	Klinker Klub	 30 April 2016 	['Bird (Sirion Records)', ' Parquet Recordings)', 'Knäckebröd (Tiefgang Recordings)', 'Disko Dario (live) (Sirion Records', 'Chymera (live) (Kompakt Records', 'Feodor (Sirion Records)', ' Ovum Recordings / IRL)']
4	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	801301	Liebling	 16 April 2016 	[' Hot Jam DJ-Team', 'Dandy']
5	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	801299	Liebling: Ostersonntag Spezial	 27 March 2016 	['Willie Burns', 'Daniele Cosmo']
6	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	801298	Club Soleil	 20 March 2016 	[' Heiko ', 'Agonis', ' Eftn  (live)']
7	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	801293	Liebling	 11 March 2016 	['Heiko', ' Kami ']
8	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	801292	Club Soleil	 28 February 2016 	['Eftn (IR/OR)', 'Heiko (IR/OR)']
9	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	801808	Club D'essai	 25 February 2016 	['Mastra', 'Till/Tape', 'live-acts tba.']
10	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	788178	Klinker Klub	 13 February 2016 	['Maxmillion Dunbar (Future Times', ' The Trilogy Tapes', ' Berceuse Heroique / USA) Princess P. (Dolce / CH)']
11	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	801291	Liebling	 06 February 2016 	['In Flagranti (Codek', ' CH/UK)']
12	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	788177	Klinker Klub #14: Silvester	 31 December 2015 	['Adva (deins&meins)', 'Gray Chalk (bons vivants)', 'Eftn live (IR/OR)', 'Mastra (bons vivants)']
13	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	750318	Saint Ghetto 2015	 20 November 2015 	['The Space Lady (USA)', 'Neneh Cherry & Rocketnumbernine (SE/UK)', 'The Necks (AUS)']
14	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	750316	Saint Ghetto 2015	 19 November 2015 	['Olöf Arnalds (ISL)', 'Mohammad (GR)']
15	9001	 Dampfzentrale	Marzilistrasse 47; 3005, Bern	751706	Patchwork	 31 October 2015 	[' 22a Music)', ' Stride Night / be)', 'Henry Wu (London', 'Sassy J (Patchwork']
