	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	882388	Alors Festival	 28 October 2016 	[' Mr Raoul K', ' MF Jaeger  (live)', ' Oliver & Buzz', ' Clap! Clap!  (live)', ' Rolf Saxer  (live)', ' Luke Redford', ' Bongoklub Züri  (live)', ' Motherland Soundsystem', ' Sentiment', ' Sari', ' Alma Negra', ' Africaine 808  (live)', 'Omar Souleyman  (live)', ' Rearte', ' Tropical Continent Soundsystem', ' Voodoohop  (live)', ' The Zimbabwebird', ' Batuk  (live)', ' Nico Sonne  (live)', ' Teki Tekua']
1	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	864243	In Control	 19 August 2016 	['Tillup', 'Miami Dave', 'Bad News', 'Condor', 'Rolf Saxer  (live)']
2	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	752477	Lapalux with Dave Eleanor, DJ Rumory	 06 September 2015 	['Dave Eleanor', 'DJ Rumory', 'Lapalux']
3	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	745619	Zigiroom - NZN	 22 August 2015 	['Elvis Cassetta', 'Herr Mehr', 'Fredomat']
4	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	705712	Grand Prix der Emotionen	 10 April 2015 	[' Jacques Palminger', ' nemoy', ' Jeans for Jesus', ' The DJ. Milieu Mauri', ' Robbie Naish', ' MTDF', 'Saalschutz', ' Flumroc', ' Egotronic', ' Erobique']
5	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	712133	Grand Prix Der Emotionen	 11 March 2015 	['Jaques Palminger', ' Erobique']
6	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	645628	10 Jahre Stall 6 / Tag 2	 18 October 2014 	[' Tropical Continent Soundsystem/ZH)', 'Jin Chillah (Handbandits', 'Kalabrese (Rumpelmusig/ZH)', 'Esben and the Witch (London)', 'Dillon (bpitchcontrol/Berlin)']
7	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	645481	10 Jahre	 17 October 2014 	['DJ: P.Bell (beatpirates.ch', 'Elektro Guzzi (Wien)', 'Aktuelles Album „Friede Freude“', ' Lethargy/ZH)', 'Melodiesinfonie (ZH)', 'Aktuelles Album „Observatory“', 'Aktuelles Album „Mo Kolours“', 'Mo Kolours (London) ']
8	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	611224	Golden Pudel Club Nacht	 11 July 2014 	[' MTDF (Stall 6)', 'Viktor Marek (Golden Pudel Club/Hamburg). Robby Naish (Stall 6)']
9	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	562727	Mark Ernestus presents Jeri-Jeri	 06 February 2014 	['Bala M. (Senegal', 'Mark Ernestus (Hard Wax/Berlin)', ' Zurich)', 'Jeri-Jeri (Hard Wax/Senegal)']
10	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	520255	Golden Pudel Club Night	 26 September 2013 	['Robby Naish (Stall 6 / Zürich Wiedikon)', 'MTDF (Stall 6 / Zürich 4)', 'Viktor Marek (Golden Pudel Club / Hamburg St. Pauli)']
11	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	510200	Kleeblatt	 16 August 2013 	[' Ms. Hyde', ' Kejeblos', ' The DJ', ' MTDF', ' Robby Naish', ' Inderrock', 'Jauss']
12	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	504738	Colludo & Minidetail Streetparade Edition 2013	 10 August 2013 	[' Diynamic', '', 'Markus Homm (Diynamic', 'Lucas Aliu (Minidetail', ' Colludo', ' Lausanne)', ' Zürich)', 'Timoteo', ' Highgrade', 'Michael Gull (Kling Klong', ' Berlin)', 'Sandro Falletta (Colludo', 'Frenchwerk (Colludo', ' Basel)', 'Guido Schneider (Moon Harbour', ' Katermukke', 'and many more', 'Jens Bond (Highgrade']
13	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	431754	Hula Honeys 5th Anniversary & Double Release	 14 December 2012 	[' live: FELL (record release show)', ' DJs: Bit-Tuner', 'live: Buvette (record release show)', ' Soult', ' Nik!']
14	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	414468	Tobias Thomas	 20 October 2012 	['Tobias Thomas (Kompakt/Köln)', '', ' Malik (Neon/ZH)', 'Suport: P.Bell (Beatpirates/ZH)']
15	9802	 Stall 6	Gessnerallee 8; 8001, Zurich	363932	DAM-Funk - Live	 03 June 2012 	['', 'John Player', 'Soulsonic', 'CEO Müller', 'Dâm-Funk & Band']
