	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	867551	Dark Blue with Andhim 	 29 October 2016 	['Andhim (Get Physical', ' Tristan Bohn', ' Yves Helbling', ' Berlin)', ' Monaberry', ' Trinidad', ' Melchior']
1	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	874363	Future is Now	 15 October 2016 	[' Mano Le Tough', ' Kalabrese', ' Adriatique', 'John Talabot', ' Nicola Noir', ' Sentiment', ' Alex Dallas', ' Roman Flügel']
2	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	874356	Guy Gerber	 17 September 2016 	[' Bassbüro', 'Guy Gerber']
3	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	874355	Seth Troxler	 10 September 2016 	[' Dimitri', 'Seth Troxler', ' Bas Ibellini']
4	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	868741	Dark Blue with Mat.Joe 	 02 September 2016 	[' Definition (Definition:music', ' Hive)', 'Mat.Joe (Defected', ' Cocoon', ' Hot Trax', ' Get Physical)', ' Lee Van Dowski (Mobilee', ' Mother Recordings - DE)']
5	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	869141	Sanapa Stadtsommer	 20 August 2016 	['GD', 'Mucho Stylez']
6	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	858713	Dark Blue with M.A.N.D.Y.	 29 July 2016 	['M.A.N.D.Y. (Get Physical', ' Berlin)', ' Nici Faerber', ' Fat Sushi']
7	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	850856	Liebe zur Musik with Thomas Jack	 22 July 2016 	['Nicolas Haelg ', 'Thomas Jack', 'Permanent Triangle', 'Techrifice', 'Morgan Button']
8	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	848932	Sanapa	 11 June 2016 	['Mucho Stylez ', 'Steven Wallace', 'Lejuste']
9	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	837438	Dark Blue with Wankelmut 	 10 June 2016 	[' Berlin)', ' Fat Sushi (Suara', 'Wankelmut (Get Physical', ' Hive Audio)', ' Sentiment']
10	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	838814	Mykonos Party 2016	 04 June 2016 	['DRESSCODE: all in white!', '', ' Valeron(Mykonos) ', 'DISCOfloor (Festsaal)DJs Big Daddy & Jovi', 'Electronica Floor:(Lima Bar) DJ Ronald Grauer & Dimitri', 'Animation by:Anish & The PDG', ' Cem', ' Muri', 'GREEKfloor (Hof) DJs Thanos(Mykonos) & Gogos', 'House Floor(Club): dj Jamie Lewis']
11	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	841208	Vanity with Disciples	 20 May 2016 	['Disciples', ' Gil Glaze']
12	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	824882	Dark Blue with Eats Everything	 13 May 2016 	[' Robin & The Sidekick', 'Eats Everything', ' Definition']
13	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	832248	Cage aux Folles	 30 April 2016 	['Qebeq ', 'Marina', 'Lost at']
14	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	820927	Dark Blue with Maya Jane Coles	 08 April 2016 	['Maya Jane Coles (I/AM/ME', ' UK)', ' Stil vor Talent)', ' Animal Trainer (Hive Audio']
15	12930	 Kaufleuten	Pelikanstrasse 18; 8001, Zürich	822295	Planet 105 - Otto Knows & Felix Jaehn	 01 April 2016 	[' Gil Glaze', ' Gunes Ergun', ' Otto Knows', 'Felix Jaehn', ' Costa Del Soul DJ Team', ' King Arthur']
