	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	890792	Jonny Rock	 28 October 2016 	['', '- Ananas Symphonie (Fribourg)', '- Jonny Rock (Playhouse', ' Disco 45/ Londres)']
1	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	890804	Amour & Laine with Dreems	 21 October 2016 	['Greg Shepherd (Finefood records - Studio 1157/ Fribourg)', 'Dreems (Berlin/ Multi Culti)']
2	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	838556	Sono Mondiale: Lucas Monème Invite Debora Ipekel	 27 May 2016 	['Debora Ipekel aka Night Nurse', ' Lucas Monème']
3	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	796398	Mehmet Aslan & Michal Zietara	 26 February 2016 	['', 'Michal Zietara (Wilde Renate', ' Fleeting Wax - Berlin)', 'Mehmet Aslan (Wilde Renate', ' Osba', ' Pets - Berlin)', 'Coolcat et Simon Mozer 2000 (Studio 1157 - Fribourg)']
4	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	802690	Parallel I	 12 February 2016 	['Tha Tuga', '900000/Y', 'Shades']
5	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	799949	Amour & Laine with Jens Bond	 06 February 2016 	['Greg Shepherd (Studio 1157', 'Jens Bond (Highgrade Records', 'R.EK (Partout - Bern)', ' Finefood records - Fribourg)', ' Katermukke - Berlin)']
6	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	777402	Nori (Posivision-Tokyo) Isolated Lines Ariane	 04 December 2015 	['Ariane', 'Isolated Lines', 'Nori']
7	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	766560	In Flagranti	 20 November 2015 	['Ananas Symphony ', 'In Flagranti']
8	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	766559	Smoke Machine, Live Session w/ Sweely / Primr	 13 November 2015 	['Foupoudav', 'Sweely', 'Primr']
9	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	766550	Agnès, Quarion, Ripperton	 06 November 2015 	['', 'Ripperton ', 'Agnès', 'Quarion ']
10	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	766554	Habibi Funk	 30 October 2015 	['', 'Habibi Funk', 'Artmaillé']
11	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	710361	Note Gourmande Feat. Sandro Kuhne	 22 May 2015 	['Rice&Beans', 'Sandro Kuhne']
12	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	706965	Smoke Machine	 01 May 2015 	['Till/Tape & Gray Chalk ', 'Bbphoque (live) ', 'Foupoudav']
13	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	691526	Smoke Machine presents Cosmic Paradise	 20 March 2015 	[' Asmara  (live)', ' Artmaillé b2b Alan Bolumar', 'Michal Zietara']
14	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	671182	S M O K E M A C H I N E	 10 January 2015 	['Foupoudav (FR)', 'CMYK (GE)']
15	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	671196	Christmas Med Party	 17 December 2014 	['DJ H-Era', 'Chris Ahn']
16	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	652321	Mini-Night by Answer-Prod	 07 November 2014 	[' Cadenza )/ France', ' Ruta 5', 'Dandy Jack ( Perlon']
17	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	598148	I S Ø L A T I O N #5	 06 June 2014 	[' Julien Aubert', 'Isolated Lines']
18	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	570525	Kartel Klub Carnival	 04 March 2014 	[' Cirkus', ' Lemonick', 'Jokari', ' Bitsculpter']
19	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	548081	Jokari	 31 December 2013 	[' Double You', ' Elk + Rhino', ' Artmaillé', ' Arival', ' West D', ' Fat Acid', ' Isolated Lines', ' Ozien', ' Coolcat', 'Jokari']
20	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	548079	Kartel Klub Night with Horasse, Herkul & Lemonick	 27 December 2013 	['Horasse', ' Herkul', ' Lemonick']
21	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	547147	I S Ø L A T I O N #2	 13 December 2013 	['JNPLSRC ', 'Iker Muruaga', 'Isolated Lines', 'Derek ']
22	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	524565	I S Ø L A T I O N #1	 18 October 2013 	"[""Marc D'Arrigo"", ' Isolated Lines']"
23	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	468897	Kartel Klub All In	 06 April 2013 	[' Jokari', ' Herkul', ' Chapkmace', 'Bitsculpter', ' Cirkus', ' Lemonick']
24	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	182269	Black Sheep: Halloween Party	 30 October 2010 	['Ryan Hawkin (Finefood Records - Swiss) LIVE + (dj set)', 'KONPIUTA (Minidetail - Swiss) LIVE']
25	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	182119	Black Sheep	 04 September 2010 	['Ryan Hawkin', 'Mia Kaltes']
26	28698	 Le Mouton Noir	Grand-Rue 36, 1700 Fribourg	159157	The Cruzaders	 18 June 2010 	['The Cruzaders']
