	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	454153	Beatz - Divergences & Contradictions of Electronic Music	 22 March 2013 	['Eduardo de la Calle (Analogue Solution / Suprawax)', 'Tevor Handa (Darksite)', 'Duito (Mikrodisko)']
1	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	457360	Cover Your Face with Drumsound & Bassline Smith	 08 March 2013 	['Drumsound & Bassline Smith (UK)', 'Random Kid (CH)', 'Monkey Freakz (CH)', 'Hertzz (CH)']
2	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	347434	Sample Pleasures Tour	 27 April 2012 	['Oliver $', 'Jesse Rose']
3	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	332555	Sugar Party By Electrosanne presents Maceo Plex	 17 February 2012 	['DJ Reas', 'Maceo Plex', 'Chukks']
4	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	321533	Urban New Year's Eve	 31 December 2011 	['WILD PICH', 'RON-T', 'KRISS FADER', 'Kristo']
5	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	321532	X-Mas Night	 24 December 2011 	['WILD PICH', 'Kristo ']
6	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	305401	The Cruzader	 23 December 2011 	['The Cruzaderss (Lausanne - Ch)']
7	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	313673	Sugar Party with Keinemusik: Adam Port Rampa &me	 16 December 2011 	['- Rampa (KEINEMUSIK - SOUVENIR - BERLIN)', '- Kreisprozess (LAUSANNE)', '- Adam Port (KEINEMUSIK - SOUVENIR - BERLIN)', '- Das Hutwerk (LA RUCHE - LAUSANNE)', '- &ME (KEINEMUSIK - SOUVENIR - BERLIN)']
8	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	306644	Chocolate Party	 18 November 2011 	['Julietta (\x1fSushitech', 'WaLT (\x1fUpgrade Music', ' Harry Klein', ' La Ruche\x1f)', 'D-Andy (\x1fRecycle Records', ' DE\x1f)', ' Minidetail\x1f)', 'Yan Stricker (!Organism', ' Chocolate)', 'Jacqui (Fantastic Friends', ' Chocolate\x1f)']
9	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	290015	Berlin Residency with Marcel Fengler and Ripperton	 28 October 2011 	['Ripperton (Systematic', ' Green', ' Tamed Musiq)', 'Marcel Fengler (Ostgut Ton)']
10	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	290785	The Cruzaders	 28 October 2011 	['The Cruzaders']
11	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	290014	Xxx	 07 October 2011 	['xxx']
12	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	286782	Berlin Residency with Ben Klock & Ripperton	 30 September 2011 	['Ben Klock (KlockWorks / Ostgut Ton)', 'Ripperton (Tamed Musiq / Loft Resident)']
13	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	278694	Technomore vs Art Of Vengeance	 02 September 2011 	['Ripperton (Lausanne)', 'Deetron (Bern)', 'Aril Brikha (live)! (Stockholm)', 'Roots Panorama (CH)']
14	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	259388	Chocolate Festival - By Night	 17 June 2011 	[' Cityfox', 'Rino (Cityfox', 'Cityfox showcase with : Markus Lindner (Stadtpark', 'Wla Garcia (Hi Tech Soul', ' Austria)', ' Portugal)', ' ZH)', 'Emmat (Minidetail', ' VD)', 'LEFT  (live)! (Cityfox']
15	4974	 Loft Club & Loft Café	Place Bel-Air 1; 1003, Lausanne	265772	La Ruche At Loft Club	 10 June 2011 	[' Thibault & Fab', ' Ramon Lorenzo', 'Dandy Jack']
