	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313496	Raijin Gaijin & St.Paul	 21 December 2007 	[' Dj', 'Raijin Gaijin', 'St.Paul']
1	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313494	Stratos & St.Paul	 02 November 2007 	['Startos', ' Dj', 'St.Paul']
2	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313490	Pujadub Operators & St.Paul	 16 March 2007 	[' Live', ' Dj', 'St.Paul', 'Pujadub Operators']
3	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313489	Gio Red & St.Paul	 24 November 2006 	[' Live', ' Dj', 'St.Paul', 'Gio Red']
4	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313488	Stratos & St.Paul	 29 September 2006 	[' Dj', 'Stratos', 'St.Paul']
5	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313479	St.Paul	 22 April 2005 	[' Dj', 'St.Paul']
6	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313478	St.Paul	 10 December 2004 	[' Dj', 'St.Paul']
7	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313474	St.Paul & Mr.Fake	 07 May 2004 	[' Dj', 'Mr.Fake', 'St.Paul']
8	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313473	St.Paul, Psyberpunk & Korek Percussion	 23 April 2004 	['Korek Percussion', 'Psyberpunk', ' Dj', ' Live', 'St.Paul']
9	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313471	St.Paul & Deejayridoo	 12 March 2004 	['Deejayridoo', ' Dj', 'St.Paul']
10	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313469	St.Paul & Djerry C	 27 February 2004 	['Djerry C', ' Dj', 'St.Paul']
11	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313467	St.Paul, Sonic Cube & Andre Absolut	 13 February 2004 	['Andre Absolut', ' Dj', 'Sonic Cube', 'St.Paul', ' Live']
12	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313463	Digital Pirates & St.Paul	 30 January 2004 	[' Live', ' Dj', 'St.Paul', 'Digital Pirates']
13	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313461	St.Paul	 26 December 2003 	[' Dj', 'St.Paul']
14	55476	 V-So Club	Ancienne-Pointe 16, 1920 Martigny, CH	313416	Digital Pirates & St.Paul	 03 October 2003 	[' Live', ' Dj', 'St.Paul', 'Digital Pirates']
