	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	804465	After Work Eica Records	 19 February 2016 	[' Ariel Kinsky', 'Hetan']
1	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	800115	Afterwork Electro with Living on the Outside	 29 January 2016 	['Living on the Outside']
2	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	739033	After Work Avec Constel'	 24 July 2015 	"['', "" tant est grand le soin qu'ils apportent à leurs sélections"", ' qui vagabondent entre micro-house', "" GASTON - MAH'MOOD - VLAD - IANOO"", '19h - 22h : Constellation - Juicy Fruity Funky Fresh Life Beats & Rhymes', ' Constell rassemble et unit dans la diversité...', "" dans cette recherche du son juste qui s'impose avec évidence. N'étant pas à leur coup d'essai et s'étant produits dans la plupart des clubs à Genève"", ' boogie et soul-food-music. Un large spectre que les 4 jeunes artistes abordent avec passion', 'Free entrance', ""Le collectif genevois CNST'L a été crée en 2011. Il est composé de 4 dj's"", ' disco']"
3	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	730552	#12 After Work Techno with Juliano Lopez	 26 June 2015 	['Juliano Lopez']
4	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	723937	#10 After Work Techno with Eliott & Juliett	 05 June 2015 	[' Juliett', 'Eliott']
5	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	719459	#8 After Work Techno with Rony K.N	 22 May 2015 	['', '19h - 22h : Rony K.N', ' la tekhouse. Fondateur en 2010 du crew BOOM FACTORY.', ' évoluant dans la Techno', ' la deep', 'Free entrance', 'Dj depuis 10ans']
6	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	716602	#7 After Work Techno with Felix Et Chat	 15 May 2015 	"['', 'Soundcloud : https://soundcloud.com/felix-et-chat/mango-lake-drive-3', 'Free entrance', "" Felix Et Chat c'est un peu comme Starsky et Hutch mais en mieux."", 'House poudrée et pas chassés', '19h - 22h : Felix Et Chat (La Serre / Lausanne)', ""De fêtes marathon où amour rime avec toujours en afters rocambolesques en passant par le cockpit de la Ruche ou du Hoppetosse nos deux compères s'emploient à distiller leur goût immodéré du bon groove.""]"
7	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	714785	#6 After Work Techno with Marlon & Andreas	 08 May 2015 	['', 'https://soundcloud.com/dremusicgva', '19h - 22h : Marlon & Andreas', 'Andreas :', 'Marlon :', 'Free Entrance']
8	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	711991	#5 After Work Techno with Jean Charles De Monte Carlo	 01 May 2015 	['Jean Charles De Monte Carlo']
9	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	709642	#4 After Work Techno - Jean Clef	 24 April 2015 	"['', 'FREE ENTRANCE', ' Nu Disco ou encore Indie dance', '18h - 22h : Jean Clef', "" de la Deep House à la Techno. Mais au-delà des mots le meilleurs moyen de le découvrir est de venir l'écouter !"", ' Jean Clef attache une attention particulière à la selection de ses morceaux. Il est capable de commencer un set avec des sonorités Soul', "" avant d'enchainer sur l'electro"", 'https://soundcloud.com/jean_clef', 'Grand passionné de musique']"
10	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	707016	#3 After Work Techno Avec Se-Te-Ve	 17 April 2015 	['', '18h - 22h : Se-te-ve', 'FREE ENTRANCE']
11	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	704621	After Work Techno #2	 10 April 2015 	"['', 'Lastest mix : ""Take it as it is"" - Vinyl (dj set) @ Median Structure Radio - PART 2', 'Soundcloud : pascalviscardi', 'Facebook : Pascal Visacardi', '18h - 22h : Pascal Viscardi [Saft Recordings] ']"
12	102755	 Foound	Rue Jean-Gutenberg 16, 1201 Genève	699852	After Work Techno #1	 27 March 2015 	['Strb', 'DJ Cosmokolor & Raouf Djazz']
