	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	821862	Senking / Feldermelder / Ink	 01 April 2016 	['Senking  (live)', ' Ink! (dj)', ' Feldermelder  (live)']
1	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	792807	RBMA Night Düdingen with Zebra Katz & Le1f	 19 February 2016 	['Zebra Katz', ' Le1f', ' Krizzli']
2	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	714695	Arthur Russell's Instrumentals Directed by Peter Gordon	 30 May 2015 	"['Benjamin Freeney (DJ)', ""Arthur Russell's Instrumentals Directed by Peter Gordon""]"
3	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	625516	Metarave I	 05 September 2014 	['Gray Chalk', 'Throne', 'IVVVO', 'Danse Noire djs ']
4	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	568227	Murcof & Philippe Petit, Zitto & Splendini, DJ Lcp	 23 February 2014 	['', 'ZITTO & SPLENDINI (CH)', 'DJ LCP (CH)', 'KAIN&GABEL (CH) Kater-Zvieri', 'Murcof & Philippe Petit (USA)']
5	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	523637	Discovery	 04 October 2013 	[' Boo Boo Groove', ' electrodudes', ' Arival', 'Isolated Lines']
6	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	419369	Aller Sans Retour	 21 December 2012 	[' Artmaillé', ' Boo Boo Groove', ' Cool Cat', 'Luft']
7	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	411633	Laurel Halo	 30 October 2012 	['Laurel Halo']
8	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	367838	Hutätechno	 18 May 2012 	['Roger the Doger', 'Nobee', 'BooBoo Groove']
9	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	281632	Plaid Scintilli Tour	 08 October 2011 	['Plaid']
10	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	240091	Dope Crackers Tour Kilbi Pt.2 - Feldermelder Record Release	 28 May 2011 	[' Fichtre visuals', 'Feldermelder (live)']
11	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	237766	Kilbi 2011 with Battles and More	 28 May 2011 	['Battles', ' many more']
12	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	313311	Bad Bonn Kilbi	 27 May 2011 	[' Kalabrese & Rumpelorchester', 'Caribou', ' Rizzoknor']
13	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	240088	Dope Crackers Tour Kilbi Pt.1	 26 May 2011 	[' Nik! dj', ' .Suffix support', 'Bit-Tuner  (live)']
14	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	163655	Kilbi 2010, Day 1	 26 May 2010 	['Dave Phillips', 'Luke Vibert', 'DMX Krew', 'Aphex Twin', 'Loops Haunt', 'Joker feat. Mc Nomad', 'Deconstructing Drumboys', 'Minimetal', 'Jimmy Edgar']
15	17290	 Bad Bonn	Bonn 2; 3186, Düdingen	93222	Flying Lotus	 06 May 2009 	['Flying Lotus']
