	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	846630	Infected Music Boat #14	 23 July 2016 	['Crowdpleaser', ' Rodri', ' Fabien', ' St. Plomb']
1	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	726455	Infected Music Boat #13	 11 July 2015 	['Alex Dallas + Washerman (Drumpoet Community)', 'Robel (audiotheque.)', 'Matto (Hot Jam)']
2	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	733187	Infected Music Boat	 11 July 2015 	['Alex Dallas + Washerman (Drumpoet Community)', 'Robel (audiotheque.)', 'Matto (Hot Jam)']
3	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	602830	Infected Music Boat #12	 05 July 2014 	['Smallpeople', ' Demetrio Giannice', ' Boris Why']
4	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	517528	Summerend Loveboat	 14 September 2013 	['Todd Bodine (Highgrade Berlin)', 'Dj Sticka (District 4', 'Terry Pardini (Exclusive)', ' Komplex 457)', 'Tremendo (Glam)', ' Stairs', 'Tonic (Fresh n loud)', 'Andri (live) (Cityfox)']
5	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	487347	Infected Music Boat #11	 06 July 2013 	['Deetron', 'Huazee', 'Princess P']
6	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	370085	Infected Music Boat X	 07 July 2012 	[' Mad House | USA)', 'Rodri (audiotheque)', 'Dejan (Cityfox | Zürich)', 'Kerri Chandler (Simply cool Music']
7	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	254061	The Original Infected Music Boat 2011	 04 June 2011 	['', 'Profondo', 'Rodri', 'audiotheque', 'Kellerkind', 'Dejan', 'After-Boat', 'Robel', 'Huazee', 'Boat ']
8	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	167062	The Original Infected Music Boat 2010	 05 June 2010 	['Leke da Loco (Flash Rec.)', 'Jacqui (Harry Klein', 'Salvatore Romeo', 'Kellerkind (Stil vor Talent)', ' Minishake)', 'Boris Why (audiotheque)']
9	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	113110	Infected Music Boat Trip 7even with Frango (Sirion Records)	 04 September 2009 	['Kellerkind', 'Boris Why', 'Leke da Loco', 'Frango']
10	20655	 Harbour Of Morat	Hafen Murten, Murten / FR /	131416	Infected Music Boat Trip 2009 with Manon (Terminal M, Dekadance)	 06 June 2009 	['buraq aka Leke da Loco', 'Kellerkind', 'Boris Why', 'Manon']
