	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	838999	Godfather of Techno	 29 October 2016 	['Juan Atkins (Metroplex Rec. / USA)', 'DJ Mathieu (Njoymusic / CH)', 'El Tigre Sound ( zweikommasieben / CH)']
1	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	839548	Bordello a Parigi: David Vunk & De Dupe	 14 May 2016 	['David Vunk (NL) & De Dupe (NL) - All night long']
2	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	809380	Nacht	 19 March 2016 	['Ekman', 'Martin Meier', 'El Tigre Sound', 'Guy Joshua', ' live']
3	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	776810	DJ Bone (Subject Detroit/USA) vs Deetron (Character/CH)	 19 December 2015 	['DJ Bone (Subject Detroit/USA)', 'Deetron (Music Man', 'Mathieu (njoymusic/CH)', ' Character / CH)']
4	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	707995	Nacht #17	 17 April 2015 	['Danse Noire Soundsystem + (dj set)', 'El Tigre Sound', 'Guy Joshua', 'Martin Meier']
5	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	701653	The Sprawl	 02 April 2015 	['Martin Meier ', 'Leisure Options ', 'S S S S - Four S', 'The Sprawl aka Mumdance x Shapednoise x Logos']
6	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	673129	Nacht #15	 06 February 2015 	[' Martin Meier', 'DJ Sprinkles', ' El Tigre Sound', ' Guy Joshua']
7	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	656921	Nacht	 29 November 2014 	[' Guyus', 'Bintus', ' Martin Meier', ' Guy Joshua']
8	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	646783	B-Sides Indoor Festival	 31 October 2014 	['Elektro Guzzi']
9	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	638501	Nacht #13	 27 September 2014 	[' Martin Meier', ' El Tigre Sound', ' Guy Joshua', 'Powell']
10	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	609256	Deus Ex Machina	 20 June 2014 	['', 'LILY & GREG SHEPHERD', 'Alternative Floor:', 'Techno Floor:', 'Kurilian Kratz & The Rah', 'MONTAGMORGEN', 'SURPRISE! SURPRISE! SURPRISE!', 'MARCO']
11	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	574232	Nils Frahm	 07 June 2014 	['Nils Frahm (DE)']
12	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	599555	Nacht #12	 24 May 2014 	[' Martin Meier', ' Guy Joshua', 'El Tigre Sound', 'DJ TLR (Crème Organization', ' NL', ' R-Zone)']
13	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	574231	Future Islands	 22 May 2014 	"['Future Islands (US)', 'Kristian Harting (DK)', ""Ed Schrader's Music Beat (US)""]"
14	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	588692	Kassem Mosse - DJ Spider - Torn Hawk	 02 May 2014 	['Kassem Mosse (DE)', ' Torn Hawk (US)', ' DJ Spider (US)']
15	21140	 Südpol	Arsenalstrasse 28; 6010, Kriens	581599	Soft Metals (US) - Painted Palms (US)	 25 April 2014 	['Soft Metals (US)', ' ', 'Painted Palms (US)']
