	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	838471	Electric City	 13 August 2016 	['', 'Phuture Traxx (D)', 'Kollektiv Turmstrasse (D)', 'Kenny Ground', 'Marc Fuhrmann ', 'Len Faki (D)', 'Watermät (F)', 'Definition ', 'Chris Liebing (D)', 'Me&her', 'Mar Cel', 'Gaiser (D)', 'Djerry C', 'MSBK', 'Ivan Alvarez', 'Beirud Nas ', 'Matador (IRL)', 'Adam Port (D)', 'Lars Lindenberg ', 'Alan Fitzpatrick (UK)', 'Felix Kröcher (D)', 'Sam Paganini (I)']
1	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	685831	Digital Maag Electronic Live Music Festival 2015	 21 March 2015 	['Riton', 'Brodinski', 'Mad Katz DJ Team', 'Nutters', 'Kafka Kaya', 'Les Mon Treux', 'Cotton Claw  (live)', 'Pendulum (DJ-SET & MC Verse)', 'Rone  (live)', 'Netsky  (live)', 'Faul', 'Feed Me (DJ-SET)']
2	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	551200	Electric City 2014	 02 August 2014 	['', '04:30 Len Faki (D)', '00:00 Andrea Oliva ', '23:00 Djerry C', '01:40 Dandi & Ugo (I)', '02:30 Carl Cox (UK)', 'Härterei 1: ', '22:00 Del Sol', '00:15 Kollektiv Turmstrasse  (live) (D)', '05:00 Darrien', '22:00 Sergio Trillini', '03:00 Format:B  (live) & DJ (D)', '22:00 Dejan', '23:30 Marek Hemmann  (live) (D)', 'Werft: ', '23:15 KlangfabriK ', '01:30 AKA AKA feat. Thalstroem  (live) (D)', '04:30 Animal Trainer', '22:15 Stefano Noferini (I)', '03:20 Torsten Kanzler (D)', 'Maag Event Hall: ', '00:45 Guy Gerber (ISR)']
3	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	537463	Digital Maag 2014	 08 February 2014 	['Bad Nelson ', 'Gesaffelstein  (live)', 'The Toxic Avenger  (live)', 'We Love Machines  (live)', 'Klingande', 'Boys Noize ', 'Booka Shade  (live)', 'Sound of Stereo', 'Phala', 'Ertu&Pushkin ', 'Lara Valentina ', 'Julio Bashmore', 'Lwrnc ', 'Kavinsky  (live)', 'Frittenbude', 'Van Bullet ']
4	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	495157	Electric City 2013	 10 August 2013 	"['', '23:30 - 01:00 Klangkarussell (Stil Vor Talent | A)', '05:15 - 06:30 Klaudia Gawlas (Masters of Disasters | D)', 'Maag Halle Area 4 (Foyer):', '05:00 - 06:30 Felix Kröcher (FK | D)', '00:00 - 01:45 Pig & Dan (Bedrock | Cocoon | UK)', '01:00 - 03:00 Chris Liebing (CLR.Net | D)', '01:45 - 03:30 Sascha Braemer (Stil Vor Talent | D)', ""22:00 - 06:30 Various Chill Out DJ's"", 'Maag Halle Area 1 (Eventhalle):', '22:00 - 22:45 Sergio Trillini (I Am Techno | CH)', '22:00 - 22:30 Merik & G.Stone', '22:45 - 23:45 DJerry C (D Club | CX Rec. | CH)', 'Maag Halle Area 2 (Härterei):', ""03:30 - 05:15 Catz 'N Dogz (Pets Recordings | D/POL)"", '04:30 - 05:30 Manon (Desolat | CH)', '03:00 - 05:00 Len Faki (Figure | Ostgut Ton | D)', '05:30 - 06:30 BMG (live) (Abstract Abschuss | D)', '22:30 - 00:00 Nils Hoffmann (Seelensauna | D)', '23:45 - 01:30 Wankelmut (Get Physical | D)', '22:00 - 22:30 DBMM (Hive Audio | Stranjjur | CH)', '22:30 - 23:30 Smalltown Collective (Off Rec. | Plastic City | CH)', '03:30 - 04:30 Lexy & K-Paul (live) (Musicismusic | D)', '01:30 - 03:30 Ellen Allien (BPitch Control | D)', 'Maag Halle Area 3 (Werft):']"
5	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	402050	Boys Noize - Live	 17 October 2012 	['support: Spank Rock', 'Boys Noize  (live)']
6	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	380339	Electric City 2012	 11 August 2012 	[' Der Dritte Raum', ' Phuture Traxx', ' DJ Rush', ' Alex Bau', 'Sven Väth', ' We Love Machines', ' Extrawelt', ' Smalltown Collective', ' Marco del Sol', ' Manon', ' Len Faki', ' Animal Trainer', ' Luca Torre', ' Audionotica', ' Monika Kruse', ' Lars Lindenberg', ' Nina Kraviz', ' Beda ...', ' Umek']
7	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	271927	We Are... Out Of Ordinary Floor At Electric City	 13 August 2011 	[' Marcos Del Sol', 'Kollektiv Turmstrasse  (live)', ' Smalltown Collective', ' Fenomen', ' Visuals Timowood.TV uvm.', ' Quitim', ' Sandro Kühne', ' Der Dritte Raum  (live)', ' Rolf Imhof']
8	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	213301	Swiss Nightlife Award Afterparty	 04 December 2010 	[' Ray Douglas', ' CEM', ' Patric la Funk', ' M-live and Saver', ' The Japanese Popstars', 'Deadmau5', ' Fucking Stupid Idiots', ' SLiCE', ' Reto Ardour', ' Muri']
9	31020	 Maag Areal	Hardstrasse 219, 8005 Zürich	170944	Moving City 2010	 14 August 2010 	[' Starshiptroopers (CH) Quitim & Massive Jay (CH)', '', ' Josh Wink (USA)', ' WILDLIFE! (CH)', ' Brian Sanhaji (live) (D)', ' Christian Gimbel (D)', ' David Jimenez (CH)', ' Djedjotronic (F)', 'Brian Sanhaji (live) (CLR.net Frankfurt)', ' Gregor Tresher (D)', ' Luna City Express (D)', ' Green Velvet (USA)', 'Das letzte mal nach der Street Parade im Rohstofflager feiern - denn am 17.9/18.9. findet das finale Abschieds-Weekend statt...', ' TonTon', ' Squep (CH)', ' Darrien', ' The Toxic Avenger (F)', ' Phuture Traxx (D)', ' Ulli & Maesoo (CH)', ' Piratenkind', ' Phil Kieran (UK)', 'Eintritt ab 18 Jahren | Open: 05:00', ' Len Faki (D)', ' The Japanese Popstars (live) (UK)', ' Beda (CH)', 'last time Rohstofflager after a Street Parade', ' Perc (live) (UK)', ' Nic Fanciulli (UK)', ' Tommy Four Seven (D)', ' Tommy Four Seven (CLR.net)', ' Round Table Knights (CH)', 'Simian Mobile Disco (dj set) (UK)', ' Kreuzton (live)...and maybe some special guests', ' Joker', ' I-Tee', '\t', ' Chris Liebing (D)', ' Monika Kruse (D)', 'SO 15.08.2010 AFTERHOURS']
