	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	754513	Closing - Samschtig am Fluss	 12 September 2015 	['Nici Faerber', ' Luke Redford', ' And.re', ' Dani König', ' Marco De Rosa']
1	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	733058	Samschtig am Fluss	 11 July 2015 	[' Luca Gerosa', 'Lara Valentina', ' Elvis Cassetta', ' Marco De Rosa', ' Wedernoch']
2	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	729715	Naturklang am Fluss	 04 July 2015 	"[""ISAbella [Maison D'Etre"", 'Ajele', 'Patrischa', 'ALBURT', ' Barcelona]', 'MANUEL VOCK']"
3	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	729162	Samschtig am Fluss	 27 June 2015 	[' Luca Gerosa', 'Lara Valentina', ' Elvis Cassetta', ' Marco De Rosa']
4	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	723465	Samschtig Am Fluss	 06 June 2015 	['Reto Ardour', 'Le Citadin', 'Nicola Kazimir', 'Der Wandervogel']
5	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	502549	Cityfox Poolparty	 10 August 2013 	['', '- DEJAN', ' Flying Circus)', ' London-NYC)', '+++ Special Guests and Surprises', '- Lee Burridge (All Day I Dream', ' All Day I Dream', '- DARIO DESIENA Visuals', '- Adriatique (Diynamic', '- Benja', '- Reto Ardour', ' Culprit', ' Cityfox)', '- Laurent Bovey (live) (Digitaline - Cadenza', '- Gregorythme (live) (Cityfox)', '- RINO', '- Mike Khoury (Listed', ' NYC)', '- M.A.N.F.L.Y. - M.A.N.D.Y. (Philipp) vs Audiofly (Luca) (Get Physical']
6	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	489752	Cityfox Poolparty	 06 July 2013 	['', '+++ Special Guests and Surprises', 'Adriatique', 'Tale Of Us', 'Rino', 'Reto Ardour', 'Stimming (live)', 'Mathew Jonson (live)', 'Benja', 'Markus Lindner', 'Dejan ']
7	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	384684	Cityfox Parade Festival - Poolparty	 11 August 2012 	['', ' Stadtpark', 'Amirali  (live) - Crosstown Rebels', 'Canson  (live) - Bar25', 'DEJAN - Cityfox', 'Adriatique - Diynamic', ' Cityfox Ltd', ' Flying Circus', 'Audiofly - Get Physical', ' Lausanne-Berlin', 'M.A.N.D.Y. (Philipp Jung) - Get Physical', 'Lee Burridge - All Day I Dream', 'AND SURPRISE & SPECIAL GUESTS!', ' Zürich', ' Wien', ' Berlin', ' London-New York', 'Digitaline  (live) - Cadenza', ' Cityfox', 'Markus Lindner - Cityfox', ' London-Barcelona', 'RINO - Cityfox', ' Canada']
8	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	275474	Cityfox Parade Festival - Poolparty	 13 August 2011 	"[' Cadenza', 'Heidi - Get Physical', ' Stadtpark', ' Cheeky Choice', ' Basel', ' GS', 'DEJAN - Cityfox', ""Don Ramon - Frieda's Büxe"", ' London', ' Lausanne-Berlin', 'DJ T. - Get Physical', 'Canson (live) - Cityfox', 'AND SURPRISE & SPECIAL GUESTS!', ' Zürich', ' Wien', ' Genf', 'M.A.N.D.Y. - Get Physical', ' Berlin', 'Markus Lindner - Cityfox', 'Andrea Oliva - Nordstern', ' Highgrade', 'ANDRI LIVE - Cityfox', 'Digitaline (live)- Cityfox', 'RINO - Cityfox', 'Crowdpleaser - Turbo Recordings']"
9	33335	 Rimini Bar	SCHANZENGRABEN 1, 8001 ZÜRICH	182016	Cityfox Streetparade Festival: Poolparty	 14 August 2010 	[' Cadenza Lausanne', 'DEJAN - Cityfox', 'Digitaline (live) - Cityfox', 'Markus Lindner - Stadtpark', 'ANDRI LIVE - Cityfox', 'Don Ramon - Cheeky Choice', '& many SURPRISE & SPECIAL GUESTS!!', 'PASCI - Cheeky Choice', ' Zürich', ' Wien', 'San Marco - Cheeky Choice', 'Canson (live)- Cityfox Ltd', ' Berlin', 'RINO - Cityfox', 'Mirko Loko - Cadenza', 'M.A.N.D.Y. (Philipp) - Get Physical', ' Lausanne']
