	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	881863	Klangkarussell	 22 October 2016 	['Morgan Button', 'Techrifice', 'Permanent Triangle', 'Klangkarussell (dj set)']
1	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	880883	Avalon with Tube & Berger	 15 October 2016 	['Tube & Berger (live) (Kitball Records - DE)', ' Tristan Bohn', ' Yves Helbling', ' Fat Sushi (Suara', ' Hive Audio)', ' Melchior']
2	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	869616	Liebe zur Musik with Saint Wknd, Deep Chills	 02 September 2016 	['Techrifice', 'Saint WKND (DE)', 'Deep Chills (IT)', 'Permanent Triangle']
3	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	870613	Season Opening with Bakermat (NL)	 19 August 2016 	['Dave Neff (CH)', 'Bakermat (NL)', 'Löwenherz (DE)', 'SAM']
4	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	837539	Ben Klock	 10 June 2016 	['Ben Klock (Berlin / Ostgut Ton / Berghain Resident)', 'Darrien', 'Wandler']
5	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	826351	3 Jahre Liebe zur Musik with DE Hofnar, Superlover, Florian Paetzold	 05 May 2016 	['De Hofnar', 'Superlover', 'Jonathan Schwarz', 'Permanent Triangle', 'Florian Paetzold', 'Techrifice']
6	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	822992	Avalon with Carl Craig	 30 April 2016 	[' Melchior', ' Tristan Bohn', ' Khainz', 'Carl Craig']
7	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	816075	Liebe zur Musik with Xyconstant & Nicolas Haelg	 01 April 2016 	['Blvmenkind (CH)', 'Nicolas Haelg (CH)', 'Techrifice (CH)', 'XYconstant (UK) ']
8	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	785828	Liebe zur Musik with Ferdinand Weber & Deep Chills	 15 January 2016 	['DEEP CHILLS', 'FERDINAND WEBER', ' (IT) ', ' (DE) ']
9	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	769084	Härterei Club	 27 November 2015 	['Kölsch']
10	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	764443	Kings Castle Showcase with De Hofnar, Pretty Pink & Kav Verhouzer	 06 November 2015 	[' FREDDY Verano', 'De Hofnar', ' KAV VERHOUZER', ' Larrykoek', ' Pretty Pink']
11	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	747726	Surround by KV2 Audio 3D Sound - Gaiser / Nastia / Barem	 24 October 2015 	['Barem (FUN)', 'Gaiser (live) (Minus)', 'Pazkal (Licht im Dunkel)', 'Ezikiel (Cadenza)', 'Nastia (ARMA 17)']
12	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	718600	2 Jahre Liebe zur Musik und Härterei Reopening mit Faul & Wad ad	 11 September 2015 	['Supported by TEZ CADEY', 'FAUL & WAD AD (FR) ']
13	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	713091	Future Sound Festival	 13 May 2015 	['MC GQ', 'Foreign Beggars', 'Carnage', 'Andy C']
14	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	695119	Liebe zur Musik Präsentiert Sam Feldt	 10 April 2015 	['Techrifice ', 'Sam Feldt', 'Duskid']
15	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	689455	Blackout Zürich	 06 March 2015 	[' Z-Groove', ' Adverblaster ', ' The Upbeats', 'Black Sun Empire', ' Mind Vortex', ' Agent C']
16	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	681449	Valentina's Secret	 14 February 2015 	[' Revillo', 'Bassbüro', ' Vornehm&Unsittlich', ' Whim', ' Lara Valentina']
17	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	671004	Kunterbunt - Worakls	 30 January 2015 	['Dragon Suplex (Mullet Rec. / Zürich)', 'Les Mon Treux', ' Dancecode / France)', 'Worakls (Hungry Music']
18	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	670345	Eatbrain vs Commercial Suicide	 09 January 2015 	['Klute', 'Optiv', 'Mindscape', 'Cypolit', 'Yön10', 'Jade']
19	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	657513	Kunterbunt: Stereo Express & Umami	 26 December 2014 	[' KaterMukke / Berlin)', 'Stereo Express (Burlesque', 'Morgan Button', 'Umami (live) (Burlesque', 'Markus Kenel', ' Love Matters / Berlin)']
20	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	650396	Kunterbunt: AKA AKA Feat. Thalstroem Live	 28 November 2014 	['Nebukatz Nezar b2b Nicola Noir', 'Nils Fraser', 'Roman Stelzenbach', 'AKA AKA feat. Thalstroem']
21	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	654139	Liebe zur Musik mit Maniezzl	 22 November 2014 	['', '+', ' AUT)', 'MANIEZZL (MFM', 'Lara Valentina (New Bass Order)', 'Zweitraum (LzM)', 'Sentiment (Plaisir)']
22	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	640303	Stil vor Talent Showcase at Härterei	 31 October 2014 	['Kellerkind (Stil vor Talent / Solothurn)', 'Teenage Mutants (Stil vor Talent / Mainz)', 'Klangkünstler (Stil vor Talent / Berlin)', 'Ben Yoo Suk (Zürich)']
23	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	629326	Kunterbunt: NTFO	 19 September 2014 	['NTFO (Diynamic', 'Rearte & Abdel Hady', 'Sentiment', ' Rumänien)']
24	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	615537	Kunterbunt: Daniel Steinberg (Defected)	 29 August 2014 	['', 'Daniel Steinberg (Defected', 'The Local Yocals', 'Outdoor (hosted by In/Out):', 'Tristan Bohn', 'Lara Valentina', ' Berlin)', 'Wandervogel', 'Animal Swing Kids (Klangkost']
25	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	537031	Miss Kittin	 15 November 2013 	[' Helder', ' Nolè', 'Miss Kittin', ' Allen D & Shac', ' Nenad J.']
26	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	348967	Cityfox 6-Years Festival	 28 April 2012 	['', 'Troy Pierce - Items & Things Berlin', 'ONNO - Upon.You', 'Gaiser (live) - Minus Detroit-Berlin', 'DEJAN - Cityfox Zürich', ' Hold Youth Paris', 'Nader - Partygarantie Zürich', 'RINO - Cityfox Zürich', 'Seuil (live) - Eklo', 'Ezikiel - Unite Zürich', ' Get Physical Amsterdam', 'Wandler - Cityfox Zürich']
27	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	346403	Nasty Trash Mit Drivepilot Und The Killers Rabbits	 10 March 2012 	['Pushkin ', 'Winner DJ Battle', 'Naomi Bowler', 'Drivepilot (USA) ', 'The Killers Rabbits (F) ']
28	57972	 Härterei Club	Hardstrasse 219, 8005 Zürich	330204	Nasty Trash	 11 February 2012 	['F.O.O.L (SWE)', 'TIGR TIGR TIGR', 'DUBNIUM (Liquicity)', 'DEADCOOL (Playgroundkidz)']
